"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052"
"12am";"12.587245";"14.512135";"25.613140";"14.536687";"12.634170";"19.223008";"14.950035";"15.106478";"10.526868";"13.335564";" 7.874528";" 9.695080";"15.464877";" 8.733706";"11.585067";" 5.714993";" 6.750126";" 3.049312";" 7.902202";"12.565261";"16.062599";"17.279797";"13.570217";"20.076320";"26.970276";" 3.456039";" 8.054052";" 9.608181";" 9.081930";"10.287805";" 6.207165";"15.039069";" 5.191952";"14.629848";" 6.807766";" 5.356343";" 9.040333";" 7.347368";" 7.144030";" 5.039872";" 4.426593";"12.533609";" 3.957110";" 3.196926";" 3.506359";" 7.530039";" 7.699055";" 3.611978";"12.161715";" 4.566588";" 7.497068";"15.244550"
"1pm";"14.537765";"14.598518";"23.052012";"13.205392";"12.687140";"17.473374";"12.498358";"14.441984";"10.330173";"15.070421";" 7.487605";" 9.420545";"16.991820";"10.932624";"10.782419";" 6.152203";" 6.295338";" 2.452352";"11.214378";"13.548743";"13.400829";"18.509071";"13.105284";"19.296426";"26.683323";" 3.620847";" 7.490728";" 9.726586";" 8.200197";"11.948606";" 6.666980";"13.436147";" 5.962507";"13.792521";" 7.401670";" 3.847426";" 7.573228";" 7.259454";" 8.105158";" 5.217162";" 3.846784";"15.123335";" 4.003553";" 1.652418";" 1.751088";" 7.684203";" 7.800162";" 4.409885";"11.900876";" 5.191720";" 7.414042";"16.233288"
"2pm";"14.804800";"13.864808";"21.256465";"12.704743";"13.560117";"16.030680";"11.497550";"14.783855";"10.452075";"17.330786";" 9.640545";"10.088512";"17.137420";"10.839091";"11.469670";" 5.955263";" 6.782692";" 2.568022";"12.576888";"13.500526";"10.068558";"16.928625";"17.812894";"20.709924";"26.518622";" 2.539579";" 8.312194";"14.998608";" 5.850728";"10.332546";"10.484642";"14.881488";" 4.656289";"12.172742";" 7.441870";" 2.495272";" 8.026164";" 6.632045";" 8.485775";" 5.307089";" 3.711089";"14.994631";" 2.855569";" 1.659799";" 1.808118";" 7.558985";" 7.694707";" 4.910382";"10.485855";" 5.007631";" 7.064836";"13.336151"
"3pm";"14.064937";"13.970812";"24.389822";"14.135279";"13.254911";"14.345006";"12.367435";"16.419582";" 9.773031";"14.703041";" 8.025229";"11.119385";"15.858418";" 9.850263";"11.670439";" 5.803048";" 7.440856";" 3.803953";"11.889426";"13.879064";"10.256361";"18.954410";"19.557835";"19.429424";"25.355539";" 6.345116";" 5.737516";"11.397445";" 6.476610";"10.902132";" 9.774238";"13.177931";" 4.786979";"12.385483";" 6.524238";" 2.583710";" 6.439610";" 8.364087";" 8.078076";" 5.301637";" 3.588527";"17.690982";" 2.626549";" 1.492365";" 1.914636";" 7.405863";" 8.335581";" 4.910904";"11.378843";" 4.845339";" 6.383971";"15.931864"
"4pm";"14.901764";"13.259084";"25.592231";"15.895642";"10.339328";"16.159936";"15.105148";"16.138382";"10.751430";"14.948933";" 9.992139";" 8.143410";"15.548053";"10.134160";"11.150166";" 5.821226";" 7.340944";" 4.286193";" 9.139318";"13.593796";"11.441208";"19.553155";"16.628736";"20.444343";"23.613792";" 3.450565";" 5.542741";"10.228062";" 6.669822";"10.873588";"10.008984";"15.406202";" 4.665347";"15.076631";" 9.079014";" 2.362148";" 5.698264";" 6.413967";" 5.463572";" 5.259646";" 4.156945";"16.555720";" 2.420442";" 2.634561";" 2.540741";" 7.346898";" 7.162697";" 4.365878";"12.541347";" 4.960585";" 5.935509";"14.483683"
"5pm";"13.964991";"12.206568";"26.192316";"17.901399";"10.835688";"22.654283";"15.145980";"13.510771";"12.589507";"12.554939";" 8.882148";"11.630684";"13.887739";" 9.842130";" 9.881845";" 5.180211";" 8.698444";" 4.180096";" 8.484056";"15.030050";"11.612020";"21.282239";" 8.855566";"20.032554";"25.984215";" 2.963645";" 9.752395";" 6.153659";" 7.370848";" 9.047919";" 9.270886";"15.090281";" 4.199193";"14.801338";" 9.699727";" 2.582425";" 7.871103";" 4.991604";" 7.117816";" 5.623433";" 3.303172";"14.366690";" 3.104250";" 2.653829";" 3.153855";" 9.061260";" 4.938805";" 3.734286";"11.737202";" 4.878611";" 5.882483";"10.512505"
"6pm";"15.607357";"11.851021";"29.073821";"16.030043";"10.328978";"24.369978";"16.979493";"14.370453";"11.253421";"10.273803";" 7.653249";"12.135941";"13.554159";" 9.878804";"11.529417";" 4.982704";" 7.053445";" 3.717356";" 6.534422";"15.071898";"11.725804";"20.335298";" 9.996027";"19.546903";"26.943187";" 2.503723";" 8.872200";" 7.224646";" 7.086394";" 9.279585";" 9.383748";"15.649866";" 5.139182";"15.838450";" 8.422704";" 2.154052";" 6.939049";" 6.675992";" 6.992147";" 4.336971";" 3.231005";"12.385167";" 2.604210";" 3.396166";" 4.080941";" 7.028544";" 5.179537";" 3.528837";"12.335389";" 3.676054";" 5.257720";"10.815074"
"7pm";"15.552767";"11.790941";"26.302749";"14.954907";"11.099147";"24.529719";"16.026716";"16.780082";"10.076365";" 9.812571";" 7.380054";"11.757127";"14.177501";"11.296689";"11.597771";" 4.835358";" 7.179542";" 3.698515";" 8.157165";"14.510578";"14.213313";"20.455047";" 9.088085";"19.065274";"27.901043";" 2.400090";" 8.282413";" 6.788878";" 6.230944";" 8.533426";"10.261081";"15.309255";" 5.183663";"15.676584";" 4.815275";" 4.925713";" 6.783470";" 6.235330";" 7.814031";" 3.549664";" 3.994049";"10.396047";" 3.130245";" 3.287371";" 4.449564";" 7.289393";" 4.594780";" 3.486471";"12.348515";" 3.455515";" 6.558566";"10.156568"
"8pm";"15.850794";"10.544362";"26.339116";"15.016488";"11.261013";"24.950324";"15.862300";"15.964957";" 9.727626";"11.699267";" 7.193586";"11.806359";"14.899918";"11.473781";"11.401507";" 4.831906";" 7.135653";" 3.629800";" 7.897718";"14.652488";"12.784105";"22.329122";"10.710459";"18.538720";"27.309368";" 2.381032";" 7.570453";" 6.727506";" 6.583630";" 8.532475";" 9.673520";"15.304950";" 4.999955";"15.503119";" 4.909468";" 4.679058";" 6.430572";" 5.992516";" 7.642878";" 4.913015";" 3.568071";"10.785006";" 3.134086";" 3.141716";" 4.327649";" 7.271414";" 4.683790";" 3.492229";"13.268972";" 3.272309";" 6.426506";" 9.633691"
"9pm";"15.555484";"11.165426";"26.663625";"15.049623";"11.392898";"25.879159";"15.694624";"16.602689";" 9.536176";"12.225747";" 9.596733";"11.475174";"13.603041";"11.241966";"12.184131";" 4.831751";" 6.912153";" 3.160990";" 7.674254";"15.038426";"12.964847";"21.903099";"10.811665";"18.687057";"27.707020";" 2.314965";" 8.129027";" 6.662781";" 6.335510";" 8.993098";" 9.295552";"15.657965";" 4.875338";"15.034701";" 4.908897";" 4.339920";" 6.337271";" 6.075521";" 5.810879";" 4.875597";" 3.565151";" 9.706007";" 3.046318";" 3.141716";" 4.371207";" 7.036065";" 4.552436";" 3.445226";"12.776768";" 3.374532";" 6.379361";" 9.875066"
"10pm";"15.081358";"11.376116";"26.631218";"15.221838";"11.455171";"26.911783";"16.261115";"16.161887";" 8.943994";"12.188851";" 9.906281";"11.257066";"13.450373";"11.142636";"13.549059";" 4.709215";" 6.891938";" 3.143859";" 7.606029";"15.083809";"12.818975";"21.484408";"10.880644";"18.719476";"28.225808";" 2.255614";" 8.128354";" 6.505434";" 6.224531";" 8.981658";" 9.153943";"15.225794";" 4.639632";"15.181619";" 4.904729";" 4.229992";" 6.299973";" 6.021748";" 6.093867";" 6.094848";" 3.512410";" 9.484069";" 3.042302";" 3.120477";" 4.348346";" 6.923612";" 3.907907";" 3.445226";"12.776768";" 3.374532";" 6.297315";" 9.875066"
"11pm";"15.479183";"10.607253";"26.295126";"15.118189";"11.441270";"27.151478";"15.989842";"17.354631";" 9.073323";"10.720120";" 9.615298";"12.319420";"13.486712";"11.176759";"13.649294";" 4.815721";" 6.830872";" 3.148199";" 7.317725";"14.835862";"12.818975";"21.481327";"10.880644";"18.995919";"28.432353";" 2.168599";" 7.958754";" 6.505434";" 6.224531";" 8.931525";" 8.878618";"15.294897";" 4.579453";"16.262567";" 5.478378";" 4.200247";" 6.299973";" 6.031669";" 6.033197";" 6.091499";" 3.491074";" 9.578078";" 2.995942";" 3.109565";" 4.311231";" 6.840294";" 3.825853";" 3.445226";"12.853212";" 3.418225";" 6.259810";" 9.460157"
"12pm";"15.662000";"10.618755";"26.295126";"14.932867";"11.346000";"27.100298";"15.989842";"17.158294";" 9.121865";"10.798764";" 9.615298";"12.330119";"13.826474";"11.176759";"13.727053";" 4.748549";" 6.901244";" 3.165984";" 7.337121";"15.083809";"12.973171";"21.067465";"10.679558";"18.832667";"28.280732";" 2.168599";" 7.934874";" 6.505434";" 6.224531";" 8.975104";" 8.840278";"15.068087";" 4.496867";"16.301168";" 5.444881";" 4.200247";" 6.204195";" 6.031669";" 6.014646";" 6.091499";" 2.616813";"10.695378";" 3.019863";" 3.109565";" 4.348157";" 6.867550";" 3.825853";" 3.445226";"12.853212";" 3.418225";" 6.259810";" 9.460157"
"1am";"15.839854";"10.618755";"26.143195";"14.932867";"11.346000";"27.100298";"15.989842";"16.939585";" 9.121865";"10.829445";" 9.615298";"12.330119";"13.826474";"11.176759";"13.698048";" 4.791431";" 6.863270";" 3.165984";" 7.261600";"14.838421";"12.973171";"21.346326";"10.679558";"18.602551";"28.615857";" 2.158665";" 7.934874";" 6.505434";" 6.224531";" 8.908317";" 8.764584";"15.189027";" 4.496867";"16.301168";" 5.444881";" 4.200247";" 6.256804";" 6.031669";" 6.014646";" 5.963944";" 2.593174";"10.695378";" 3.019863";" 3.109565";" 4.316808";" 6.867550";" 3.825853";" 3.445226";"12.853212";" 3.418225";" 6.259810";" 9.460157"
"2am";"16.036016";"10.560313";"26.143195";"14.932867";"11.346000";"27.100298";"15.989842";"16.939585";" 9.121865";"10.829445";" 9.615298";"12.357548";"13.770298";"11.176759";"13.698048";" 4.816919";" 6.863270";" 3.151033";" 7.261600";"14.838421";"12.973171";"21.346326";"10.679558";"18.602551";"28.615857";" 2.158665";" 7.934874";" 6.505434";" 6.224531";" 8.908317";" 8.764584";"15.189027";" 4.473295";"16.301168";" 5.463504";" 4.200247";" 6.256804";" 6.013458";" 6.029909";" 5.963944";" 2.593174";"10.695378";" 3.019863";" 3.114480";" 4.316808";" 6.867550";" 3.825853";" 3.445226";"12.853212";" 3.451831";" 6.195115";" 9.460157"
"3am";"16.111283";"10.560313";"25.993009";"14.932867";"11.263103";"27.100298";"15.989842";"16.939585";" 9.182138";"10.829445";" 9.615298";"12.357548";"13.745854";"11.176759";"13.790067";" 4.816919";" 6.842768";" 3.157577";" 7.261600";"14.838421";"12.973171";"21.214781";"10.679558";"18.602551";"28.615857";" 2.158665";" 8.051903";" 6.505434";" 6.224531";" 8.908317";" 8.764584";"15.189027";" 4.542550";"16.457513";" 5.463504";" 4.200247";" 6.256804";" 6.013458";" 5.976141";" 5.963944";" 2.593174";"10.763508";" 3.047277";" 3.114480";" 4.347266";" 6.867550";" 3.825853";" 3.445226";"12.853212";" 3.451831";" 6.195115";" 9.565027"
