"hour","101","102","103","104","105","106","107","108","109","110","111","112","113","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","134","135","136","137","139","140","141","142","143","201","202","203","204","205","301","302","303","304","305","306","307","308","309","310","313","314","401","402","403","501","502","504","505","507","510","511","512","513","515","516","517","601","602","603","701","803","903"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349,17451.349
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",753.006,1095.55,722.687,787.243,0,1087.603,0,0,0,0,0,1524.424,696.307,0,1085.655,0,0,1643.598,1166.032,0,472.26,712.762,0,0,0,558.044,659.129,0,622.337,1336.978,0,537.424,1157.526,0,0,524.315,0,0,0,0,0,0,0,0,0,0,0,0,0,753.424,0,0,0,0,0,0,0,0,0,0,746.492,0,377.399,0,0,0,0,0,434.125,0,0,0,0,0,0,0,0,0
"7am",3017.761,3814.994,4596.221,1246.781,1369.614,6418.887,681.446,1065.781,1573.772,2852.878,627.217,4293.826,4339.571,2174.219,2713.1,0,902.322,3990.153,4502.494,0,6439.874,2817.929,0,1007.957,1178.789,1946.182,1380.504,0,1477.555,3384.3,1124.909,1339.839,2649.779,0,633.122,1580.232,859.264,715.807,955.206,605.086,1068.679,0,647.895,0,0,0,1182.193,1056.904,959.973,2399.807,0,0,0,395.23,494.315,1191.71,0,0,751.189,1464.939,3980,0,735.304,349.985,0,0,0,1514.157,1421.726,1023.439,539.541,0,0,1596.125,0,0,876.645,0
"8am",5297.349,8502.114,7376.107,2851.763,2839.359,14523.377,849.11,2148.638,2311.243,4464.041,1744.39,7248.735,6132.243,3646.358,4676.569,661.856,1540.641,8294.071,9325.657,680.561,11831.892,4250.127,0,1166.397,1601.621,4397.027,3389.342,987.719,1929.411,5322.242,2018.129,2537.578,4328.45,0,925.118,2638.436,1404.026,1196.561,1441.424,862.629,2004.789,590.567,1232.278,876.587,0,662.566,3116.628,1402.245,1532.449,4983.12,0,0,0,601.011,755.121,1421.36,554.134,575.159,1342.05,1781.494,6301.166,0,1758.713,516.262,0,0,0,2388.7,2965.842,1209.744,1172.966,0,682.959,2463.119,0,0,1522.854,268.133
"9am",8294.909,9732.587,8361.058,3368.707,2992.692,17451.349,1220.494,2314.813,2410.201,4963.56,2037.261,8180.884,6997.189,4663.563,4492.984,675.199,1482.756,9433.767,10948.824,760.033,15048.351,5419.613,461.153,1321.509,1771.516,5246.894,6494.049,1234.299,2559.971,7062.607,2593.904,2545.839,5937.557,496.097,842.543,3039.219,1860.217,1124.967,1427.397,920.537,2208.093,546.532,1399.254,1057.568,1204.841,824.63,3738.2,1591.038,1642.727,6048.573,685.4,0,529.119,652.713,870.631,1656.374,775.132,804.458,1240.793,2192.703,7242.734,350.137,2072.312,573.667,505.216,336.663,0,2735.457,3389.347,1406.421,1222.314,0,721.885,2951.86,700.678,936.254,2067.51,333.824
"10am",10404.529,10379.442,8650.646,3798.74,3333.838,17237.288,1109.475,2218.167,2860.841,5315.914,2428.102,7971.05,6895.547,4641.234,5225.236,722.808,1424.7,9282.451,11733.526,721.45,15303.319,6082.749,452.739,1395.202,1705.077,5216.348,7002.352,1167.693,2599.775,7270.887,3815.152,2881.434,5563.046,654.918,1047.531,2965.079,1551.484,1125.641,1663.738,922.822,2173.187,500.597,1344.319,898.932,1014.899,957.203,3779.139,1577.856,1635.261,6135.974,833.892,0,484.589,755.832,853.038,1674.826,813.638,978.94,1247.439,2245.631,7834.387,0,1879.991,583.294,639.087,353.035,0,2781.681,3323.51,1673.623,1464.703,0,794.409,3261.658,663.576,1071.463,2164.087,452.3
"11am",8914.987,9322.862,8643.589,3410.302,2879.549,17257.19,1162.246,2276.716,2398.393,5138.257,2500.743,7120.312,6648.05,4468.842,4996.802,818.953,1821.502,9398.058,10454.619,902.277,14442.027,5882.7,461.017,1179.32,1429.037,4982.651,5496.87,979.27,2391.786,6562.909,2972.626,2706.283,5033.581,661.906,938.306,2831.469,1182.176,1076.205,1315.187,770.088,2028.373,530.347,1312.095,1051.22,0,702.742,3648.859,1641.474,1524.501,5990.675,624.093,0,522.954,587.31,831.402,1549.488,844.266,737.562,811.201,2076.634,6938.481,417.034,1254.285,518.333,0,0,0,2581.296,3068.817,1449.871,1338.483,320.215,732.042,2334.28,0,1044.19,1642.386,444.232
"12am",9777.789,7567.221,6880.003,2481.197,2579.348,15195.479,856.453,2207.415,1863.656,3812.984,1777.014,5364.833,5528.248,2748.399,4002.152,559.522,1368.932,8538.662,9746.686,0,13143.861,5341.862,0,1249.875,1028.975,4280.584,5149.04,854.819,2397.184,4733.311,3037.644,2585.813,5043.409,695.438,698.912,2208.549,988.501,1125.46,1427.427,862.083,1890.688,448.514,1023.773,697.711,0,668.368,2767.383,1404.235,1340.073,5606.899,756.26,0,490.583,0,656.074,1457.732,766.841,0,723.968,1879,5672.366,382.391,1172.471,0,0,356.404,325.303,2463.309,2984.469,991.852,1200.503,0,737.453,1575.002,585.245,1019.102,1165.644,470.465
