"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"1.0412788";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.4504544";"0.6597956";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"5am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"1.0271474";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.4497610";"0.6838507";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"6am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"1.0057808";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.4503873";"0.7060874";"0.0000000";"0.4668618";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"7am";" 1.9734113";" 0.0000000";" 2.8626980";" 0.0000000";" 0.0000000";" 0.0000000";" 0.4653853";" 0.0000000";" 8.8059849";" 0.0000000";"29.1369285";" 1.4331537";"18.7323895";"14.6518635";" 1.6275346";" 1.5982228";" 0.3996058";" 0.6550449";" 0.9963465";" 1.2588745";"10.9162957";" 0.7771200";" 0.5188074";" 0.0000000";" 1.6385652";" 0.0000000";" 0.0000000";" 0.5311240";" 0.0000000";" 6.2838130"
"8am";" 3.0020968";" 5.3625243";" 2.6858826";" 0.0000000";" 0.0000000";" 0.0000000";" 3.2086755";" 0.0000000";" 8.5840256";" 0.0000000";"27.6321309";" 4.4889736";"27.2470079";"15.9676855";" 1.7260391";" 2.9601051";" 2.1397738";" 1.6564117";" 3.0331685";" 1.3989694";"10.3367948";" 0.7561836";" 2.0821867";" 0.0000000";" 1.6995337";" 2.8255183";" 0.0000000";" 3.2440845";" 1.0902655";" 9.6967393"
"9am";" 3.1326051";" 5.1955238";" 3.0123521";" 0.0000000";" 0.0000000";" 0.0000000";" 1.4363278";" 1.1021056";" 7.9729465";" 0.0000000";"26.7404863";" 4.4580233";"33.1510611";"16.7778216";" 1.7251951";" 2.7144963";" 2.2769647";" 1.7044175";" 3.0494532";" 1.3369705";"11.3306675";" 0.8226281";" 2.3950086";" 1.7283262";" 1.7117564";" 2.7987041";" 0.0000000";" 3.3001018";" 1.1600857";" 9.1254075"
"10am";" 3.2380521";" 5.2852617";" 2.9507007";" 0.0000000";" 0.0000000";" 0.0000000";" 1.5158248";" 1.1097040";" 8.0713527";" 0.0000000";"26.4454720";" 4.2471398";"32.4081976";"16.3365331";" 1.8867251";" 2.6114008";" 3.5254343";" 1.7551052";" 3.1193631";" 1.3065817";"12.3428674";" 0.8924241";" 2.4221442";" 1.7802153";" 1.7207932";" 2.9310939";" 0.0000000";" 3.4212808";" 1.1333505";" 8.9428892"
"11am";" 3.2167071";" 5.5459291";" 3.0083352";" 0.0000000";" 0.0000000";" 0.0000000";" 3.0840420";" 1.1279570";" 8.1189262";" 0.0000000";"27.0613855";" 3.6784441";"31.4750016";" 5.3821911";" 2.1095753";" 2.1522056";" 3.3524117";" 1.8233190";" 3.0739918";" 0.5706570";"11.7161002";" 0.8912687";" 2.3440356";" 1.7366807";" 1.8097514";" 2.8529636";" 0.0000000";" 3.3199789";" 1.0366226";" 9.6525360"
