"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419";"0.587241434243419"
"max";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433";"55.6734483609433"
"4am";"43.19379";"40.29823";"50.61395";"48.49265";"42.65471";"46.75116";"45.34736";"43.42107";"43.18897";"41.37354";"43.50616";"46.34654";"40.12433";"42.35787";"44.03154";"49.38859";"41.90793";"40.53161"
"5am";"43.82490";"40.29823";"51.09572";"49.50941";"41.92951";"47.42036";"45.61652";"41.42397";"43.67088";"40.30161";"42.93491";"46.32495";"40.12433";"43.47434";"43.59779";"49.09195";"41.55439";"39.87181"
"6am";"45.33253";"40.73742";"50.03469";"49.37595";"41.57822";"48.72969";"45.51266";"42.07698";"46.79200";"41.51686";"43.31810";"46.61645";"41.80111";"44.44250";"43.48052";"47.99015";"41.76814";"39.15793"
"7am";"45.96750";"44.31601";"51.28449";"50.14790";"38.56223";"44.46591";"44.80813";"39.70781";"47.50090";"43.87640";"44.19089";"45.71114";"41.27907";"44.71045";"47.45480";"46.88890";"43.72199";"40.66441"
"8am";"49.95572";"45.18042";"47.66314";"49.65320";"37.31433";"40.06566";"45.53699";"40.46138";"50.06620";"44.03678";"46.44826";"43.28950";"41.22834";"42.50418";"41.14376";"49.87101";"50.54452";"42.64160"
"9am";"45.83433";"47.22544";"47.39316";"49.11803";"39.08199";"40.80373";"44.99604";"40.97370";"49.75731";"47.51344";"45.32248";"45.39949";"41.99157";"40.92416";"41.42720";"51.54246";"48.89074";"45.18027"
"10am";"45.18149";"42.35908";"48.59885";"47.87805";"44.10171";"39.04562";"48.27155";"37.06161";"48.35056";"46.14086";"45.93294";"49.29205";"37.94025";"42.49908";"39.74801";"55.67345";"49.75885";"45.70014"
"11am";"47.00624";"41.93285";"46.79434";"50.10597";"41.47111";"41.76184";"47.49693";"38.34067";"49.91853";"44.32224";"46.37363";"47.49088";"39.09306";"43.26281";"40.71920";"54.37507";"47.50417";"46.89671"
"12am";"44.10968";"46.52645";"47.06074";"49.84281";"43.74575";"41.76187";"52.03251";"40.63042";"49.99512";"43.53567";"43.54419";"47.50189";"39.99381";"43.77054";"41.71469";"51.18842";"46.85794";"42.13392"
"1pm";"44.28107";"45.73871";"46.25947";"45.93405";"41.17070";"45.34690";"47.54933";"39.81941";"49.92222";"45.63517";"44.16875";"49.43496";"39.82673";"42.83410";"39.09617";"49.73026";"47.72864";"47.63049"
"2pm";"42.42051";"46.44764";"46.52333";"46.67330";"37.09550";"44.02254";"47.34202";"40.56410";"48.32763";"48.57189";"47.03311";"52.61831";"38.95524";"41.82260";"39.60361";"50.49065";"45.83760";"47.69090"
"3pm";"47.26528";"47.18247";"51.47079";"49.98170";"40.55147";"44.02819";"49.92986";"41.64973";"43.40443";"45.70007";"41.94273";"51.30808";"38.05569";"42.24930";"36.18045";"54.31048";"43.47149";"47.29072"
"4pm";"45.28535";"47.78603";"43.53155";"48.14834";"45.15349";"44.50017";"49.79404";"41.51738";"42.93142";"47.73863";"42.69720";"53.55222";"37.89791";"42.02638";"32.85270";"54.49308";"46.24517";"47.59381"
"5pm";"42.64483";"43.40160";"47.40656";"48.39614";"43.62810";"47.00055";"46.37114";"43.66494";"45.03896";"43.32490";"43.73995";"48.67356";"37.67240";"45.19936";"43.03650";"53.24027";"49.88398";"44.07607"
"6pm";"41.38418";"40.36841";"45.83743";"49.02682";"42.08482";"49.94318";"46.00608";"42.97672";"42.54096";"40.71073";"43.02889";"50.96256";"41.94827";"42.73260";"45.25619";"52.98731";"44.50229";"44.55165"
"7pm";"37.88962";"39.96869";"50.28827";"50.10999";"43.99633";"47.30828";"47.10411";"44.21705";"42.23362";"43.18945";"43.51516";"47.01536";"38.61923";"41.93123";"45.19904";"52.42989";"43.90734";"39.43484"
"8pm";"37.74632";"39.63994";"53.30512";"49.75029";"45.06023";"45.11650";"46.22662";"42.73595";"42.66140";"43.34379";"44.06079";"45.92669";"39.45243";"42.31787";"44.54142";"50.12714";"43.33361";"38.51492"
"9pm";"37.30318";"40.47045";"52.60874";"48.55226";"43.85784";"46.34702";"46.86130";"42.17097";"42.90875";"41.09314";"43.99683";"45.24249";"39.26067";"42.64083";"43.78192";"50.75522";"43.63126";"38.60921"
