"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488";"3027.35488"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"6am";" 96.32493";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"116.96598";"  0.00000";"  0.00000";" 96.32493";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"220.17126";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000"
"7am";"419.70147";"  0.00000";"144.48739";"137.60704";"337.13725";"261.45338";" 82.56422";" 96.32493";"268.33373";"172.00880";"137.60704";"  0.00000";"  0.00000";"550.42816";"  0.00000";"  0.00000";"  0.00000";" 82.56422";"  0.00000";"  0.00000";"  0.00000"
"8am";"571.06922";"178.88915";"268.33373";"178.88915";"399.06042";"254.57302";"116.96598";" 96.32493";"316.49619";"213.29091";"206.41056";"  0.00000";"  0.00000";"605.47098";"  0.00000";"  0.00000";"  0.00000";" 89.44458";" 82.56422";" 89.44458";"  0.00000"
"9am";"646.75309";"206.41056";"330.25690";"192.64986";"447.22288";"261.45338";"116.96598";"116.96598";"337.13725";"240.81232";"220.17126";"  0.00000";"  0.00000";"626.11203";"  0.00000";"  0.00000";"  0.00000";" 96.32493";" 89.44458";" 89.44458";"  0.00000"
"10am";"653.63344";"268.33373";"330.25690";"178.88915";"460.98358";"254.57302";"103.20528";" 89.44458";"323.37654";"254.57302";"227.05162";"  0.00000";"  0.00000";"694.91555";"  0.00000";"  0.00000";"  0.00000";" 96.32493";"103.20528";" 89.44458";"  0.00000"
"11am";"646.75309";"261.45338";"323.37654";"178.88915";"433.46218";"247.69267";"110.08563";" 96.32493";"323.37654";"240.81232";"199.53021";"  0.00000";"  0.00000";"612.35133";"  0.00000";"  0.00000";"  0.00000";" 96.32493";" 96.32493";" 82.56422";"  0.00000"
"12am";"681.15485";"240.81232";"316.49619";"158.24810";"426.58182";"227.05162";"110.08563";"103.20528";"309.61584";"227.05162";"233.93197";"  0.00000";"  0.00000";"612.35133";"  0.00000";"  0.00000";"  0.00000";"103.20528";" 96.32493";" 82.56422";"  0.00000"
"1pm";"674.27450";"220.17126";"302.73549";"165.12845";"447.22288";"254.57302";"110.08563";"103.20528";"364.65866";"247.69267";"261.45338";"  0.00000";"  0.00000";"577.94957";"  0.00000";"  0.00000";"  0.00000";"103.20528";" 96.32493";" 82.56422";"  0.00000"
"2pm";"681.15485";"220.17126";"268.33373";"172.00880";"454.10323";"254.57302";" 96.32493";"116.96598";"344.01760";"240.81232";"247.69267";"  0.00000";"  0.00000";"584.82992";"  0.00000";"  0.00000";"  0.00000";" 96.32493";" 89.44458";"  0.00000";"  0.00000"
"3pm";"612.35133";"178.88915";"240.81232";"151.36774";"378.41936";"247.69267";"  0.00000";" 82.56422";"316.49619";"240.81232";"220.17126";"  0.00000";"  0.00000";"522.90675";"  0.00000";"  0.00000";"  0.00000";" 96.32493";"  0.00000";"  0.00000";"  0.00000"
"4pm";"275.21408";"158.24810";"130.72669";"  0.00000";"206.41056";"137.60704";"  0.00000";"  0.00000";"151.36774";" 96.32493";"144.48739";"  0.00000";"  0.00000";"282.09443";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000"
"5pm";"172.00880";"130.72669";" 96.32493";"  0.00000";" 89.44458";" 89.44458";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"130.72669";"  0.00000";"  0.00000";"116.96598";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000"
"6pm";"116.96598";"110.08563";"  0.00000";"  0.00000";"130.72669";"  0.00000";"  0.00000";"  0.00000";" 89.44458";"  0.00000";"130.72669";"  0.00000";"  0.00000";"158.24810";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000"
"7pm";"103.20528";"123.84634";"  0.00000";"  0.00000";"165.12845";"  0.00000";"  0.00000";"  0.00000";"  0.00000";" 89.44458";"130.72669";"  0.00000";"  0.00000";"123.84634";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000"
"8pm";" 82.56422";"  0.00000";"  0.00000";"  0.00000";"123.84634";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"116.96598";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000"
"9pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"10pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
