"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478";"6714.80478"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";"0";" 0"
"5am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"966.5519";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"0";"  0.0000";"0";"  0.0000";"0";"0";"0";"  0.0000"
"6am";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1046.5125";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";" 844.1915";"   0.0000";" 919.7359";"1236.2857";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000"
"7am";"1178.8438";"1405.7544";"2741.6332";"1511.5015";" 862.5268";"2655.4399";" 990.2250";"   0.0000";"1035.2238";"2052.7957";"   0.0000";"2520.7410";"1127.7981";"2851.3757";"3121.5630";"1539.1816";"1322.9573";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";"5140.6919";"3346.2059";"6334.5244";"3892.8148";"2610.8965";"4559.0796";"1596.9677";"1207.7148";"1317.5584";"3776.9454";" 915.8616";"5571.8328";"1965.3191";"3664.0658";"5287.4109";"2777.2983";"2331.9834";"   0.0000";" 961.3120";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";"5613.774";"3796.512";"6554.270";"4399.236";"2988.029";"5103.306";"1522.065";"1521.625";"1381.939";"4336.882";"1113.113";"6148.731";"2186.195";"3403.493";"5684.433";"3084.023";"2665.010";"   0.000";"1013.973";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"10am";"6375.0754";"3768.7257";"6493.3668";"4487.0539";"3004.1183";"5708.5399";"1519.6557";"1468.2018";"1622.6347";"4548.7021";"1258.8453";"6050.6608";"2061.6035";"3415.6089";"5781.8252";"3084.8313";"2527.2069";"   0.0000";"1013.9732";" 627.6888";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"11am";"6495.604";"3915.399";"6644.804";"4254.289";"2923.759";"5443.193";"1673.139";"1553.523";"1739.931";"4400.043";"1525.849";"5829.789";"1836.323";"3624.586";"5204.501";"3152.874";"2297.884";"   0.000";"1013.973";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"12am";"5761.7144";"2954.7623";"5220.7315";"3516.5386";"2180.4203";"5041.2236";"1398.0682";"1767.2955";" 995.7737";"3712.1056";"1714.8215";"4826.7384";"1380.6292";"3170.4425";"3755.7427";"2176.8905";"1857.5656";"   0.0000";" 924.8445";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"1pm";"6509.0527";"3532.3324";"6173.1426";"3845.9479";"2797.6610";"5812.7333";"1471.9950";"1406.7626";"1346.8836";"4423.7591";"1504.1096";"5643.0623";"1515.8471";"3375.1860";"5027.4489";"2908.8219";"2280.7673";"   0.0000";" 869.2788";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
