"district","hour","age1","age2","age3","age4"
"007","5am",12.091805,11.657542,47.78841,28.46224
"008","5am",10.212632,9.34048,47.42133,33.02556
"009","5am",14.381052,15.192923,42.67788,27.74814
"010","5am",7.838254,13.00854,40.55104,38.60216
"011","5am",7.240979,11.560933,35.1605,46.03758
"012","5am",10.471375,12.678171,40.57588,36.27457
"013","5am",17.053841,5.753158,44.49733,32.69567
"014","5am",9.616046,10.82841,61.06542,18.49012
"015","5am",9.26271,15.689475,47.2363,27.81152
"016","5am",9.61516,6.614429,49.3882,34.38221
"017","5am",9.107617,12.393335,49.15161,29.34743
"018","5am",10.478963,8.264082,47.4958,33.76116
"019","5am",11.65451,12.945806,45.07316,30.32653
"020","5am",14.129903,10.698573,50.39784,24.77368
"021","5am",5.225058,5.447996,44.92134,44.4056
"022","5am",23.606421,8.629727,31.77656,35.98729
"023","5am",19.449545,11.414172,45.97747,23.15882
"024","5am",5.673516,10.291797,44.83605,39.19863
"025","5am",13.810443,9.764144,44.70835,31.71706
"026","5am",12.040875,9.867655,49.1411,28.95037
"027","5am",15.779583,10.066654,51.73732,22.41645
"028","5am",9.125496,4.018178,37.32683,49.52949
"029","5am",9.380715,11.301157,48.6046,30.71353
"030","5am",9.620828,9.688432,55.28831,25.40243
"031","5am",14.221089,14.00008,49.68939,22.08944
"032","5am",9.684867,8.260302,54.83395,27.22088
"033","5am",12.577824,7.147491,46.19392,34.08077
"034","5am",12.873757,5.661917,47.10988,34.35445
"035","5am",10.808896,10.188226,63.50355,15.49933
"036","5am",13.393912,12.037645,49.99972,24.56872
"037","5am",9.133995,11.695093,43.63162,35.5393
"038","5am",8.552547,6.80959,49.40324,35.23462
"039","5am",11.659392,6.181305,40.58514,41.57416
"040","5am",14.981428,4.772375,53.22184,27.02436
"041","5am",12.695338,8.18036,55.04081,24.08349
"042","5am",15.433622,9.068153,54.94069,20.55753
"043","5am",8.717632,7.746129,63.14341,20.39283
"044","5am",11.525775,5.712927,55.75942,27.00188
"045","5am",9.112358,7.251134,65.51056,18.12594
"046","5am",7.0934,8.917476,57.26366,26.72546
"047","5am",8.627957,10.512043,46.22581,34.63419
"048","5am",8.334459,13.154646,41.31395,37.19695
"049","5am",4.250235,6.040456,41.50212,48.20718
"050","5am",12.021302,10.038912,46.58424,31.35554
"051","5am",6.993555,9.071451,44.40704,39.52796
"052","5am",5.234118,10.020877,62.74139,22.00361
"053","5am",10.491999,10.599353,58.86802,20.04062
"054","5am",9.342185,13.062852,46.20183,31.39314
"055","5am",13.456445,12.498778,55.68915,18.35563
"056","5am",12.767426,6.705994,51.68606,28.84052
"057","5am",14.914506,10.360904,48.98892,25.73567
"058","5am",7.349669,13.651082,52.61108,26.38817
"059","5am",10.470798,6.817678,39.80325,42.90827
"060","5am",15.802707,6.660593,48.47761,29.05909
"061","5am",4.142555,11.635983,50.76272,33.45874
"062","5am",11.354415,6.230058,63.1448,19.27073
"063","5am",6.372204,11.994361,55.53083,26.10261
"064","5am",12.808918,6.848148,46.28826,34.05467
"065","5am",7.096937,4.204233,45.39041,43.30842
