"district","hour","resarea1","resarea2","resarea3"
"001","4am",0,39.589,5080.011
"002","4am",0,103.965,6175.329
"003","4am",147.656,146.028,11330.931
"004","4am",0,121.866,7268.095
"005","4am",94.079,8.525,9497.071
"006","4am",0,100.677,8718.283
"007","4am",636.198,58.167,8190.749
"008","4am",0,37.371,10578.81
"009","4am",0,0,7313.477
"010","4am",0,110.489,5348.839
"011","4am",0,70.34,7941.268
"012","4am",0,0,8197.973
"013","4am",0,88.043,12338.708
"014","4am",0,0,6446.498
"015","4am",0,126.762,9165.439
"016","4am",0,0,7878.304
"017","4am",0,0,6545.467
"018","4am",0,0,7025.77
"019","4am",0,0,9838.512
"020","4am",0,0,7000.51
"021","4am",0,0,6706.325
"022","4am",0,0,5870.033
"023","4am",0,0,8867.418
"024","4am",0,0,8754.516
"025","4am",0,59.305,9640.037
"026","4am",0,0,9630.982
"027","4am",0,25.232,8431.014
"028","4am",0,0,7214.977
"029","4am",0,0,8413.687
"030","4am",0,161.928,5695.107
"031","4am",215.223,468.138,8886.974
"032","4am",0,0,8940.629
"033","4am",0,39.589,6964.893
"034","4am",0,0,4362.374
"035","4am",96.417,275.328,7329.914
"036","4am",0,10615.89,0
"037","4am",178.214,8567.521,0
"038","4am",0,5960.417,0
"039","4am",0,10246.898,0
"040","4am",0,6264.095,0
"041","4am",0,7858.804,0
"042","4am",184.461,4498.19,57.98
"043","4am",11429.478,53.284,0
"044","4am",0,5767.935,0
"045","4am",0,7975.956,66.814
"046","4am",0,11502.029,0
"047","4am",0,7928.148,58.523
"048","4am",0,9351.928,68.253
"049","4am",0,11939.657,0
"050","4am",0,11062.586,0
"051","4am",0,10905.609,0
"052","4am",0,9861.815,0
"053","4am",12627.08,0,110.913
"054","4am",5055.397,0,0
"055","4am",13888.88,295.616,40.64
"056","4am",0,15458.723,0
"057","4am",0,13144.404,117.306
"058","4am",0,9343.326,49.793
"059","4am",0,9978.685,76.002
"060","4am",0,12528.395,92.558
"061","4am",0,12047.249,48.991
"062","4am",0,4528.324,125.735
"063","4am",0,13002.776,0
"064","4am",0,2488.678,0
"065","4am",0,10380.614,0
"066","4am",0,11779.458,0
"067","4am",0,1116.904,0
"068","4am",0,8113.68,0
"069","4am",0,91.794,89.616
"070","4am",NA,NA,NA
"071","4am",0,0,87.588
"072","4am",NA,NA,NA
"073","4am",NA,NA,NA
"074","4am",0,3381.999,42.927
"075","4am",0,14032.876,0
"076","4am",0,9581.681,0
"077","4am",0,7256.558,0
"078","4am",0,18597.593,0
"079","4am",0,8595.273,0
"080","4am",0,164.504,37.912
"081","4am",0,10.013,0
"082","4am",2593.757,0,0
"083","4am",0,16150.84,0
"084","4am",0,3554.181,0
"085","4am",23.976,8885.827,0
"086","4am",0,3565.523,0
"087","4am",0,6992.155,0
"088","4am",0,10451.732,0
"089","4am",0,4533.906,0
"090","4am",0,8663.437,0
"091","4am",0,11223.3,0
"092","4am",0,16273.098,0
"093","4am",0,7128.065,0
"094","4am",0,14854.814,0
"095","4am",0,11908.456,0
"096","4am",34.572,18188.877,32.233
"097","4am",0,13916.847,0
"098","4am",0,10156.586,0
"099","4am",0,7253.776,0
"100","4am",0,8535.303,0
"101","4am",NA,NA,NA
"102","4am",NA,NA,NA
"103","4am",0,375.109,0
"104","4am",0,20436.754,0
"001","5am",0,0,5007.468
"002","5am",0,149.698,6314.037
"003","5am",213.197,146.028,11367.804
"004","5am",0,121.866,7363.174
"005","5am",94.079,67.86,9437.676
"006","5am",0,100.677,8813.84
"007","5am",636.198,97.756,8235.741
"008","5am",0,37.371,10516.99
"009","5am",0,0,7303.624
"010","5am",0,110.489,5308.728
"011","5am",0,70.34,7819.049
"012","5am",0,0,8136.41
"013","5am",0,88.043,12123.581
"014","5am",503.88,0,6375.403
"015","5am",0,126.762,9108.786
"016","5am",0,78.256,7878.304
"017","5am",0,0,6541.645
"018","5am",0,0,7059.477
"019","5am",0,0,9804.805
"020","5am",0,0,7023.049
"021","5am",0,0,6662.835
"022","5am",0,132.251,5802.236
"023","5am",77.645,0,8411.109
"024","5am",0,69.345,8488.558
"025","5am",0,59.305,9464.336
"026","5am",0,0,9577.402
"027","5am",118.92,25.232,8467.945
"028","5am",0,0,7167.402
"029","5am",0,0,8413.687
"030","5am",36.639,161.928,5651.709
"031","5am",178.584,548.327,8721.142
"032","5am",0,0,8940.629
"033","5am",0,0,6897.791
"034","5am",0,0,4325.443
"035","5am",96.417,323.691,7401.283
"036","5am",0,10609.693,49.344
"037","5am",178.214,8194.836,0
"038","5am",96.417,5903.459,37.507
"039","5am",0,10246.898,0
"040","5am",0,6167.602,54.415
"041","5am",0,7759.927,0
"042","5am",184.461,4467.283,57.98
"043","5am",11199.691,53.284,0
"044","5am",0,5719.572,0
"045","5am",0,7975.956,66.814
"046","5am",0,11359.391,0
"047","5am",0,7846.477,58.523
"048","5am",0,9433.599,68.253
"049","5am",0,12004.889,0
"050","5am",0,10903.96,0
"051","5am",0,10973.79,0
"052","5am",0,10026.408,0
"053","5am",11917.572,0,63.338
"054","5am",5022.808,0,0
"055","5am",13825.052,724.066,295.925
"056","5am",0,15458.723,0
"057","5am",0,13200.036,58.653
"058","5am",0,9355.447,49.793
"059","5am",0,9888.769,76.002
"060","5am",0,12395.505,92.558
"061","5am",0,12017.355,48.991
"062","5am",0,4894.973,125.735
"063","5am",0,12526.136,0
"064","5am",0,2459.833,0
"065","5am",0,10209.306,0
"066","5am",0,11892.904,0
"067","5am",0,1127.995,0
"068","5am",0,8212.928,0
"069","5am",0,91.794,89.616
"070","5am",NA,NA,NA
"071","5am",0,141.797,87.588
"072","5am",NA,NA,NA
"073","5am",NA,NA,NA
"074","5am",0,3330.55,42.927
"075","5am",0,14076.995,0
"076","5am",0,9521.991,0
"077","5am",0,7169.396,0
"078","5am",0,18512.672,34.599
"079","5am",0,8552.762,0
"080","5am",0,164.504,37.912
"081","5am",0,10.013,0
"082","5am",2536.873,0,0
"083","5am",0,16018.675,0
"084","5am",0,3529.194,0
"085","5am",23.976,8671.344,0
"086","5am",0,3501.456,0
"087","5am",0,7095.393,82.815
"088","5am",0,10288.254,0
"089","5am",0,4741.083,0
"090","5am",0,8698.6,0
"091","5am",0,10939.981,0
"092","5am",0,16005.857,0
"093","5am",0,6866.678,0
