"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"012","5am",762.624,2324.589,1008.377,1532.95
"013","5am",1004.698,4626.028,1430.195,2301.348
"014","5am",577.408,2797.329,737.832,607.819
"015","5am",1051.415,2180.729,1140.626,2122.578
"016","5am",484.653,1751.497,1122.568,2725.879
"017","5am",758.5,1585.217,804.309,1118.216
"018","5am",661.92,2292.189,703.381,1495.347
"019","5am",1617.678,1727.872,1185.036,2927.71
"020","5am",688.46,1581.281,1131.462,734.53
"021","5am",635.873,1070.318,820.138,2004.169
"022","5am",367.56,1766.168,1143.769,775.219
"023","5am",1364.409,2968.228,1215.744,194.988
"024","5am",784.129,1226.742,1154.736,3137.449
"025","5am",702.555,1472.16,2000.381,2322.728
"026","5am",1143.034,2209.464,1028.212,2038.715
"027","5am",544.711,2215.351,1208.869,2386.547
"028","5am",524.278,1817.86,1295.427,1889.027
"029","5am",304.621,1704.755,2221.989,2176.173
"030","5am",1077.708,1792.44,731.417,817.131
"031","5am",1269.346,3575.769,803.506,382.66
"032","5am",1361.259,1625.137,1532.473,1614.5
"033","5am",952.733,1890.745,1069.586,561.16
"034","5am",526.944,913.124,790.942,594.125
"035","5am",534.213,1451.837,2704.654,1541.3
"036","5am",1003.5,3001.122,1272.368,1566.979
"037","5am",1117.045,1882.524,1613.7,1469.257
"038","5am",342.217,1413.034,1358.037,940.285
"039","5am",564.054,2566,703.379,2723.06
"040","5am",691.096,1375.6,944.766,1001.363
"041","5am",615.448,2579.908,1251.614,561.315
"042","5am",717.835,1966.657,421.19,315.86
"043","5am",928.705,4082.24,1305.232,958.271
"044","5am",346.933,2059.634,873.347,800.221
"045","5am",356.202,2096.459,1174.819,1853.339
"046","5am",865.17,2699.752,2305.779,2159.332
"047","5am",497.151,2491.095,1380.405,1496.296
"048","5am",976.182,2504.265,1260.474,1293.966
"049","5am",1691.719,4226.003,1063.074,2019.005
"050","5am",2454.966,3403.014,1304.1,632.523
"051","5am",1503.033,3110.841,1696.559,1463.664
"052","5am",1555.77,2897.067,1647.403,1458.055
"053","5am",456.818,3785.6,2123.431,771.769
"054","5am",523.223,1987.16,825.406,550.166
"055","5am",1160.727,4652.92,2647.549,1859.03
"056","5am",1516.131,2370.197,1546.651,4605.526
"057","5am",1238.997,3273.751,931.377,3388.573
"058","5am",436.167,2283.513,1724.249,2854.136
"059","5am",915.454,3212.514,846.103,936.945
"060","5am",2650.317,3042.215,1368.052,877.178
"061","5am",881.71,3276.69,1776.832,2711.846
"062","5am",318.242,1398.625,720.801,1092.595
"063","5am",333.156,3598.33,1962.935,2823.968
"064","5am",120.255,391.764,537.428,573.029
"065","5am",1213.939,2318.208,2349.221,1517.397
"066","5am",581.358,3035.499,1807.893,2899.101
"067","5am",23.499,234.586,174.436,411.789
"068","5am",520.839,2276.211,759.488,1601.459
"069","5am",0,136.602,0,0
"070","5am",NA,NA,NA,NA
"071","5am",0,43.794,43.794,0
"072","5am",NA,NA,NA,NA
"073","5am",NA,NA,NA,NA
"074","5am",229.929,676.963,411.119,1111.254
"075","5am",332.643,2079.008,3545.909,4627.332
"076","5am",222.085,873.378,2089.07,3650.561
"077","5am",347.173,931.787,1234.986,2513.084
"078","5am",2193.621,5228.301,3174.029,3208.94
"079","5am",788.698,2183.848,1751.124,1223.911
"080","5am",0,21.621,21.621,159.174
"081","5am",0,10.013,0,0
"082","5am",368.537,1054.266,454.902,125.321
"083","5am",502.894,4125.821,2717.668,2865.566
"084","5am",342.792,826.304,722.103,665.882
"085","5am",826.793,2412.045,1321.396,1905.318
"086","5am",199.388,1164.271,789.629,647.063
"087","5am",766.734,2866.462,799.304,628.566
"088","5am",350.255,2669.729,2245.427,2579.358
"089","5am",214.489,2022.719,957.722,549.339
"090","5am",729.861,2469.069,1412.959,1518.139
"091","5am",1292.117,3127.817,1242.969,1978.095
"092","5am",1562.101,3501.569,3501.074,3424.087
"093","5am",341.839,2652.45,1035.352,733.622
"094","5am",1404.341,6701.549,2142.789,1257.293
"095","5am",447.973,2499.196,2575.027,2422.478
"096","5am",2633.195,6174.734,1932.316,2350.983
"097","5am",1672.334,4794.658,2205.696,1663.113
"098","5am",856.528,2357.147,1686.99,1650.194
"099","5am",633.648,965.565,1072.566,2048.832
"100","5am",592.889,2567.551,1507.453,1531.703
"101","5am",NA,NA,NA,NA
"102","5am",NA,NA,NA,NA
"103","5am",NA,NA,NA,NA
"104","5am",450.824,4860.997,3097.437,3454.538
"001","6am",521.019,1424.278,455.522,896.94
"002","6am",322.258,1630.301,1120.826,1897.062
"003","6am",1525.377,2783.553,1596.909,2006.957
"004","6am",479.337,1555.663,1263.504,1425.143
"005","6am",763.688,2063.815,1296.718,2066.003
"006","6am",775.107,1925.917,1876.38,1686.945
"007","6am",619.413,2429.559,1008.587,1467.584
"008","6am",797.386,2813.004,1471.543,2877.444
"009","6am",1088.453,1957.353,1110.514,703.576
"010","6am",400.481,1016.045,796.888,1491.266
"011","6am",424.002,2626.247,1172.204,1875.493
"012","6am",762.624,2276.772,949.741,1532.95
"013","6am",1004.698,4333.899,1410.146,2314.819
"014","6am",610.405,2521.954,737.832,607.819
"015","6am",1000.205,2287.453,1232.018,2384.219
"016","6am",484.653,1751.497,1073.521,2755.948
"017","6am",748.767,1669.009,804.309,1108.483
"018","6am",661.92,2285.643,703.381,1386.893
"019","6am",1617.678,1727.872,1185.036,2927.71
"020","6am",688.46,1543.28,1015.982,622.209
"021","6am",635.873,1018.152,776.77,2004.169
"022","6am",367.56,1698.371,1293.056,811.553
"023","6am",1283.394,2680.838,859.402,194.988
"024","6am",793.862,1159.845,1154.736,3075.894
"025","6am",702.555,1330.079,2000.381,2132.161
"026","6am",1143.034,2155.884,850.309,2021.552
"027","6am",544.711,2038.451,1246.208,2493.792
"028","6am",524.278,1817.86,1295.427,1889.027
"029","6am",304.621,1638.323,2072.702,2069.18
"030","6am",1077.708,1814.322,720.719,798.838
"031","6am",1269.346,3483.91,892.994,402.923
"032","6am",1298.826,1505.935,1532.473,1562.334
"033","6am",912.093,1785.635,1069.586,524.303
"034","6am",526.944,856.481,685.518,525.632
"035","6am",767.589,1891.85,2731.59,1480.741
"036","6am",1003.5,3001.305,1620.916,1566.979
"037","6am",1253.912,1915.521,1513.398,1469.257
"038","6am",342.217,1385.479,1223.021,902.43
"039","6am",564.054,2572.513,694.961,2711.129
"040","6am",770.409,1450.743,944.766,952.729
"041","6am",562.164,2561.088,1188.149,508.031
"042","6am",684.838,1825.895,382.172,276.842
"043","6am",971.632,3686.891,1089.69,632.927
"044","6am",346.933,2067.162,798.605,703.495
"045","6am",356.202,2024.29,1174.819,1798.09
"046","6am",865.17,2699.752,2091.051,2159.332
"047","6am",497.151,2299.189,1328.883,1496.296
"048","6am",976.182,2439.058,1260.474,1343.75
"049","6am",1554.852,4229.747,953.857,1951.986
"050","6am",2309.689,3062.091,1304.1,632.523
"051","6am",1437.175,2956.94,1608.516,1360.332
"052","6am",1555.77,2862.898,1563.147,1506.689
"053","6am",456.818,3652.951,2031.189,858.477
"054","6am",523.223,1969.333,1011.667,517.577
"055","6am",1160.727,4819.155,2257.607,1912.314
"056","6am",1212.606,2234.384,1707.291,4398.001
"057","6am",1238.997,3198.376,856.002,3284.608
"058","6am",436.167,2233.72,1724.249,2790.441
"059","6am",915.454,3179.383,846.103,936.945
"060","6am",2438.114,3003.94,1456.095,877.178
"061","6am",796.306,3253.538,1776.832,2578.22
"062","6am",318.242,1385.258,888.117,1092.595
"063","6am",333.156,3491.594,1621.976,2823.968
"064","6am",120.255,341.369,537.428,535.473
"065","6am",1213.939,2356.503,2349.221,1517.397
"066","6am",581.358,2922.472,1785.786,3043.778
"067","6am",23.499,234.586,174.436,411.789
"068","6am",520.839,2382.954,759.488,1536.013
"069","6am",0,136.602,0,0
"070","6am",NA,NA,NA,NA
"071","6am",0,43.794,43.794,0
"072","6am",NA,NA,NA,NA
"073","6am",NA,NA,NA,NA
"074","6am",229.929,627.516,411.119,1059.805
"075","6am",332.643,2001.494,3463.9,4549.818
"076","6am",222.085,1020.123,2089.07,3626.981
"077","6am",347.173,981.313,1239.518,2424.316
"078","6am",2193.621,5128.651,3124.133,3208.94
"079","6am",788.698,2215.828,1751.124,1223.911
"080","6am",0,21.621,21.621,121.262
"081","6am",0,10.013,0,0
"082","6am",351.251,950.082,439.895,125.321
"083","6am",502.894,4125.821,2534.885,2905.288
"084","6am",342.792,801.173,644.156,665.882
"085","6am",826.793,2328.483,1474.001,1905.318
"086","6am",199.388,1078.583,778.799,609.163
"087","6am",766.734,2406.436,757.706,588.844
"088","6am",350.255,2669.935,2280.704,2478.514
"089","6am",214.489,2093.666,1038.626,515.444
"090","6am",729.861,2666.131,1412.959,1464.372
"091","6am",1292.117,3046.028,1113.178,1930.057
"092","6am",1562.101,3647.37,3086.325,3328.139
"093","6am",341.839,2599.402,1035.352,733.622
"094","6am",1404.341,6457.745,1931.168,1257.293
"095","6am",447.973,2499.196,2575.027,2330.133
"096","6am",2633.195,6192.671,1932.316,2584.843
"097","6am",1672.334,4737.269,2373.824,1663.113
"098","6am",856.528,2357.147,1808.718,1576.331
"099","6am",633.648,897.96,1167.674,1972.826
"100","6am",592.889,2635.156,1518.373,1465.282
"101","6am",NA,NA,NA,NA
"102","6am",0,0,80.189,0
"103","6am",NA,NA,NA,NA
"104","6am",450.824,4696.457,3097.437,3296.684
"001","7am",479.548,1637.88,641.335,1219.306
"002","7am",322.258,1565.352,1368.601,2014.938
"003","7am",1584.03,2713.077,1575.139,1814.034
"004","7am",534.963,1644.112,1154.224,1318.154
"005","7am",803.835,1953.42,1117.952,1884.311
"006","7am",775.107,1837.418,1678.065,2015.759
"007","7am",619.413,2699.934,1149.335,1473.509
"008","7am",797.386,2565.727,1284.004,2286.791
"009","7am",1038.744,2110.482,1000.655,1120.855
"010","7am",446.76,1065.838,860.689,1308.84
"011","7am",322.777,2654.779,1061.66,1691.201
"012","7am",777.676,2284.391,932.899,1308.262
"013","7am",1054.782,4135.216,1438.317,1828.5
"014","7am",610.405,2479.695,729.525,464.715
"015","7am",1000.205,2314.313,1124.155,3035.543
"016","7am",520.742,1293.05,1212.459,2253.585
"017","7am",748.767,1603.627,957.264,879.366
"018","7am",757.121,2213.637,531.944,1362.494
"019","7am",1553.398,1195.159,677.767,2349.922
"020","7am",688.46,1594.298,1014.011,604.491
"021","7am",635.873,992.952,757.335,1875.568
