"district","hour","sex1","sex2"
"001","4am",49.11085,50.88915
"002","4am",44.84921,55.15079
"003","4am",40.79787,59.20213
"004","4am",40.43291,59.56709
"005","4am",47.12236,52.87764
"006","4am",40.71004,59.28996
"007","4am",40.78921,59.21079
"008","4am",47.14084,52.85916
"009","4am",41.58184,58.41816
"010","4am",42.04239,57.95761
"011","4am",47.42227,52.57773
"012","4am",44.79316,55.20684
"013","4am",37.79339,62.20661
"014","4am",42.22313,57.77687
"015","4am",44.30957,55.69043
"016","4am",43.54923,56.45077
"017","4am",44.32828,55.67172
"018","4am",36.62897,63.37103
"019","4am",45.49624,54.50376
"020","4am",44.48849,55.51151
"021","4am",45.2555,54.7445
"022","4am",39.38959,60.61041
"023","4am",46.53424,53.46576
"024","4am",44.09004,55.90996
"025","4am",40.52024,59.47976
"026","4am",46.04644,53.95356
"027","4am",47.08038,52.91962
"028","4am",44.67285,55.32715
"029","4am",45.06663,54.93337
"030","4am",46.01851,53.98149
"031","4am",52.86444,47.13556
"032","4am",44.88752,55.11248
"033","4am",41.80816,58.19184
"034","4am",41.22097,58.77903
"035","4am",49.6141,50.3859
"036","4am",41.3161,58.6839
"037","4am",48.70577,51.29423
"038","4am",43.56239,56.43761
"039","4am",42.27174,57.72826
"040","4am",49.37877,50.62123
"041","4am",46.0741,53.9259
"042","4am",45.68447,54.31553
"043","4am",48.10469,51.89531
"044","4am",48.48621,51.51379
"045","4am",48.15689,51.84311
"046","4am",48.63631,51.36369
"047","4am",44.86504,55.13496
"048","4am",45.25241,54.74759
"049","4am",39.68004,60.31996
"050","4am",43.8445,56.1555
"051","4am",43.21489,56.78511
"052","4am",48.3984,51.6016
"053","4am",48.46013,51.53987
"054","4am",46.37996,53.62004
"055","4am",41.4512,58.5488
"056","4am",49.04518,50.95482
"057","4am",43.90299,56.09701
"058","4am",46.79887,53.20113
"059","4am",49.33308,50.66692
"060","4am",43.08929,56.91071
"061","4am",48.88546,51.11454
"062","4am",50.00966,49.99034
"063","4am",52.82136,47.17864
"064","4am",46.89253,53.10747
"065","4am",47.48651,52.51349
"066","4am",48.0744,51.9256
"067","4am",48.41446,51.58554
"068","4am",40.68445,59.31555
"069","4am",50,50
"070","4am",NA,NA
"071","4am",50,50
"072","4am",NA,NA
"073","4am",NA,NA
"074","4am",48.91005,51.08995
"075","4am",48.18251,51.81749
"076","4am",49.75792,50.24208
"077","4am",52.86954,47.13046
"078","4am",48.70395,51.29605
"079","4am",44.66394,55.33606
"080","4am",40.63513,59.36487
"081","4am",100,0
"082","4am",51.5258,48.4742
"083","4am",50.7746,49.2254
"084","4am",41.76816,58.23184
"085","4am",49.26906,50.73094
"086","4am",51.05523,48.94477
"087","4am",44.32164,55.67836
"088","4am",44.40903,55.59097
"089","4am",47.41144,52.58856
"090","4am",45.11348,54.88652
"091","4am",48.66541,51.33459
"092","4am",49.0908,50.9092
"093","4am",44.33557,55.66443
"094","4am",42.1249,57.8751
"095","4am",39.03996,60.96004
"096","4am",43.76617,56.23383
"097","4am",46.4958,53.5042
"098","4am",31.0621,68.9379
"099","4am",45.3569,54.6431
"100","4am",46.23534,53.76466
"101","4am",NA,NA
"102","4am",NA,NA
"103","4am",100,0
"104","4am",42.22646,57.77354
"001","5am",47.97129,52.02871
"002","5am",47.0032,52.9968
"003","5am",41.31489,58.68511
"004","5am",41.18956,58.81044
"005","5am",46.50393,53.49607
"006","5am",39.68465,60.31535
"007","5am",41.34755,58.65245
"008","5am",46.83123,53.16877
"009","5am",40.75571,59.24429
"010","5am",41.61341,58.38659
"011","5am",47.19463,52.80537
"012","5am",44.37544,55.62456
"013","5am",37.91001,62.08999
"014","5am",46.40072,53.59928
"015","5am",44.58137,55.41863
"016","5am",44.10445,55.89555
"017","5am",44.29575,55.70425
"018","5am",36.93155,63.06845
"019","5am",45.30887,54.69113
"020","5am",44.47846,55.52154
"021","5am",45.5509,54.4491
