"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"9291.586";"9291.586";"9291.586";"9291.586";"9291.586";"9291.586";"9291.586";"9291.586";"9291.586";"9291.586";"9291.586";"9291.586";"9291.586";"9291.586";"9291.586"
"4am";"5270.215";"3462.552";"9133.191";"3070.427";"2362.728";"6055.966";"3974.061";"5562.292";"4217.783";"3149.990";"2983.971";"4999.931";"4278.377";"2735.205";"2287.186"
"5am";"5218.538";"3462.552";"9033.512";"3070.427";"2354.811";"6031.394";"3726.563";"5562.292";"4149.488";"3063.887";"2961.045";"4965.222";"4278.377";"2735.205";"2259.111"
"6am";"5203.617";"3432.423";"8795.463";"3012.752";"2333.063";"5722.594";"3568.236";"5341.974";"3884.370";"2978.425";"2868.668";"4614.710";"4216.663";"2582.313";"2259.111"
"7am";"4636.530";"2725.558";"7361.334";"2319.430";"1772.697";"4936.594";"2932.987";"3930.834";"2792.935";"2087.568";"2317.286";"3493.725";"3375.592";"1784.536";"1703.105"
"8am";"3409.355";"2192.423";"5265.176";"1630.636";"1418.833";"3090.594";"2257.181";"2836.918";"1760.401";"1527.344";"1506.558";"2588.097";"2438.540";"1252.135";"1054.490"
"9am";"3061.726";"1845.750";"5221.654";"1422.001";"1274.777";"2548.201";"1846.507";"2530.634";"1490.278";"1388.053";"1265.739";"2501.990";"2227.656";" 953.649";" 930.425"
"10am";"2394.824";"1831.241";"4355.600";"1372.930";"1174.610";"2689.286";"2003.947";"2743.313";"1544.835";"1387.577";"1280.241";"2417.753";"2001.543";" 956.601";" 914.106"
"11am";"2754.136";"2056.757";"5087.210";"1532.282";"1239.346";"3170.457";"2111.414";"2908.404";"1590.920";"1535.324";"1288.728";"2597.343";"2133.358";"1141.192";" 971.325"
"12am";"3901.370";"2590.889";"6100.545";"2107.522";"1617.954";"4155.110";"2587.596";"3993.865";"2565.984";"2019.657";"1869.048";"3180.643";"2872.717";"1745.131";"1419.743"
"1pm";"3238.274";"2118.451";"5470.092";"1549.706";"1291.851";"3432.305";"2204.671";"3174.234";"2027.429";"1656.644";"1745.354";"2486.230";"2297.294";"1388.298";"1093.616"
"2pm";"2303.587";"1833.422";"4675.461";"1390.707";"1152.304";"2972.202";"1745.628";"2421.175";"1702.331";"1349.859";"1150.019";"2186.718";"2218.157";"1215.677";" 922.032"
"3pm";"2475.098";"1775.878";"4130.722";"1272.605";"1230.012";"2883.175";"1720.504";"2274.697";"1730.089";"1431.057";"1306.121";"2002.159";"2198.041";"1185.592";" 890.652"
"4pm";"2868.579";"2000.613";"4339.379";"1510.934";"1392.164";"3048.643";"1872.235";"2589.503";"1592.309";"1713.922";"1543.307";"2442.698";"2052.229";"1353.205";"1036.629"
"5pm";"3524.768";"2419.872";"5632.296";"2188.886";"1889.409";"3713.434";"2688.303";"3760.836";"2348.283";"2162.408";"2093.093";"3351.578";"2661.790";"1894.879";"1397.792"
"6pm";"3972.906";"2948.253";"7526.140";"2815.532";"1915.097";"5283.266";"2881.450";"4261.365";"3321.174";"2569.559";"2144.092";"4004.168";"3408.364";"2376.876";"1788.681"
"7pm";"4456.869";"3170.126";"8006.941";"2731.437";"2131.937";"5872.151";"3413.935";"4923.336";"3658.858";"2925.862";"2359.961";"4419.100";"3756.871";"2592.387";"1976.087"
"8pm";"4371.350";"3282.326";"8597.083";"2655.004";"2246.981";"5869.969";"3507.755";"5023.592";"3692.508";"2962.356";"2358.648";"4726.157";"3852.213";"2647.436";"2104.064"
"9pm";"4671.945";"3449.296";"8589.809";"2691.481";"2271.120";"5921.920";"3401.520";"5122.612";"3831.314";"2996.570";"2419.248";"4946.749";"3983.317";"2683.735";"2152.607"
"10pm";"4819.557";"3536.002";"8640.178";"2815.075";"2382.137";"6005.760";"3600.072";"5317.001";"4025.671";"3063.763";"2479.154";"5021.862";"4046.224";"2773.456";"2219.575"
"11pm";"5188.776";"3554.003";"8917.108";"2919.908";"2421.499";"6090.798";"3822.345";"5484.109";"4102.046";"3117.639";"2561.497";"5094.191";"4125.784";"2795.613";"2307.586"
"12pm";"5188.776";"3554.003";"8917.108";"2975.492";"2421.499";"6134.656";"3836.267";"5510.153";"4209.862";"3131.924";"2641.772";"5094.191";"4193.067";"2795.613";"2335.680"
"1am";"5377.641";"3554.003";"8956.809";"3011.416";"2421.499";"6159.228";"3987.153";"5510.153";"4236.853";"3131.924";"2641.772";"5094.191";"4193.067";"2802.183";"2335.680"
"2am";"5392.562";"3554.003";"8956.809";"3011.416";"2421.499";"6159.228";"4001.174";"5537.426";"4236.853";"3131.924";"2641.772";"5094.191";"4193.067";"2802.183";"2335.680"
"3am";"5392.562";"3554.003";"9291.586";"3011.416";"2421.499";"6188.104";"4001.174";"5537.426";"4236.853";"3191.860";"2641.772";"5094.191";"4193.067";"2802.183";"2335.680"
