"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88";"5512.88"
"4am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"5am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"6am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"7am";" 472.82";"   0.00";"   0.00";" 261.56";"1207.20";"   0.00";"   0.00";" 331.98";"   0.00";" 794.74";"   0.00";"   0.00";" 271.62";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 271.62"
"8am";"1398.34";"   0.00";"   0.00";" 804.80";"3339.92";" 221.32";" 211.26";" 764.56";" 251.50";"3792.62";" 342.04";"   0.00";" 704.20";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 271.62";"   0.00";" 392.34"
"9am";"1438.58";"   0.00";"   0.00";" 834.98";"3671.90";" 231.38";" 241.44";" 875.22";" 261.56";"4627.60";" 372.22";"   0.00";" 824.92";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 281.68";"   0.00";" 402.40"
"10am";"1468.76";"   0.00";"   0.00";" 824.92";"3802.68";" 231.38";" 241.44";" 925.52";" 261.56";"4848.92";" 382.28";"   0.00";" 865.16";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 281.68";"   0.00";" 402.40"
"11am";"1438.58";"   0.00";"   0.00";" 814.86";"3762.44";" 221.32";" 201.20";" 865.16";" 251.50";"4597.42";" 392.34";"   0.00";" 855.10";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 281.68";"   0.00";" 402.40"
"12am";"1287.68";"   0.00";"   0.00";" 734.38";"3581.36";" 231.38";" 221.32";" 865.16";" 251.50";"4748.32";" 382.28";"   0.00";" 885.28";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 281.68";"   0.00";" 412.46"
"1pm";"1317.86";"   0.00";"   0.00";" 724.32";"3692.02";" 241.44";" 221.32";" 875.22";" 281.68";"4929.40";" 382.28";"   0.00";" 935.58";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 130.78";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 311.86";"   0.00";" 442.64"
"2pm";"1257.50";"   0.00";"   0.00";" 734.38";"3571.30";" 241.44";" 211.26";" 865.16";" 281.68";"4708.08";" 362.16";"   0.00";" 915.46";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 301.80";"   0.00";" 412.46"
"3pm";"1187.08";"   0.00";"   0.00";" 613.66";"3098.48";" 181.08";" 130.78";" 674.02";" 271.62";"4154.78";" 321.92";"   0.00";" 724.32";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 291.74";"   0.00";" 261.56"
"4pm";" 412.46";"   0.00";"   0.00";" 221.32";"1589.48";"   0.00";"   0.00";" 402.40";"   0.00";"2082.42";"   0.00";"   0.00";" 301.80";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 150.90"
"5pm";" 150.90";"   0.00";"   0.00";"   0.00";" 784.68";"   0.00";"   0.00";" 150.90";"   0.00";"1488.88";"   0.00";"   0.00";" 160.96";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00"
"6pm";" 120.72";"   0.00";"   0.00";"   0.00";" 533.18";"   0.00";"   0.00";"   0.00";"   0.00";"1277.62";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00"
"7pm";" 120.72";"   0.00";"   0.00";"   0.00";" 412.46";"   0.00";"   0.00";"   0.00";"   0.00";"1006.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00"
