"hour","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","146","147","148","149","151","152","155","156","157","158","159","160","161","162","163","164","165","167"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219,22252.25219
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",551.24848,706.92223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549.81067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",1074.09387,895.39257,0,0,0,0,0,0,0,0,0,0,715.69068,0,0,0,0,995.11365,0,0,0,0,0,0,0,744.3001,0,0,0,518.57055,1140.81278,0,0,0,542.92807,0,0,0,0,0,0,0,0,0,0,0,0,685.45042,0,0,429.31309,0,0,0,0,0,0,0,0,0,0
"7am",8193.61242,3343.87606,718.68728,1083.34987,2074.3568,1715.98888,1604.94095,0,939.11677,1286.34359,3468.44799,1066.51458,2124.152,2167.46005,1909.1025,2112.44444,843.53277,5297.09955,2210.85066,0,1448.92029,2660.86503,1260.2492,654.63904,988.44477,1143.93573,742.60254,0,0,1913.41196,3409.02007,0,790.67806,0,1447.86262,0,497.49943,684.53583,0,834.18604,0,517.8619,0,504.70125,0,0,958.21116,3013.61967,1483.04297,0,1608.29752,1553.13623,0,0,0,0,0,2654.05872,1121.55935,490.44466,716.37511
"8am",15239.0499,5708.46836,1506.01765,2552.04653,4537.88377,2847.23846,2759.91557,807.75962,2166.36548,3349.5982,6859.63488,2281.70059,4374.76547,3551.37363,2106.64919,3258.42263,1916.62272,10630.72011,3958.72966,727.0871,2733.42799,5463.56608,2248.22599,1247.5348,1531.04263,1770.64887,991.33685,0,842.81562,3085.15496,4378.60384,0,1542.50696,581.37911,2387.37377,0,1088.67747,1013.12479,0,1454.91898,902.66738,1026.51275,655.57202,976.98513,0,922.38216,1343.95194,4702.22877,1954.219,0,2462.6274,2202.48287,690.27348,670.79641,0,553.51285,0,4413.4509,1458.55371,1131.80241,832.28332
"9am",18660.40314,6077.75557,1902.89557,2805.461,4892.51549,3306.49646,3239.31622,1026.83583,2494.61987,4187.30819,7824.50595,2344.40013,5049.57783,4235.18811,2089.26668,4190.36396,2363.33469,12402.18218,4250.36197,936.68411,2932.46859,6040.99277,2325.66982,1379.69024,2047.09072,2669.56578,1039.61152,0,866.91961,3742.48871,4862.68521,711.70885,1383.89673,860.39591,2722.24898,705.1697,1329.97707,965.85391,579.44398,1492.18497,1077.29145,1381.95993,880.89819,1183.44176,734.64627,978.94429,1614.64742,5043.56497,2138.91143,0,2791.97549,2608.87769,836.31766,808.65177,0,610.00062,0,4806.51558,1560.56415,1497.31179,917.93577
"10am",19446.76611,6510.6562,1756.07894,2688.80023,5090.2675,3593.20636,3294.98786,1082.45851,2803.73897,4229.82389,8057.09114,2517.49261,5124.53015,3912.91705,2291.05244,3926.78312,2698.40004,12726.13139,4086.04071,968.52974,3262.52611,6062.97441,2321.29191,1274.03874,1998.47802,3635.81077,1068.31699,0,742.91693,4107.09806,4700.22965,825.65243,1457.81651,948.19127,2996.00302,0,1364.80148,999.10328,578.98956,1247.96207,963.68631,1207.33814,813.51513,1264.55531,767.01121,888.6066,1509.72842,5192.37803,2308.25718,0,2935.29778,2500.34968,979.75216,681.32275,0,574.7296,0,4816.49752,1780.04362,1208.66591,996.36223
