"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11";"11693.11"
"4am";" 6752.528";" 3341.099";" 6247.590";" 7554.275";" 3934.181";" 8733.017";" 4649.879";"11036.313";" 4256.273";" 5181.506";" 7120.526";" 4668.352";" 7062.777";" 6426.711";" 6433.317";" 7288.671";" 3395.597";" 6475.914";" 5536.913"
"5am";" 6752.528";" 3327.269";" 5973.731";" 7440.544";" 3899.100";" 8733.017";" 4649.879";"10993.375";" 4216.883";" 5181.506";" 7001.185";" 4504.825";" 6925.914";" 6387.218";" 6433.317";" 7152.711";" 3228.750";" 6304.326";" 5466.415"
"6am";" 6685.878";" 3205.231";" 5661.798";" 7229.645";" 3806.404";" 7809.763";" 4635.912";"10661.663";" 4193.635";" 5000.521";" 6907.852";" 4363.478";" 6554.040";" 6049.363";" 6111.917";" 6836.463";" 3106.309";" 6124.920";" 5310.704"
"7am";"5608.338";"2478.104";"4671.560";"5985.604";"3240.974";"6727.127";"4110.126";"8446.202";"3672.850";"3977.791";"5624.874";"3420.566";"5095.833";"4486.140";"4415.599";"5391.636";"2218.738";"4546.603";"4216.332"
"8am";"4120.820";"2021.524";"3389.233";"4242.840";"2217.140";"5073.476";"3323.515";"6406.187";"3016.509";"2821.698";"4764.251";"2419.468";"3540.906";"3304.105";"3079.575";"3876.565";"1589.971";"3192.520";"3215.699"
"9am";"3266.577";"1887.927";"3021.004";"3884.587";"1868.571";"4491.548";"3077.052";"5778.614";"2191.610";"2539.217";"4492.521";"2114.916";"2791.245";"2569.940";"2724.575";"3608.040";"1368.967";"2771.087";"2916.150"
"10am";"2450.476";"1652.508";"2854.586";"3380.546";"1785.057";"3819.890";"2784.734";"5358.846";"2115.664";"2254.894";"4103.536";"1886.615";"2757.629";"2269.498";"2556.140";"3184.388";"1138.752";"2595.154";"2881.371"
"11am";"3004.046";"1724.066";"3493.377";"3710.640";"2150.221";"4431.349";"2732.071";"6491.324";"2323.179";"2242.065";"4269.052";"2148.076";"2927.486";"2751.423";"2860.605";"3460.674";"1251.772";"2970.110";"3064.912"
"12am";"4428.295";"2424.706";"4612.253";"4524.273";"2654.722";"5393.110";"3658.228";"8305.575";"2616.950";"3155.576";"4954.491";"2728.162";"4031.765";"3554.504";"3367.606";"4642.573";"1854.280";"3552.575";"3935.031"
"1pm";"3789.741";"1933.595";"3855.177";"3953.593";"2405.325";"3539.819";"3381.306";"6534.819";"2721.296";"2952.484";"4251.901";"2338.849";"3421.829";"2942.119";"3149.204";"3691.674";"1595.744";"3256.843";"3622.194"
"2pm";"2905.318";"1778.221";"3100.657";"3102.363";"2015.558";"4055.100";"2911.626";"5553.738";"2296.002";"2411.475";"3808.882";"1959.074";"3106.394";"2094.969";"3338.679";"3486.381";"1408.038";"2713.780";"3212.632"
"3pm";"2231.039";"1629.109";"3542.800";"3574.733";"1785.620";"3537.059";"2593.816";"5620.624";"2276.572";"2364.952";"3711.822";"2010.646";"2875.215";"2050.049";"2952.135";"3669.904";"1365.376";"2581.078";"2933.796"
"4pm";"3008.742";"1801.205";"3898.904";"3609.857";"2060.910";"3779.259";"2887.902";"6756.408";"2533.614";"2445.219";"3828.605";"2326.330";"3703.296";"2605.726";"3064.893";"4197.041";"1511.860";"2676.225";"3542.982"
"5pm";"3455.219";"2324.358";"4345.778";"5021.276";"2547.685";"5277.738";"3575.750";"7695.613";"3173.168";"3464.461";"4989.699";"2902.739";"4604.216";"4041.159";"4272.633";"4930.255";"2040.609";"3698.188";"4229.600"
"6pm";"4425.609";"2875.920";"5278.045";"6037.804";"2971.282";"6220.257";"3618.338";"9480.568";"3374.645";"4351.208";"5398.788";"3676.766";"5557.382";"4899.621";"5148.534";"5795.164";"2544.549";"4936.112";"4610.294"
"7pm";" 5904.103";" 3026.042";" 5811.985";" 6865.518";" 3459.135";" 7290.939";" 3967.539";"10660.677";" 3853.034";" 4510.238";" 5847.294";" 3969.973";" 6252.000";" 5652.750";" 5847.352";" 6400.722";" 2925.715";" 5563.376";" 4765.695"
"8pm";" 5457.465";" 3095.053";" 5789.440";" 6941.596";" 3709.017";" 7912.344";" 4164.495";"10351.162";" 4094.784";" 4702.809";" 6352.115";" 4246.165";" 6466.356";" 5883.182";" 6135.768";" 6622.187";" 3257.253";" 5829.293";" 5105.395"
"9pm";" 6092.129";" 3174.676";" 5802.844";" 7015.417";" 3932.576";" 7369.715";" 4329.921";"10723.562";" 4077.160";" 4852.903";" 6676.050";" 4291.323";" 6772.215";" 5883.498";" 6165.965";" 6972.799";" 3330.874";" 5932.030";" 5297.518"
"10pm";" 6368.502";" 3216.134";" 5873.432";" 7441.162";" 4019.424";" 8151.597";" 4566.027";"10965.554";" 4178.390";" 5165.350";" 7015.401";" 4644.472";" 6727.046";" 6347.506";" 6334.886";" 7120.482";" 3353.440";" 6151.171";" 5497.237"
"11pm";" 6443.023";" 3254.279";" 6293.224";" 7631.002";" 4078.016";" 8490.435";" 4679.246";"11522.023";" 4212.859";" 5195.805";" 7090.260";" 4717.947";" 6803.179";" 6425.512";" 6391.321";" 7274.979";" 3433.877";" 6262.234";" 5551.581"
"12pm";" 6496.072";" 3261.498";" 6512.798";" 7658.604";" 4098.595";" 8490.435";" 4709.172";"11693.110";" 4293.065";" 5209.945";" 7090.260";" 4717.947";" 6994.759";" 6425.512";" 6442.370";" 7372.267";" 3453.671";" 6309.089";" 5572.324"
"1am";" 6559.254";" 3261.498";" 6512.798";" 7658.604";" 4098.595";" 8490.435";" 4776.304";"11693.110";" 4293.065";" 5209.945";" 7178.537";" 4735.446";" 7173.520";" 6450.382";" 6514.740";" 7411.702";" 3493.401";" 6384.913";" 5595.362"
"2am";" 6559.254";" 3261.498";" 6512.798";" 7658.604";" 4098.595";" 8761.676";" 4776.304";"11693.110";" 4293.065";" 5233.118";" 7217.288";" 4735.446";" 7173.520";" 6450.382";" 6587.110";" 7411.702";" 3493.401";" 6416.701";" 5595.362"
"3am";" 6773.081";" 3467.241";" 6512.798";" 7658.604";" 4098.595";" 8761.676";" 4776.304";"11693.110";" 4293.065";" 5233.118";" 7217.288";" 4735.446";" 7173.520";" 6450.382";" 6587.110";" 7411.702";" 3493.401";" 6416.701";" 5595.362"
