"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58";"12001.58"
"4am";"10.06";" 0.00";"10.06";"30.18";" 0.00";" 0.00";" 0.00";" 0.00";" 0.00";" 0.00";" 0.00";"30.18";" 0.00";" 0.00";" 0.00";" 0.00";" 0.00";" 0.00";"20.12";"10.06";" 0.00";"10.06";"10.06";" 0.00";"20.12";"10.06";"10.06";" 0.00";" 0.00"
"5am";"10.06";" 0.00";"10.06";"30.18";" 0.00";" 0.00";" 0.00";" 0.00";" 0.00";" 0.00";" 0.00";"30.18";" 0.00";" 0.00";" 0.00";" 0.00";" 0.00";" 0.00";"20.12";"10.06";" 0.00";"10.06";"10.06";" 0.00";"20.12";"10.06";"10.06";" 0.00";" 0.00"
"6am";"10.06";" 0.00";"10.06";"40.24";" 0.00";" 0.00";"20.12";" 0.00";" 0.00";" 0.00";" 0.00";"40.24";" 0.00";" 0.00";" 0.00";"20.12";" 0.00";" 0.00";"20.12";"10.06";" 0.00";"10.06";"10.06";" 0.00";"20.12";"10.06";"10.06";" 0.00";" 0.00"
"7am";"30.18";"10.06";"20.12";"30.18";"10.06";"10.06";"30.18";"10.06";" 0.00";" 0.00";"30.18";"60.36";"20.12";" 0.00";" 0.00";"30.18";"10.06";" 0.00";"30.18";"10.06";" 0.00";"20.12";"30.18";" 0.00";"30.18";"10.06";"30.18";" 0.00";"30.18"
"8am";" 70.42";" 30.18";" 60.36";"100.60";" 60.36";" 70.42";" 80.48";" 10.06";" 20.12";" 40.24";"281.68";"261.56";" 80.48";" 10.06";"  0.00";" 70.42";" 50.30";" 10.06";" 30.18";" 10.06";" 10.06";" 10.06";" 30.18";" 20.12";" 40.24";"  0.00";"241.44";" 60.36";" 80.48"
"9am";" 150.90";" 120.72";" 100.60";" 100.60";"  60.36";" 201.20";" 130.78";"  60.36";"  30.18";"  60.36";"1227.32";" 573.42";" 160.96";"  10.06";"   0.00";"  70.42";" 120.72";"   0.00";"  40.24";"  30.18";"  50.30";"  10.06";"  40.24";"  30.18";"  60.36";"  10.06";" 492.94";"  40.24";" 251.50"
"10am";" 261.56";" 171.02";"  90.54";" 181.08";" 110.66";" 191.14";" 211.26";"  80.48";"  10.06";"  50.30";"1961.70";" 744.44";" 231.38";"  90.54";"   0.00";" 110.66";" 201.20";"  10.06";"  80.48";"  20.12";"  40.24";"  50.30";"  80.48";"  30.18";"  40.24";"  10.06";" 704.20";"  60.36";" 281.68"
"11am";" 251.50";" 150.90";"  80.48";" 130.78";"  90.54";" 160.96";" 120.72";" 120.72";"  30.18";"   0.00";"1680.02";" 764.56";" 211.26";"  30.18";"   0.00";"  60.36";" 160.96";"  10.06";"  70.42";"  20.12";" 100.60";"  60.36";"  50.30";"  30.18";"  20.12";"  10.06";" 543.24";"  30.18";" 291.74"
"12am";" 171.02";" 241.44";"  50.30";" 150.90";"  70.42";" 171.02";" 171.02";"  60.36";"  40.24";"  80.48";"1780.62";" 694.14";" 231.38";"  40.24";"   0.00";" 100.60";" 100.60";"  10.06";"  80.48";"  20.12";"  30.18";"  30.18";"  30.18";"  40.24";"  10.06";"   0.00";" 352.10";"  20.12";" 281.68"
"1pm";" 342.04";" 392.34";" 120.72";" 191.14";" 150.90";" 271.62";" 281.68";"  90.54";"  20.12";"  80.48";"2454.64";" 865.16";" 342.04";" 160.96";"   0.00";" 120.72";" 120.72";"  50.30";"  70.42";"  40.24";"  80.48";"  50.30";"  60.36";"  50.30";"  70.42";"   0.00";" 623.72";"  30.18";" 331.98"
"2pm";" 271.62";" 291.74";" 150.90";" 271.62";" 140.84";" 291.74";" 160.96";"  80.48";"  10.06";" 160.96";"2313.80";" 955.70";" 251.50";" 100.60";"   0.00";" 120.72";" 110.66";"  30.18";"  90.54";"  30.18";"  60.36";"  80.48";"  50.30";"  20.12";"  70.42";"   0.00";" 492.94";"  30.18";" 311.86"
"3pm";" 251.50";" 281.68";"  90.54";" 261.56";" 171.02";" 140.84";" 191.14";"  70.42";"  20.12";"  90.54";"1881.22";" 834.98";" 241.44";" 100.60";"  10.06";"  70.42";" 160.96";"  20.12";" 110.66";"  30.18";"  50.30";"  40.24";"  40.24";"  40.24";"  20.12";"   0.00";" 482.88";"  40.24";" 261.56"
"4pm";" 241.44";" 221.32";" 140.84";" 211.26";"  80.48";"  50.30";" 181.08";"  90.54";"  10.06";"  60.36";"1378.22";" 412.46";" 211.26";"  90.54";"   0.00";" 140.84";" 130.78";"  10.06";" 110.66";"  10.06";"  50.30";"  40.24";"  60.36";"  60.36";"  30.18";"  10.06";" 331.98";"  20.12";" 181.08"
"5pm";"  60.36";" 130.78";" 130.78";" 120.72";"  30.18";"  80.48";" 100.60";"  50.30";"  40.24";"  50.30";"1146.84";" 261.56";" 140.84";"  40.24";"   0.00";"  90.54";"  90.54";"   0.00";"  60.36";"  10.06";"  30.18";"  30.18";"  60.36";"  10.06";"  20.12";"  10.06";" 241.44";"  10.06";" 201.20"
"6pm";"181.08";"120.72";"140.84";" 50.30";" 60.36";" 50.30";"140.84";" 30.18";" 10.06";" 60.36";"995.94";"422.52";"160.96";" 10.06";"  0.00";" 90.54";" 60.36";" 10.06";" 50.30";" 30.18";" 30.18";" 20.12";" 60.36";"  0.00";" 10.06";"  0.00";"221.32";" 20.12";"181.08"
