"hour","sex1","sex2"
"4am",0.115875970102021,0.11587597010202
"5am",0.113445947323703,0.113445947323703
"6am",0.18562418346737,0.18562418346737
"7am",0.232202165795236,0.232202165795236
"8am",0.169861511227989,0.16986151122799
"9am",0.175527573072981,0.175527573072981
"10am",0.162023621374286,0.162023621374286
"11am",0.183456017727835,0.183456017727835
"12am",0.223116980131608,0.223116980131608
"1pm",0.122419948428624,0.122419948428624
"2pm",0.124410174650317,0.124410174650317
"3pm",0.11906088638771,0.11906088638771
"4pm",0.0958803435564168,0.0958803435564166
"5pm",0.130781341116164,0.130781341116164
"6pm",0.0374352639510315,0.0374352639510314
"7pm",0.0364889336693144,0.0364889336693141
"8pm",0.0341242024639707,0.0341242024639708
"9pm",0.0629549485960306,0.0629549485960308
"10pm",0.0744300622017104,0.0744300622017106
"11pm",0.0865321965383229,0.0865321965383231
"12pm",0.109396041160167,0.109396041160167
"1am",0.112008304836015,0.112008304836015
"2am",0.128864578609138,0.128864578609137
"3am",0.114207518073623,0.114207518073623
