"hour","resarea1","resarea2","resarea3"
"4am",0.98,0.9848,0.9867
"5am",0.9725,0.9799,0.9832
"6am",0.9407,0.9579,0.9642
"7am",0.7769,0.8192,0.8352
"8am",0.5982,0.6526,0.6826
"9am",0.5462,0.5964,0.6305
"10am",0.5175,0.5695,0.6069
"11am",0.5378,0.5852,0.6197
"12am",0.5657,0.6264,0.6512
"1pm",0.554,0.5972,0.629
"2pm",0.5329,0.5781,0.6153
"3pm",0.5423,0.5808,0.618
"4pm",0.6232,0.6381,0.679
"5pm",0.7542,0.7665,0.7921
"6pm",0.8555,0.8689,0.8858
"7pm",0.9238,0.9184,0.9258
"8pm",0.9443,0.9391,0.9439
"9pm",0.9557,0.948,0.9542
"10pm",0.9671,0.9656,0.9685
"11pm",0.978,0.9779,0.9799
"12pm",0.9862,0.9836,0.9854
"1am",0.99,0.9878,0.9889
"2am",0.9922,0.9897,0.9906
"3am",0.9927,0.9899,0.9907
