"hour","act1","act2","act3","act4","act5"
"4am",0.3313,0.4034,0.9625,0.4875,0
"5am",0.3351,0.3737,0.9477,0.4931,0
"6am",0.3067,0.3315,0.8492,0.9134,0.4551
"7am",0.3307,0.3235,0.549,0.7938,0.3726
"8am",0.3345,0.3074,0.5031,0.4865,0.2854
"9am",0.3366,0.2998,0.5065,0.3656,0.253
"10am",0.3455,0.2863,0.5034,0.3365,0.2481
"11am",0.3521,0.2858,0.4981,0.3951,0.217
"12am",0.3593,0.2932,0.4852,0.5553,0.2218
"1pm",0.3597,0.301,0.5081,0.511,0.2341
"2pm",0.3569,0.2991,0.5045,0.4427,0.2265
"3pm",0.3473,0.2999,0.5074,0.4328,0.2226
"4pm",0.325,0.3113,0.5164,0.4097,0.2029
"5pm",0.3204,0.3189,0.6056,0.4275,0.2195
"6pm",0.2772,0.3089,0.6784,0.4568,0.204
"7pm",0.2847,0.307,0.7467,0.6187,0.2404
"8pm",0.2845,0.3431,0.7969,0.8163,0.2892
"9pm",0.3073,0.3518,0.8415,0.8722,0.3238
"10pm",0.3104,0.3661,0.8805,0.9696,0.344
"11pm",0.3079,0.3823,0.9477,0.9848,0.365
"12pm",0.3389,0.4045,0.9481,0.9848,0.4314
"1am",0.3737,0.4495,0.966,0.9849,0.4917
"2am",0.366,0.4286,0.9655,0.9848,0.5331
"3am",0.3636,0.4288,0.9655,0.9848,0.5232
