"hour","mode1","mode2","mode3"
"4am",0.3124,0.4091,0.3465
"5am",0.3133,0.4101,0.3479
"6am",0.3339,0.4137,0.3414
"7am",0.3843,0.4134,0.3105
"8am",0.3978,0.4221,0.294
"9am",0.4037,0.4241,0.2955
"10am",0.4107,0.4354,0.3084
"11am",0.4027,0.4345,0.3074
"12am",0.3981,0.4376,0.3105
"1pm",0.3877,0.4301,0.3148
"2pm",0.3977,0.4379,0.3214
"3pm",0.3832,0.4333,0.3299
"4pm",0.3699,0.421,0.3172
"5pm",0.3821,0.4304,0.3194
"6pm",0.3216,0.4125,0.3279
"7pm",0.3128,0.4093,0.3388
"8pm",0.3222,0.4114,0.337
"9pm",0.3207,0.4087,0.3352
"10pm",0.3204,0.4104,0.3414
"11pm",0.3155,0.4113,0.3446
"12pm",0.316,0.4126,0.347
"1am",0.3179,0.4135,0.3484
"2am",0.316,0.4119,0.3474
"3am",0.3153,0.4112,0.3474
