"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2893,0.212,0.1237,0.2698
"5am",0.284,0.2118,0.1249,0.27
"6am",0.2892,0.2071,0.1251,0.261
"7am",0.2809,0.192,0.1266,0.2462
"8am",0.2768,0.2047,0.1267,0.2479
"9am",0.2841,0.2042,0.1147,0.2434
"10am",0.2806,0.1998,0.1217,0.2435
"11am",0.2896,0.2086,0.1252,0.2448
"12am",0.2942,0.2087,0.1382,0.2517
"1pm",0.2876,0.209,0.1285,0.2508
"2pm",0.2863,0.2039,0.1253,0.2521
"3pm",0.2805,0.2062,0.1266,0.2538
"4pm",0.2743,0.2108,0.1227,0.2563
"5pm",0.277,0.211,0.1158,0.2706
"6pm",0.2815,0.207,0.1251,0.2632
"7pm",0.2715,0.2078,0.1302,0.2613
"8pm",0.2852,0.2074,0.1325,0.2657
"9pm",0.2863,0.2098,0.1301,0.267
"10pm",0.2889,0.2083,0.129,0.2675
"11pm",0.2871,0.2067,0.1246,0.2718
"12pm",0.2866,0.2089,0.1245,0.2746
"1am",0.2867,0.2117,0.1242,0.2767
"2am",0.2884,0.2126,0.1242,0.2773
"3am",0.2885,0.2126,0.1252,0.2772
