"hour","age1","age2","age3","age4"
"4am",0.2635,0.2089,0.1967,0.1513
"5am",0.2608,0.2084,0.195,0.1508
"6am",0.2729,0.2033,0.1871,0.1533
"7am",0.3049,0.1811,0.1743,0.196
"8am",0.3046,0.1733,0.1592,0.2458
"9am",0.3105,0.1899,0.1482,0.2468
"10am",0.3108,0.1791,0.1523,0.249
"11am",0.3079,0.1659,0.1579,0.261
"12am",0.2916,0.1688,0.1556,0.2466
"1pm",0.3107,0.1771,0.1535,0.2562
"2pm",0.3047,0.1707,0.1518,0.2304
"3pm",0.2995,0.1803,0.1513,0.228
"4pm",0.2959,0.19,0.1619,0.2243
"5pm",0.2712,0.1863,0.1654,0.1843
"6pm",0.2637,0.2005,0.1817,0.1596
"7pm",0.2629,0.2084,0.1894,0.1484
"8pm",0.2561,0.2051,0.1961,0.1483
"9pm",0.2637,0.2129,0.199,0.1502
"10pm",0.2624,0.212,0.1986,0.1485
"11pm",0.2625,0.2153,0.2015,0.1486
"12pm",0.2619,0.2145,0.2025,0.1482
"1am",0.2583,0.2131,0.2009,0.1486
"2am",0.2582,0.2117,0.2018,0.148
"3am",0.2585,0.2114,0.2025,0.1489
