"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2436,0.1974,0.1435,0.1602,0.265
"5am",0.2391,0.199,0.1424,0.1602,0.2659
"6am",0.2343,0.1958,0.141,0.1563,0.2625
"7am",0.2361,0.1826,0.1292,0.1436,0.2525
"8am",0.2219,0.182,0.1063,0.1057,0.2673
"9am",0.2229,0.1938,0.1045,0.1025,0.2715
"10am",0.2261,0.1943,0.106,0.1033,0.2643
"11am",0.2241,0.2,0.1055,0.1041,0.2653
"12am",0.2222,0.1993,0.1099,0.115,0.2591
"1pm",0.2252,0.1942,0.1134,0.1085,0.2775
"2pm",0.2256,0.1878,0.1036,0.114,0.2738
"3pm",0.2139,0.1914,0.1059,0.1158,0.2808
"4pm",0.2214,0.2049,0.1157,0.0933,0.2901
"5pm",0.2075,0.1875,0.124,0.1186,0.2877
"6pm",0.218,0.1897,0.1261,0.1442,0.2611
"7pm",0.2223,0.1942,0.1358,0.1446,0.2482
"8pm",0.2418,0.1952,0.1464,0.1502,0.249
"9pm",0.242,0.1896,0.1429,0.1512,0.254
"10pm",0.236,0.1884,0.1436,0.1561,0.2561
"11pm",0.2361,0.1891,0.1426,0.1572,0.2602
"12pm",0.2346,0.1922,0.144,0.1589,0.2633
"1am",0.2358,0.1929,0.1424,0.1588,0.266
"2am",0.2363,0.1962,0.1453,0.1601,0.2665
"3am",0.235,0.1959,0.1459,0.1598,0.2655
