"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.2292,0.2032,0.134,0.1148,0.2007
"5am",0.2276,0.2041,0.1281,0.1151,0.1997
"6am",0.2306,0.207,0.1259,0.1151,0.2005
"7am",0.2434,0.1926,0.131,0.1186,0.2068
"8am",0.2647,0.1906,0.1342,0.1013,0.2596
"9am",0.276,0.2082,0.1325,0.1038,0.2756
"10am",0.2625,0.2129,0.1328,0.1024,0.2662
"11am",0.2707,0.2248,0.1271,0.102,0.2584
"12am",0.263,0.21,0.1195,0.0932,0.2502
"1pm",0.2669,0.2147,0.1257,0.102,0.2665
"2pm",0.29,0.2192,0.1293,0.0939,0.2675
"3pm",0.2631,0.2158,0.1345,0.1,0.2724
"4pm",0.2585,0.2263,0.1377,0.0991,0.2779
"5pm",0.2229,0.2047,0.1262,0.1118,0.2484
"6pm",0.2246,0.1894,0.1107,0.1221,0.2003
"7pm",0.2204,0.1982,0.1226,0.1126,0.1898
"8pm",0.2371,0.2009,0.1277,0.1089,0.1913
"9pm",0.2433,0.2056,0.1257,0.1083,0.1914
"10pm",0.2346,0.2064,0.1271,0.1057,0.1945
"11pm",0.2311,0.2047,0.1254,0.1079,0.194
"12pm",0.2312,0.2086,0.1267,0.1102,0.1947
"1am",0.2307,0.2057,0.1264,0.1105,0.1961
"2am",0.233,0.2058,0.1302,0.1105,0.1966
"3am",0.2318,0.2063,0.131,0.1108,0.1959
