"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2855,0.1857,0.0888,0.226
"5am",0.2831,0.1865,0.092,0.2249
"6am",0.2917,0.1787,0.0953,0.2189
"7am",0.2989,0.185,0.1051,0.2153
"8am",0.3114,0.2115,0.1051,0.2389
"9am",0.3251,0.2194,0.0987,0.2421
"10am",0.3224,0.2132,0.1035,0.2403
"11am",0.3325,0.2246,0.1015,0.248
"12am",0.3329,0.2163,0.1093,0.2491
"1pm",0.3262,0.2164,0.102,0.2473
"2pm",0.3286,0.2215,0.0985,0.2452
"3pm",0.3198,0.2236,0.1017,0.2489
"4pm",0.311,0.2209,0.0968,0.2502
"5pm",0.2935,0.1997,0.0918,0.2444
"6pm",0.2895,0.182,0.0959,0.229
"7pm",0.2846,0.1862,0.0814,0.2197
"8pm",0.2854,0.1894,0.0851,0.2212
"9pm",0.2849,0.1889,0.0827,0.2203
"10pm",0.2866,0.1889,0.0866,0.2225
"11pm",0.2853,0.1878,0.0797,0.2229
"12pm",0.2844,0.1891,0.0816,0.2255
"1am",0.2849,0.1903,0.0815,0.2263
"2am",0.2841,0.1896,0.082,0.2278
"3am",0.2834,0.1896,0.0835,0.228
