"hour","sex1","sex2"
"4am",0.0624,0.0624
"5am",0.0621,0.0621
"6am",0.068,0.068
"7am",0.0965,0.0965
"8am",0.1164,0.1164
"9am",0.1181,0.1181
"10am",0.1163,0.1163
"11am",0.1154,0.1154
"12am",0.1061,0.1061
"1pm",0.1107,0.1107
"2pm",0.1146,0.1146
"3pm",0.1163,0.1163
"4pm",0.1082,0.1082
"5pm",0.0914,0.0914
"6pm",0.0786,0.0786
"7pm",0.0635,0.0635
"8pm",0.0615,0.0615
"9pm",0.0586,0.0586
"10pm",0.0619,0.0619
"11pm",0.0586,0.0586
"12pm",0.06,0.06
"1am",0.0615,0.0615
"2am",0.0614,0.0614
"3am",0.0614,0.0614
