"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"3002.662";"3002.662";"3002.662";"3002.662";"3002.662";"3002.662";"3002.662";"3002.662";"3002.662";"3002.662";"3002.662";"3002.662";"3002.662";"3002.662";"3002.662"
"4am";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0"
"5am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0"
"6am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0"
"7am";"574.542";"256.408";"358.844";"  0.000";"  0.000";"  0.000";"  0.000";"635.357";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"8am";"1284.570";" 609.363";" 899.531";" 337.158";"   0.000";"   0.000";"   0.000";" 800.077";"   0.000";"   0.000";" 384.137";"   0.000";"   0.000";"   0.000";"   0.000"
"9am";"1380.574";" 552.531";" 952.332";" 473.739";"   0.000";" 292.245";"   0.000";" 890.239";"   0.000";"   0.000";" 425.259";"   0.000";"   0.000";"   0.000";"   0.000"
"10am";"1432.050";" 559.588";" 920.207";" 550.912";"   0.000";" 261.628";"   0.000";" 884.108";"   0.000";"   0.000";" 465.639";"   0.000";"   0.000";"   0.000";"   0.000"
"11am";"1339.783";" 554.734";" 997.157";" 273.210";"   0.000";" 237.903";"   0.000";" 843.009";"   0.000";"   0.000";" 415.454";"   0.000";"   0.000";"   0.000";"   0.000"
"12am";"1138.920";" 371.390";" 711.930";"   0.000";"   0.000";"   0.000";"   0.000";" 561.517";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"1pm";"1267.033";" 706.506";" 883.815";" 366.251";"   0.000";"   0.000";"   0.000";" 791.067";"   0.000";"   0.000";" 338.074";"   0.000";"   0.000";"   0.000";"   0.000"
"2pm";"1381.082";" 735.626";"1000.501";" 469.215";"   0.000";" 343.530";"   0.000";" 920.360";"   0.000";"   0.000";" 359.902";"   0.000";"   0.000";"   0.000";"   0.000"
"3pm";"1342.294";" 691.987";"1051.823";" 414.342";"   0.000";" 322.150";"   0.000";" 961.831";"   0.000";"   0.000";" 368.640";"   0.000";"   0.000";"   0.000";"   0.000"
"4pm";"1128.575";" 535.466";"1076.160";" 362.362";"   0.000";"   0.000";"   0.000";" 803.219";"   0.000";"   0.000";" 255.221";"   0.000";"   0.000";"   0.000";"   0.000"
"5pm";"440.329";"243.834";"555.517";"385.916";"  0.000";"  0.000";"  0.000";"538.250";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"6pm";"  0.000";"  0.000";"348.671";"  0.000";"  0.000";"  0.000";"  0.000";"317.480";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"7pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"9pm";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"10pm";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"11pm";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"12pm";" 0";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"1am";" 0";" 0";"0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"2am";" 0";" 0";"0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"3am";" 0";" 0";"0";"0";"0";"0";"0";"0";" 0";" 0";"0";" 0";"0";"0";" 0"
