"hour","age1","age2","age3","age4"
"4am",0.266459789598726,0.1533008292763,-0.073915483312638,0.139264318900342
"5am",0.25832867528712,0.153128924309019,-0.0739978847508813,0.129099231077314
"6am",0.307346291783386,0.0200802925982976,0.0898619609982396,0.16624650741484
"7am",-0.0762258263281202,-0.0636087670176251,0.199531577694353,0.209734362148096
"8am",0.0161637728261841,-0.182435910047335,0.0633359857492543,0.286431103875212
"9am",0.0813637909717214,-0.159595970851412,0.0164129389572793,0.188861817769766
"10am",0.117045445512486,-0.11042367309223,-0.00879190469836461,0.121232304392378
"11am",0.177799020675079,-0.0775643024053055,0.00973322903635875,0.106379635148302
"12am",0.171951991799554,-0.0895672691024525,0.0148895703045914,0.165601110297887
"1pm",0.142491893071424,-0.102422898723315,-0.0396520428024382,0.133832316318214
"2pm",0.151076320132789,-0.081065259589079,0.0421443643841448,0.234190045689862
"3pm",0.12111045588612,-0.0784991304750543,-0.0324692283426234,0.277526444811727
"4pm",0.160852567281477,-0.0674578251956501,-0.0202216670012906,0.262966218228872
"5pm",-0.00182559327795744,-0.0511799071943218,-0.025999342235023,0.247610354103021
"6pm",0.273391453157837,0.0451838546174259,-0.158205600189914,0.178734562182842
"7pm",0.228111170410504,-0.104722268958706,-0.258463823555417,0.0576167963688939
"8pm",0.197212978218957,-0.086574555926367,-0.222639477673916,0.0624598192914125
"9pm",0.21520075508041,-0.0844912455559653,-0.186720690983154,0.0762926248046092
"10pm",0.19511045743511,-0.00515333815536938,-0.0262794806435972,-0.00896595935838375
"11pm",0.19225377676486,0.0160149124291823,0.0121369510544438,-0.000180950384913467
"12pm",0.213659164668418,0.00570562777693209,-0.0411940193173038,-0.0223061568057503
"1am",0.223775073165811,0.00717901854737451,-0.0431422764726831,-0.0182126892415087
"2am",0.236762464871498,0.0060101887253515,-0.0443668696527938,-0.0130179431259624
"3am",0.234022209452443,0.00480341253849476,-0.0444167580973079,-0.0118666762138852
