"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2379,0.1697,0.1678,0.2711
"5am",0.2364,0.171,0.1656,0.27
"6am",0.2385,0.1641,0.163,0.2673
"7am",0.2295,0.1642,0.1605,0.2473
"8am",0.2341,0.1632,0.1552,0.2342
"9am",0.2367,0.1586,0.1509,0.2414
"10am",0.2293,0.1482,0.1511,0.2334
"11am",0.2264,0.1506,0.1516,0.2262
"12am",0.2366,0.1452,0.1492,0.2333
"1pm",0.2274,0.1516,0.1557,0.2376
"2pm",0.2206,0.1431,0.1504,0.2314
"3pm",0.2194,0.1431,0.1584,0.2332
"4pm",0.2309,0.1507,0.1633,0.249
"5pm",0.2305,0.1444,0.1589,0.2415
"6pm",0.2387,0.1557,0.172,0.2454
"7pm",0.2415,0.1633,0.1653,0.253
"8pm",0.2408,0.1659,0.1669,0.2637
"9pm",0.2393,0.1633,0.1703,0.2626
"10pm",0.2387,0.1659,0.1681,0.2662
"11pm",0.242,0.1642,0.1656,0.2687
"12pm",0.2416,0.1663,0.1651,0.27
"1am",0.2422,0.1663,0.1661,0.2691
"2am",0.2429,0.1663,0.1653,0.2696
"3am",0.243,0.1668,0.1654,0.2709
