"hour","mode1","mode2","mode3"
"4am",0.275,0.3227,0.3178
"5am",0.2787,0.3235,0.317
"6am",0.2886,0.3234,0.317
"7am",0.3225,0.3182,0.2916
"8am",0.3182,0.3101,0.2705
"9am",0.3179,0.3225,0.2844
"10am",0.3286,0.324,0.2965
"11am",0.3185,0.3216,0.2919
"12am",0.3127,0.3299,0.3027
"1pm",0.3052,0.3355,0.3018
"2pm",0.3079,0.3368,0.2998
"3pm",0.2901,0.3347,0.3034
"4pm",0.28,0.3261,0.2956
"5pm",0.2819,0.3228,0.3093
"6pm",0.2694,0.3232,0.316
"7pm",0.2666,0.3209,0.3164
"8pm",0.2705,0.3175,0.311
"9pm",0.2675,0.318,0.31
"10pm",0.2715,0.3198,0.3132
"11pm",0.2703,0.3192,0.3155
"12pm",0.2727,0.3187,0.3151
"1am",0.2718,0.3177,0.3142
"2am",0.2711,0.3198,0.3162
"3am",0.2711,0.3203,0.3168
