"hour","resarea1","resarea2","resarea3"
"4am",0.9686,0.9914,0.9906
"5am",0.952,0.9884,0.9867
"6am",0.9203,0.978,0.9754
"7am",0.8276,0.9297,0.9241
"8am",0.7395,0.8761,0.8679
"9am",0.7146,0.8477,0.8369
"10am",0.6949,0.8378,0.8271
"11am",0.6904,0.839,0.8275
"12am",0.7092,0.8505,0.8364
"1pm",0.6906,0.8458,0.8332
"2pm",0.6819,0.8371,0.8207
"3pm",0.6893,0.8381,0.8225
"4pm",0.7272,0.8683,0.8595
"5pm",0.8311,0.9132,0.9064
"6pm",0.8816,0.9479,0.9431
"7pm",0.9401,0.9673,0.9627
"8pm",0.9632,0.9736,0.9719
"9pm",0.9686,0.9783,0.977
"10pm",0.9715,0.9859,0.9848
"11pm",0.9743,0.9888,0.9871
"12pm",0.9782,0.9914,0.9902
"1am",0.9753,0.9932,0.9921
"2am",0.9813,0.9948,0.9937
"3am",0.9847,0.9951,0.9934
