"hour","act1","act2","act3","act4","act5"
"4am",0.4278,0.4867,0.6122,0,0
"5am",0.387,0.4161,0.9765,0.5829,0
"6am",0.3107,0.335,0.9572,0.8997,0.5063
"7am",0.2913,0.2695,0.5885,0.7939,0.3989
"8am",0.2528,0.2367,0.534,0.4301,0.2495
"9am",0.2576,0.2342,0.5074,0.3632,0.2171
"10am",0.264,0.2252,0.512,0.3522,0.23
"11am",0.2805,0.2333,0.5133,0.4318,0.2419
"12am",0.3017,0.2571,0.5201,0.5944,0.2561
"1pm",0.2854,0.2531,0.516,0.5807,0.2472
"2pm",0.27,0.2391,0.5028,0.4806,0.229
"3pm",0.2707,0.2402,0.5045,0.473,0.2184
"4pm",0.2625,0.2602,0.5253,0.4405,0.219
"5pm",0.2714,0.2985,0.5823,0.468,0.2268
"6pm",0.2616,0.3219,0.7587,0.5124,0.2267
"7pm",0.2721,0.3644,0.8879,0.7383,0.2802
"8pm",0.2999,0.4048,0.946,0.8909,0.3128
"9pm",0.3054,0.4244,0.9635,0.9689,0.317
"10pm",0.3434,0.4836,0.9891,0.9914,0.3722
"11pm",0.3661,0.5563,0.3835,0,0
"12pm",0.381,0.5844,0.3952,0,0
"1am",0.408,0.6004,0.448,0,0
"2am",0.4004,0.5788,0.5016,0,0
"3am",0.4127,0.5976,0.5312,0,0
