"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2103,0.1621,0.1461,0.2152
"5am",0.2118,0.1642,0.1434,0.2183
"6am",0.2105,0.1619,0.1391,0.2167
"7am",0.2072,0.1648,0.1457,0.2206
"8am",0.2318,0.1674,0.1361,0.2174
"9am",0.2379,0.1676,0.1383,0.2185
"10am",0.2385,0.1627,0.1439,0.2045
"11am",0.2305,0.1641,0.1564,0.2075
"12am",0.2322,0.1561,0.1564,0.2102
"1pm",0.2318,0.1632,0.1589,0.217
"2pm",0.229,0.16,0.1531,0.2165
"3pm",0.2216,0.154,0.1537,0.2194
"4pm",0.2325,0.1593,0.1575,0.2249
"5pm",0.2242,0.1527,0.1477,0.2155
"6pm",0.2251,0.1568,0.1519,0.2084
"7pm",0.222,0.1575,0.1449,0.2109
"8pm",0.2189,0.1584,0.143,0.2119
"9pm",0.2178,0.158,0.1458,0.2091
"10pm",0.2162,0.1595,0.1454,0.2119
"11pm",0.2111,0.1583,0.1388,0.2158
"12pm",0.2112,0.1601,0.1396,0.2157
"1am",0.2116,0.1592,0.1414,0.2156
"2am",0.2121,0.1589,0.1424,0.216
"3am",0.2124,0.1594,0.1434,0.2177
