"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.1655,0.1904,0.1289,0.125,0.1822
"5am",0.1642,0.1948,0.1315,0.1255,0.1835
"6am",0.1658,0.1872,0.1303,0.1228,0.1825
"7am",0.1694,0.183,0.1234,0.1238,0.1854
"8am",0.1712,0.1751,0.1282,0.1173,0.1831
"9am",0.1675,0.1775,0.1232,0.1026,0.1937
"10am",0.1656,0.1752,0.1196,0.0982,0.1874
"11am",0.1714,0.1672,0.1204,0.1065,0.1816
"12am",0.1688,0.1695,0.1255,0.1062,0.19
"1pm",0.1589,0.1699,0.1216,0.1109,0.1922
"2pm",0.1764,0.1776,0.1284,0.1054,0.1914
"3pm",0.1774,0.1829,0.1324,0.106,0.1912
"4pm",0.163,0.1853,0.1283,0.1071,0.2085
"5pm",0.1598,0.1866,0.1231,0.1128,0.1894
"6pm",0.1547,0.1833,0.1197,0.1209,0.1811
"7pm",0.163,0.1902,0.1287,0.1255,0.1799
"8pm",0.1638,0.1905,0.1317,0.1264,0.1768
"9pm",0.1625,0.1935,0.1312,0.127,0.1769
"10pm",0.1612,0.1918,0.1297,0.1291,0.1795
"11pm",0.1609,0.1887,0.1309,0.1275,0.1812
"12pm",0.1631,0.19,0.1298,0.1285,0.1829
"1am",0.163,0.1908,0.1291,0.1275,0.1822
"2am",0.163,0.1911,0.1294,0.1266,0.1829
"3am",0.1632,0.1934,0.1286,0.1274,0.1829
