"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2006,0.2114,0.1247,0.1666,0.2395
"5am",0.2004,0.2124,0.1248,0.1669,0.2411
"6am",0.1955,0.2083,0.1225,0.1591,0.2356
"7am",0.1728,0.1967,0.1122,0.1502,0.2287
"8am",0.163,0.1834,0.1127,0.1385,0.2239
"9am",0.1596,0.1765,0.1113,0.1311,0.2317
"10am",0.1593,0.1734,0.1058,0.1267,0.2208
"11am",0.1531,0.1741,0.1135,0.1264,0.211
"12am",0.1685,0.1785,0.1155,0.124,0.2332
"1pm",0.1607,0.1808,0.1148,0.1317,0.2278
"2pm",0.1695,0.1865,0.1228,0.1363,0.2335
"3pm",0.1768,0.1898,0.1208,0.1395,0.2258
"4pm",0.169,0.1978,0.1197,0.1432,0.2353
"5pm",0.1821,0.1956,0.123,0.1528,0.2318
"6pm",0.1949,0.1988,0.1236,0.1515,0.2239
"7pm",0.1897,0.2085,0.121,0.159,0.2284
"8pm",0.1924,0.21,0.1201,0.1617,0.2314
"9pm",0.1928,0.2103,0.1212,0.161,0.2253
"10pm",0.194,0.2077,0.1225,0.166,0.2249
"11pm",0.1947,0.2116,0.1232,0.1683,0.2334
"12pm",0.1961,0.2135,0.1224,0.1691,0.2365
"1am",0.196,0.2153,0.1224,0.1689,0.2377
"2am",0.1959,0.2169,0.122,0.169,0.2377
"3am",0.1962,0.2188,0.1222,0.1701,0.2398
