"hour","sex1","sex2"
"4am",0.0623,0.0623
"5am",0.0616,0.0616
"6am",0.0656,0.0656
"7am",0.0717,0.0717
"8am",0.0863,0.0863
"9am",0.0912,0.0912
"10am",0.0958,0.0958
"11am",0.0916,0.0916
"12am",0.0832,0.0832
"1pm",0.0874,0.0874
"2pm",0.0862,0.0862
"3pm",0.0891,0.0891
"4pm",0.0843,0.0843
"5pm",0.0752,0.0752
"6pm",0.0629,0.0629
"7pm",0.0646,0.0646
"8pm",0.0625,0.0625
"9pm",0.061,0.061
"10pm",0.0615,0.0615
"11pm",0.0609,0.0609
"12pm",0.0616,0.0616
"1am",0.0625,0.0625
"2am",0.0625,0.0625
"3am",0.0623,0.0623
