"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1236,0.1796,0.1921,0.1447,0.1753
"5am",0.124,0.1809,0.1913,0.1443,0.1754
"6am",0.1295,0.1817,0.191,0.1453,0.1755
"7am",0.1385,0.3193,0.1929,0.1563,0.1719
"8am",0.163,0.3595,0.1795,0.1861,0.1741
"9am",0.1682,0.3714,0.1781,0.1912,0.1842
"10am",0.1664,0.3796,0.209,0.185,0.1795
"11am",0.1718,0.377,0.1867,0.1848,0.1789
"12am",0.1777,0.3423,0.1992,0.1849,0.1716
"1pm",0.1778,0.3508,0.199,0.1805,0.1728
"2pm",0.1646,0.3394,0.2104,0.1703,0.1818
"3pm",0.1632,0.3236,0.2239,0.1718,0.1767
"4pm",0.1602,0.2665,0.1859,0.1637,0.1708
"5pm",0.1413,0.1947,0.1922,0.1545,0.1768
"6pm",0.1282,0.1938,0.1937,0.1467,0.1689
"7pm",0.1293,0.1855,0.1909,0.1509,0.1712
"8pm",0.1284,0.1892,0.1922,0.1476,0.1657
"9pm",0.1268,0.1928,0.1901,0.1455,0.1672
"10pm",0.1246,0.1876,0.1874,0.1429,0.1694
"11pm",0.1245,0.1805,0.1906,0.1437,0.1696
"12pm",0.1233,0.1806,0.1927,0.1433,0.1701
"1am",0.1227,0.1772,0.1898,0.1428,0.1701
"2am",0.1226,0.1807,0.1886,0.1436,0.1699
"3am",0.1233,0.1811,0.1875,0.1435,0.1693
