"hour","age1","age2","age3","age4"
"4am",0.1633,0.1592,0.118,0.1676
"5am",0.1618,0.1555,0.1186,0.1681
"6am",0.1651,0.1526,0.1236,0.1691
"7am",0.2232,0.151,0.1355,0.1731
"8am",0.2389,0.1608,0.1387,0.1929
"9am",0.251,0.1647,0.1378,0.1935
"10am",0.2616,0.1647,0.1446,0.192
"11am",0.2606,0.1751,0.1424,0.1947
"12am",0.2489,0.1642,0.1393,0.19
"1pm",0.2432,0.1698,0.1383,0.1898
"2pm",0.2345,0.1578,0.1353,0.1815
"3pm",0.2252,0.1739,0.1366,0.1824
"4pm",0.1871,0.1657,0.1341,0.182
"5pm",0.16,0.1372,0.1294,0.1717
"6pm",0.1749,0.1527,0.1172,0.1683
"7pm",0.1716,0.1585,0.1196,0.1714
"8pm",0.1705,0.1601,0.1218,0.1681
"9pm",0.1666,0.1611,0.1194,0.1666
"10pm",0.1647,0.1602,0.1206,0.1655
"11pm",0.1708,0.1626,0.1182,0.1671
"12pm",0.1676,0.1635,0.1187,0.1674
"1am",0.1666,0.1631,0.1179,0.166
"2am",0.1685,0.162,0.1171,0.1671
"3am",0.168,0.161,0.1182,0.1671
