"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.0574872907760083,0.0143451701845701,0.30100198504993,-0.0319458326496823,-0.00667429103196814
"5am",0.0120412904709521,0.0207367697610467,0.251933797004928,-0.0607238689470775,-0.00785735916359894
"6am",0.131959835388826,0.130117073697255,0.0822390175097622,-0.0297126590220307,0.180892375633245
"7am",0.333843892140697,0.0538265872375057,-0.0460580511179082,0.254933943445805,0.333002125654719
"8am",0.359173719716218,-0.065817153751377,-0.0261817854915002,0.371422907220138,0.386787786092275
"9am",0.346873617906964,-0.0876335974583672,0.031657999133528,0.409370892250095,0.374469279428085
"10am",0.327215048220975,-0.100012355170893,0.0392623117695876,0.389643698798799,0.422726335715483
"11am",0.320553486817186,-0.109999208884542,0.0359990370441479,0.395669880237765,0.420733085381741
"12am",0.321905956545769,-0.136369845854697,0.0477564909413653,0.418702596180687,0.367234058328617
"1pm",0.319177082346599,-0.148350398826613,0.0317396378892493,0.431654526123232,0.391125207878282
"2pm",0.308207754078547,-0.153049345051053,0.025637721290301,0.419532332521124,0.377509416512757
"3pm",0.260087042978047,-0.177003602807085,-0.0221397303164233,0.361700961753462,0.351901675528113
"4pm",0.140958931096004,-0.130799118889132,-0.0116444513462761,0.169387648463193,0.260627534119119
"5pm",0.0129525189692336,-0.090923840538183,0.0439192780412075,-0.0301373557263317,0.129683295288665
"6pm",0.0137806785303073,-0.104012501342016,0.126222035628969,-0.0634784223793951,-0.0408818957117257
"7pm",0.00792640161274138,-0.0904875469644137,0.155452967207001,-0.0732711078034313,-0.117649252854539
"8pm",0.0246544311333297,-0.0448327634221577,0.204012087297207,-0.0539982054838794,-0.0929153510400068
"9pm",0.0335060397576149,-0.0145893076522671,0.238579558012018,-0.0358197808203268,-0.00982046791812621
"10pm",0.0434117590735242,0.0299606418286036,0.264445385634377,-0.00606537039404703,-0.0329762906347299
"11pm",0.0633148420256494,0.0883326638104513,0.291415557559799,0.0179472829254964,0.00454635294685537
"12pm",0.0632120165989612,0.108398504769071,0.287280328406863,0.0213253220695692,0.0055872397608882
"1am",0.0642424738796754,0.119469958033042,0.292170635131551,0.0249773007917155,0.00191928243250201
"2am",0.0647439714859934,0.130504139729843,0.281078416633599,0.0294910009352865,0.000897289121271514
"3am",0.0654867673436555,0.149109299505677,0.266537539690069,0.0342028134232217,-0.000482073289934028
