"hour","age1","age2","age3","age4"
"4am",0.0788,0.0889,0.0629,0.1304
"5am",0.0823,0.0895,0.0592,0.1253
"6am",0.0956,0.0875,0.0509,0.1091
"7am",0.1001,0.0822,0.055,0.1001
"8am",0.11,0.0806,0.0673,0.1034
"9am",0.1173,0.0765,0.07,0.1062
"10am",0.1233,0.0774,0.0739,0.1092
"11am",0.1305,0.0729,0.0737,0.1077
"12am",0.1328,0.0758,0.0731,0.1055
"1pm",0.1286,0.0773,0.0697,0.1094
"2pm",0.1225,0.0757,0.0664,0.1051
"3pm",0.1069,0.08,0.0612,0.1068
"4pm",0.0866,0.0859,0.0601,0.1096
"5pm",0.0653,0.0871,0.0591,0.1084
"6pm",0.0656,0.0904,0.0612,0.1123
"7pm",0.0617,0.0885,0.063,0.1139
"8pm",0.0648,0.0894,0.0634,0.1172
"9pm",0.0691,0.0925,0.0661,0.125
"10pm",0.075,0.0929,0.0657,0.1309
"11pm",0.0776,0.0927,0.0663,0.1352
"12pm",0.0786,0.0931,0.0662,0.1364
"1am",0.0788,0.0931,0.0662,0.1368
"2am",0.0796,0.0931,0.066,0.137
"3am",0.0802,0.0922,0.0659,0.1375
