"hour","act1","act2","act3","act4","act5"
"4am",0.2266,0.2499,0.5745,0.3827,0.2002
"5am",0.2314,0.281,0.5748,0.3741,0.1983
"6am",0.2757,0.3385,0.5426,0.3575,0.1808
"7am",0.293,0.3223,0.4128,0.2962,0.1554
"8am",0.3171,0.3251,0.3942,0.2566,0.1282
"9am",0.3168,0.3193,0.4175,0.2122,0.1209
"10am",0.3117,0.3125,0.4189,0.2104,0.12
"11am",0.3115,0.3114,0.388,0.2094,0.1221
"12am",0.3169,0.3119,0.3995,0.2073,0.1265
"1pm",0.3169,0.3092,0.4031,0.2041,0.1137
"2pm",0.315,0.3102,0.4137,0.2003,0.1117
"3pm",0.3198,0.3183,0.5229,0.2139,0.1258
"4pm",0.3025,0.3164,0.5838,0.2437,0.1584
"5pm",0.2723,0.2989,0.6155,0.2739,0.161
"6pm",0.2468,0.2828,0.6224,0.2718,0.159
"7pm",0.2342,0.277,0.6179,0.2561,0.1623
"8pm",0.2457,0.2852,0.6094,0.2886,0.1798
"9pm",0.2602,0.3098,0.6466,0.2954,0.2045
"10pm",0.276,0.3138,0.6297,0.3107,0.2171
"11pm",0.2799,0.3303,0.6102,0.3037,0.2306
"12pm",0.2952,0.3332,0.6333,0.3025,0.2512
"1am",0.2905,0.337,0.6251,0.3014,0.2364
"2am",0.2881,0.3394,0.6064,0.3036,0.2356
"3am",0.2833,0.3362,0.6012,0.3027,0.2351
