"hour","sex1","sex2"
"4am",0.062911884717153,0.0629118847171532
"5am",0.0290865750322606,0.0290865750322603
"6am",0.015590215591264,0.0155902155912633
"7am",0.111733853272558,0.111733853272559
"8am",0.16332379853152,0.16332379853152
"9am",0.164081746532998,0.164081746532999
"10am",0.184399087116399,0.184399087116398
"11am",0.157973622378255,0.157973622378255
"12am",0.17471050389838,0.17471050389838
"1pm",0.204062443734118,0.204062443734118
"2pm",0.131908274823171,0.131908274823171
"3pm",0.234128900730514,0.234128900730514
"4pm",0.0625144743155783,0.0625144743155785
"5pm",0.204736764291993,0.204736764291993
"6pm",0.22293232049028,0.22293232049028
"7pm",0.252214611021383,0.252214611021383
"8pm",0.258898070411242,0.258898070411243
"9pm",0.197386217025632,0.197386217025631
"10pm",0.239678145884227,0.239678145884227
"11pm",0.214116532584254,0.214116532584254
"12pm",0.214499651567747,0.214499651567747
"1am",0.242854630121936,0.242854630121939
"2am",0.235270968630447,0.235270968630448
"3am",0.265885078213642,0.265885078213645
