"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.0664,0.0594,0.1053,0.0925,0.0529
"5am",0.0635,0.0602,0.101,0.09,0.0531
"6am",0.0627,0.0756,0.0901,0.079,0.0618
"7am",0.0841,0.1108,0.0771,0.0861,0.0972
"8am",0.1133,0.1392,0.0858,0.1,0.1235
"9am",0.1185,0.1514,0.0887,0.1039,0.1294
"10am",0.1204,0.1605,0.0879,0.107,0.1351
"11am",0.1235,0.1671,0.0947,0.1087,0.1388
"12am",0.1215,0.1694,0.0894,0.1102,0.1384
"1pm",0.123,0.1661,0.0917,0.1092,0.1384
"2pm",0.1204,0.1587,0.0898,0.1051,0.1399
"3pm",0.1036,0.1429,0.0857,0.1007,0.1156
"4pm",0.076,0.1234,0.086,0.0888,0.0869
"5pm",0.0678,0.1,0.098,0.0835,0.0651
"6pm",0.065,0.0881,0.1079,0.0844,0.0606
"7pm",0.0658,0.0804,0.1063,0.0845,0.0525
"8pm",0.0688,0.0764,0.1112,0.0878,0.0503
"9pm",0.0699,0.0651,0.1152,0.095,0.0497
"10pm",0.0707,0.0609,0.1165,0.0975,0.0506
"11pm",0.0715,0.0584,0.1148,0.0989,0.0508
"12pm",0.0721,0.0597,0.1148,0.0998,0.0501
"1am",0.0718,0.0589,0.1132,0.1003,0.0498
"2am",0.0718,0.06,0.1148,0.1001,0.0499
"3am",0.0722,0.0602,0.1144,0.1005,0.0499
