"hour","mode1","mode2","mode3"
"4am",0.1294,0.214,0.3533
"5am",0.1271,0.2121,0.352
"6am",0.14,0.2193,0.3349
"7am",0.2027,0.2683,0.3023
"8am",0.2698,0.3078,0.2671
"9am",0.2779,0.3133,0.2659
"10am",0.2826,0.3208,0.2691
"11am",0.2867,0.323,0.2642
"12am",0.2836,0.3262,0.2738
"1pm",0.2756,0.3217,0.2748
"2pm",0.257,0.3129,0.2784
"3pm",0.2141,0.2951,0.2945
"4pm",0.1504,0.2584,0.327
"5pm",0.1264,0.2238,0.3486
"6pm",0.1233,0.2142,0.3488
"7pm",0.1259,0.2125,0.3469
"8pm",0.1283,0.2127,0.3538
"9pm",0.1306,0.2168,0.3598
"10pm",0.1331,0.2222,0.3658
"11pm",0.1366,0.2234,0.3683
"12pm",0.1359,0.2233,0.3692
"1am",0.1361,0.2243,0.3698
"2am",0.1363,0.2244,0.3698
"3am",0.1363,0.2245,0.37
