"hour","rev5","rev1","rev2","rev3","rev4"
"4am",0.0548,0.2146,0.0899,0.0607,0.1239
"5am",0.0556,0.2127,0.0882,0.0593,0.1225
"6am",0.0625,0.1982,0.0876,0.0544,0.1189
"7am",0.0703,0.1782,0.0868,0.0496,0.1125
"8am",0.0787,0.175,0.0866,0.0457,0.1178
"9am",0.0797,0.1753,0.0908,0.0443,0.1191
"10am",0.0768,0.1702,0.0893,0.0423,0.1149
"11am",0.0814,0.1664,0.0898,0.0411,0.1137
"12am",0.081,0.1668,0.0902,0.0422,0.1149
"1pm",0.0791,0.1672,0.0883,0.0418,0.1168
"2pm",0.074,0.1668,0.091,0.0421,0.1134
"3pm",0.0713,0.1741,0.0942,0.0429,0.1146
"4pm",0.0664,0.1894,0.0946,0.0509,0.119
"5pm",0.0611,0.2037,0.092,0.0572,0.1222
"6pm",0.0602,0.2034,0.0903,0.0538,0.1214
"7pm",0.057,0.2042,0.0906,0.0534,0.1217
"8pm",0.0565,0.2124,0.09,0.0544,0.1227
"9pm",0.0561,0.216,0.0888,0.0548,0.1259
"10pm",0.0545,0.2177,0.0895,0.0584,0.1265
"11pm",0.0539,0.2204,0.0908,0.0625,0.1265
"12pm",0.0541,0.22,0.0922,0.0624,0.1274
"1am",0.054,0.2204,0.0922,0.0623,0.1278
"2am",0.054,0.2205,0.0917,0.0624,0.1277
"3am",0.0541,0.2208,0.0917,0.0624,0.1277
