"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104"
"12am";"2368.630";"5894.930";"1721.225";" 927.682";"1702.428";"2558.195";"3706.933";" 729.283";"1303.151";" 778.397";"   0.000";"   0.000";"1762.728";"1364.286";"1825.281";"   0.000";"   0.000";"   0.000";"   0.000";" 647.782";"1326.487";" 670.627";" 995.255";"1601.331";" 782.854";"   0.000";" 601.682";"   0.000";"   0.000";"1121.303";"3513.370";"   0.000";"   0.000";"0";"5825.151";"1389.860";"   0.000";"2427.023";"2288.010";"   0.000";"1058.707";"   0.000";" 663.935";"   0.000";"1391.495";" 730.116";"1161.313";"1714.015";" 859.341";" 782.168";"   0.000";"   0.000";"   0.000";"   0.000";"3503.648";" 878.935";"   0.000";"2772.495";"1232.093";"1059.684";"2080.351";"3534.494";"   0.000";"   0.000";"   0.000";"2204.869";"   0.000";"3205.794";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1407.444";"8710.493";"2381.591";"2057.565";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1439.322";"   0.000";"1328.375";" 992.895";"1343.001";"1354.888";"   0.000";"2815.789";"   0.000";"   0.000";"   0.000";"2709.559";"2264.137";"2500.970";"   0.000";"3566.793";"   0.000";"   0.000";"   0.000";"1662.273"
"1pm";"2249.328";"6363.709";"1492.495";"1175.058";"1899.262";"2613.490";"4250.199";"1040.216";"1323.960";" 656.051";"   0.000";"   0.000";"1458.703";"1284.399";"1980.722";"   0.000";" 634.301";"   0.000";"   0.000";"1112.415";"1721.958";" 714.260";"1179.780";"1875.900";" 961.882";"   0.000";" 883.351";"   0.000";"   0.000";"1506.463";"4159.738";"   0.000";"   0.000";"   0.000";"5952.755";"1331.239";"   0.000";"2569.390";"2428.780";"   0.000";"1005.916";"   0.000";" 682.078";"   0.000";"1348.375";" 702.085";"1058.788";"1921.498";"1133.823";"   0.000";" 877.261";"   0.000";"   0.000";"   0.000";"3647.761";" 885.799";" 836.569";"2926.356";"1609.375";"1019.601";"1796.255";"3475.045";"   0.000";"   0.000";"   0.000";"2573.847";"   0.000";"3362.631";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1601.599";"8943.949";"2463.011";"2012.679";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1408.324";"   0.000";"1290.833";" 755.959";"1265.175";"1630.942";"   0.000";"3281.192";"   0.000";" 840.090";"   0.000";"3306.472";"2711.289";"2990.520";"   0.000";"3346.803";"   0.000";"   0.000";"   0.000";"1894.520"
"2pm";"2331.459";"6824.569";"1890.618";"1699.700";"1996.934";"2741.286";"4347.653";"1085.123";"1337.274";" 860.869";"1119.733";" 737.689";"1992.087";"1296.715";"2300.821";" 815.303";"   0.000";"   0.000";"   0.000";"1201.725";"1576.848";" 812.324";"1250.641";"2117.725";"1335.110";"   0.000";" 975.284";"   0.000";"   0.000";"1628.561";"4080.756";"   0.000";" 812.763";"   0.000";"5779.793";"1685.780";" 848.313";"2557.933";"2824.343";" 822.620";"1200.350";"   0.000";" 647.159";"   0.000";"1437.573";" 751.771";"1344.850";"2427.334";"1328.978";" 726.369";" 830.982";" 859.377";" 666.409";"   0.000";"3533.362";" 915.169";" 781.937";"2809.151";"2265.128";"1081.837";"1924.465";"4410.138";"   0.000";"   0.000";" 738.686";"3390.217";"   0.000";"2832.513";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1690.695";"9425.759";"2549.157";"2142.313";" 940.729";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1369.631";"   0.000";"1313.677";"1015.330";"1117.116";"1619.437";"   0.000";"3290.542";"   0.000";"1198.991";"   0.000";"3806.051";"2239.065";"3036.069";"1266.826";"4469.563";"   0.000";"   0.000";"   0.000";"2269.404"
"3pm";"2515.732";"7542.771";"2024.647";"1844.223";"2037.577";"3036.210";"4389.946";"1179.684";"1500.116";"1212.989";"1055.784";" 888.646";"1956.719";"1204.242";"2108.683";" 743.621";"   0.000";" 625.379";"   0.000";"1083.794";"1626.871";" 772.468";" 991.778";"2302.282";"1263.310";"   0.000";"1022.542";"   0.000";"   0.000";"1476.115";"3849.952";"   0.000";"   0.000";"   0.000";"5918.197";"1577.136";"1048.175";"3006.708";"2719.177";" 851.382";"1161.376";"   0.000";"   0.000";"   0.000";"1434.863";" 884.039";"1023.634";"2101.740";"1810.138";" 748.914";" 990.662";"1047.627";" 764.135";"   0.000";"3122.518";"1111.949";" 861.374";"2657.130";"2436.300";"1150.544";"1899.661";"4043.666";"   0.000";"   0.000";"   0.000";"3118.999";"   0.000";"3234.398";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1661.529";"9380.431";"2428.937";"1827.873";"1090.998";"   0.000";"   0.000";"   0.000";" 705.126";"   0.000";"1549.614";"   0.000";"1217.603";" 884.307";"1084.194";"1486.361";"1443.502";"3736.338";"   0.000";"1363.083";"   0.000";"3993.030";"1927.733";"2926.936";"1028.209";"4709.679";"   0.000";"   0.000";"   0.000";"2220.627"
"4pm";"2191.088";"5796.437";"1804.377";"1298.808";"2148.435";"3090.767";"3578.412";"1215.094";" 888.477";" 932.929";" 739.726";" 843.836";"1732.847";" 766.614";"1727.184";"   0.000";" 773.327";" 754.838";"   0.000";" 979.995";"1269.226";"1162.302";"1158.264";"1954.462";"1041.890";"   0.000";" 739.293";"   0.000";"   0.000";"1533.820";"3176.378";" 693.079";"   0.000";"   0.000";"4583.131";"1429.057";" 734.653";"2609.983";"2063.024";"   0.000";"1061.948";"   0.000";"   0.000";"   0.000";"1152.309";" 732.019";"   0.000";"2274.093";" 911.982";"   0.000";"   0.000";"1147.145";"   0.000";"   0.000";"2785.005";" 993.392";"   0.000";"2281.335";"1996.109";" 873.953";"1903.340";"3259.182";"   0.000";"   0.000";"   0.000";"2734.013";"   0.000";"3025.915";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1241.003";"8259.193";"2015.365";"1458.347";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1117.672";"   0.000";" 739.554";" 952.406";" 790.610";"1355.802";"   0.000";"3161.567";"   0.000";"1269.394";"   0.000";"3000.683";"1632.772";"2311.404";"   0.000";"3714.544";"   0.000";"   0.000";"   0.000";"1475.904"
"5pm";"1595.203";"4532.978";"1239.634";" 876.560";"1215.545";"1943.778";"2036.465";"1085.625";"   0.000";"   0.000";"   0.000";"   0.000";"1458.670";" 705.294";"1057.835";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 943.181";" 730.425";"   0.000";"1511.356";" 873.093";"   0.000";"   0.000";"   0.000";"   0.000";" 959.946";"2055.951";"   0.000";"   0.000";"   0.000";"3507.842";" 869.064";" 922.607";"1966.400";"1241.892";"   0.000";" 882.005";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1830.692";" 894.978";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2060.947";" 891.103";"   0.000";"1553.514";"1361.999";"   0.000";" 930.645";"1885.465";"   0.000";"   0.000";"   0.000";"1342.612";"   0.000";"2698.411";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"6277.948";"1231.098";"1429.947";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";" 637.980";"   0.000";"   0.000";"   0.000";"   0.000";" 902.687";"   0.000";"1726.596";"   0.000";"   0.000";"   0.000";"2260.705";"   0.000";"1220.450";"   0.000";"2891.061";"   0.000";"   0.000";"   0.000";"1329.734"
"6pm";"1101.587";"3390.615";"1068.395";" 873.381";"1032.288";"1805.707";"1457.440";" 835.302";"   0.000";"   0.000";"   0.000";"   0.000";"1042.498";" 684.967";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1136.863";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1539.031";"   0.000";" 662.759";"   0.000";"1794.866";"   0.000";"   0.000";" 909.456";"1156.093";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1135.976";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1066.202";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 855.740";"1561.942";"   0.000";"   0.000";"   0.000";" 831.797";"   0.000";"1383.065";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2417.387";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1413.353";"   0.000";"   0.000";"   0.000";"1859.316";"   0.000";"   0.000";"   0.000";"   0.000"
"7pm";"1028.660";"2515.340";"   0.000";"   0.000";" 833.198";"1258.339";" 872.537";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 858.181";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 965.185";"   0.000";"   0.000";"   0.000";" 966.643";"   0.000";"   0.000";"   0.000";" 924.373";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 850.138";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 834.728";"1160.347";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1060.901";"0";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1210.652";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1100.500";"   0.000";"   0.000";"   0.000";"1540.660";"   0.000";"0";"   0.000";"   0.000"
"8pm";"1185.425";"1892.657";"   0.000";"   0.000";"   0.000";"1155.412";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 883.644";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";" 998.338";"0";"0";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1418.398";"   0.000";"0";"   0.000";"   0.000"
"9pm";"1149.731";"1484.026";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";" 849.084";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";" 662.966";"0";"0";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1185.428";"   0.000";"0";"   0.000";"   0.000"
