"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242";"9979.242"
"4am";"818.775";"298.573";"809.379";"657.614";"281.139";"922.302";"315.283";"384.335";"403.688";"611.825";"583.879";"404.728";"921.128";"550.340";"590.886";"430.574";"302.786";"453.891";"504.922"
"5am";" 818.775";" 298.573";" 608.260";" 727.473";" 246.058";"1088.643";" 315.283";" 384.335";" 364.298";" 611.825";" 583.879";" 404.728";" 921.128";" 550.340";" 630.276";" 430.574";" 302.786";" 453.891";" 504.922"
"6am";"818.775";"271.248";"608.260";"754.798";"199.284";"849.557";"315.283";"384.335";"411.072";"656.987";"583.879";"404.728";"921.128";"550.340";"562.211";"316.995";"302.786";"408.729";"504.922"
"7am";" 917.761";" 200.581";" 501.713";" 823.326";"  99.642";" 834.038";" 315.283";" 384.335";" 411.072";"1020.236";" 381.206";" 404.728";" 956.424";" 411.906";" 485.616";" 316.995";" 215.250";" 302.594";" 487.108"
"8am";" 652.174";" 203.283";" 329.562";" 893.057";" 101.154";"1539.814";" 232.808";" 211.586";" 278.316";"1354.482";" 454.575";" 194.791";" 639.871";" 581.961";" 345.181";" 420.060";"  94.609";" 212.270";" 351.144"
"9am";" 652.174";" 346.416";" 460.822";" 965.403";"  33.172";"1436.636";" 306.380";" 311.154";" 105.176";"1272.007";" 553.783";" 194.791";" 533.204";" 413.926";" 345.181";" 320.852";"  94.609";" 170.042";" 385.954"
"10am";" 652.174";" 314.127";" 460.822";" 713.824";"  33.172";"1299.883";" 232.808";" 396.124";" 105.176";"1558.110";" 487.308";" 293.999";" 632.412";" 413.926";" 396.022";" 320.852";"  43.768";" 170.042";" 561.755"
"11am";" 575.359";" 138.705";" 460.822";" 822.928";"  33.172";"1193.846";" 232.808";" 396.124";" 105.176";"1282.035";" 367.626";" 293.999";" 533.204";" 533.608";" 272.811";" 523.355";"  94.609";" 170.042";" 561.755"
"12am";"1033.678";" 304.295";" 530.681";" 859.289";"   0.000";" 970.382";" 232.808";" 244.758";" 105.176";"1132.672";" 452.596";" 404.728";" 547.578";" 363.553";" 272.811";" 250.185";" 182.145";" 170.042";" 629.737"
"1pm";" 722.455";" 274.329";" 653.695";" 651.685";"  66.344";"1215.374";" 232.808";" 311.154";" 144.566";"1383.888";" 334.893";" 194.791";" 757.780";" 363.553";" 233.421";" 349.393";"  94.609";" 170.042";" 575.530"
"2pm";" 575.806";" 274.329";" 510.130";" 454.404";" 198.494";"1331.742";" 232.808";" 311.154";"  97.792";"1501.007";" 334.893";" 194.791";" 757.780";" 426.735";" 352.244";" 349.393";"  94.609";" 139.307";" 439.566"
"3pm";" 512.624";" 209.372";" 541.738";" 671.355";" 188.621";"1458.831";" 232.808";" 311.154";"  58.402";"1227.475";" 334.893";" 194.791";"1001.651";" 182.864";" 352.244";" 382.565";"  94.609";" 151.297";" 337.380"
"4pm";" 512.624";" 268.986";" 611.597";" 512.141";" 289.271";"1354.815";" 232.808";" 311.154";"  97.792";"1343.248";" 261.524";" 227.459";"1075.020";" 182.864";" 352.244";" 462.972";"  43.768";" 151.297";" 453.351"
"5pm";" 355.588";" 228.285";" 737.549";" 814.821";" 147.695";" 681.245";" 232.808";" 339.497";" 197.360";"1136.832";" 261.524";" 194.791";"1303.585";" 321.298";" 263.563";" 563.330";" 270.266";" 226.697";" 713.895"
"6pm";"495.585";"331.241";"923.110";"711.918";"214.039";"586.761";"296.715";"339.497";"330.116";"827.878";"173.247";"268.160";"998.966";"501.987";"382.386";"507.389";"302.786";"315.502";"758.859"
"7pm";" 495.585";" 363.909";" 809.379";" 742.182";" 214.669";" 710.250";"  82.475";" 384.335";" 562.924";" 745.403";" 258.217";" 301.664";"1038.831";" 501.987";" 518.516";" 590.856";" 302.786";" 530.706";" 714.021"
"8pm";" 509.218";" 436.279";" 809.379";" 574.147";" 247.967";"1228.600";" 315.283";" 217.587";" 403.688";" 642.339";" 377.899";" 404.728";" 915.924";" 550.340";" 581.698";" 514.041";" 302.786";" 530.706";" 504.922"
"9pm";"635.582";"363.909";"809.379";"657.614";"294.741";"998.670";"315.283";"384.335";"403.688";"651.527";"495.602";"404.728";"798.221";"382.305";"581.698";"514.041";"302.786";"453.891";"504.922"
"10pm";"712.397";"363.909";"809.379";"741.081";"294.741";"955.474";"315.283";"384.335";"403.688";"579.157";"495.602";"404.728";"798.221";"550.340";"654.068";"430.574";"302.786";"453.891";"504.922"
"11pm";"712.397";"363.909";"809.379";"741.081";"327.913";"922.302";"315.283";"384.335";"403.688";"579.157";"495.602";"404.728";"798.221";"550.340";"654.068";"430.574";"302.786";"453.891";"504.922"
"12pm";"755.593";"363.909";"809.379";"741.081";"327.913";"746.501";"491.084";"384.335";"403.688";"579.157";"495.602";"404.728";"921.128";"550.340";"654.068";"430.574";"302.786";"453.891";"504.922"
"1am";"818.775";"363.909";"809.379";"741.081";"327.913";"746.501";"491.084";"384.335";"403.688";"579.157";"583.879";"404.728";"921.128";"550.340";"590.886";"430.574";"302.786";"453.891";"504.922"
"2am";"818.775";"363.909";"809.379";"741.081";"327.913";"922.302";"315.283";"384.335";"403.688";"579.157";"583.879";"404.728";"921.128";"550.340";"590.886";"430.574";"302.786";"453.891";"504.922"
"3am";"818.775";"363.909";"809.379";"741.081";"327.913";"922.302";"315.283";"384.335";"403.688";"579.157";"583.879";"404.728";"921.128";"550.340";"590.886";"430.574";"302.786";"453.891";"504.922"
