"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"12am";" 4238.1687";"17992.6680";" 4918.2420";" 4989.2375";" 2122.0080";" 2958.5305";" 1510.4052";" 2396.7113";" 1757.8501";" 1552.9229";" 1390.2336";"    0.0000";" 3894.6684";"  926.1965";" 1311.6802";" 2517.4286";" 3174.5554";" 1993.5625";"  961.6526";" 1426.4893";" 4126.9662";"    0.0000";" 5621.1353";" 7533.5893";" 3158.0192";"  859.6526";" 1609.0222";"10105.2675";" 6034.4987";" 9272.1437";"    0.0000";" 2664.7857";"    0.0000";" 1585.4287";"    0.0000";" 1129.0993";" 1365.5561";" 2964.5332";"    0.0000";"    0.0000";" 1339.7768";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 5930.9171";" 1310.5832";"    0.0000";" 2017.4874";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1028.5193";"    0.0000";" 1277.9963";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"0";"    0.0000";"    0.0000";"    0.0000"
"1pm";" 4343.7451";"19729.4654";" 5436.5552";" 5364.1066";" 2350.2107";" 3515.6409";" 2211.3814";" 2845.2654";" 2381.8551";" 1268.8919";" 1656.6284";"    0.0000";" 4015.5634";" 1254.2351";" 1412.9387";" 3068.5724";" 3762.6956";" 2300.4329";"    0.0000";" 1457.7535";" 3687.3683";"    0.0000";" 6508.2257";" 9687.1103";" 3191.5827";"  856.9744";" 1596.0597";"11299.4648";" 6445.5110";" 9715.5625";" 1368.8705";" 3284.1957";"  924.8375";" 1949.1700";"    0.0000";" 1004.1711";" 1573.7345";" 3068.6052";"    0.0000";"    0.0000";" 1186.1948";"    0.0000";"    0.0000";"    0.0000";"  820.7783";" 5574.8549";" 1609.7873";"    0.0000";" 1766.3351";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1529.8156";"    0.0000";" 1189.5095";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"  972.2895"
"2pm";" 5248.4111";"20370.2674";" 6019.8282";" 6144.7524";" 2541.3984";" 3216.5575";" 1788.7572";" 4471.8487";" 2149.5279";" 1540.7392";" 1751.1662";"    0.0000";" 4930.9348";" 1284.8762";" 1335.6886";" 3654.5024";" 3272.1223";" 2253.4078";"  975.0788";" 1883.7170";" 4364.1904";"    0.0000";" 6562.7547";"10376.7816";" 3476.3445";"  858.3235";" 1638.1082";"11412.8956";" 7147.6554";" 9950.9935";" 1129.3472";" 3145.6945";" 1255.4604";" 1667.0103";"  694.6382";" 1130.3737";" 1688.3046";" 3183.6094";"    0.0000";"    0.0000";" 1384.0964";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 5478.7296";" 1379.1722";"    0.0000";" 2727.0153";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1395.1237";"    0.0000";" 1126.6437";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"  972.2895"
"3pm";" 5989.5931";"20032.4265";" 6101.6917";" 6153.3300";" 2956.6802";" 3395.6323";" 1925.1851";" 3652.0669";" 2184.2472";" 1799.7832";" 1688.7443";"    0.0000";" 4412.6505";" 1293.3651";" 1770.3669";" 3174.6497";" 3206.5564";" 2081.9083";" 1114.9313";" 2216.4547";" 5840.4136";"    0.0000";" 6462.2064";" 9868.4933";" 3562.7751";"  858.3235";" 1790.5828";"10412.9934";" 7025.1619";"10041.9577";" 1268.8078";" 3372.7890";" 1634.1934";" 2022.3913";"  734.6549";" 1211.4195";" 1516.1678";" 3253.6795";"    0.0000";"    0.0000";" 1206.3644";"    0.0000";"  962.8857";"    0.0000";"    0.0000";" 5523.9879";" 1407.8165";"    0.0000";" 2866.3008";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1493.8798";"    0.0000";" 1271.9655";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"  936.4052"
"4pm";" 4844.4483";"17504.5714";" 5536.3331";" 5393.9702";" 3560.6968";" 2948.8557";" 1991.2577";" 3569.1461";" 2151.5026";" 1343.5457";" 2093.5925";"    0.0000";" 3739.4918";" 1273.3166";" 1158.9961";" 2409.4359";" 2905.3552";" 1961.2905";"    0.0000";" 2504.6933";" 4859.6697";"    0.0000";" 6138.6857";" 8489.8056";" 2883.5502";"    0.0000";" 1311.0216";" 8726.8396";" 5204.9529";" 9491.8145";"  856.2700";" 2523.5272";" 1223.2043";" 1810.0857";"  862.2826";" 1159.4733";" 1170.7991";" 2734.6017";"    0.0000";"    0.0000";" 1184.3894";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 4633.0320";"  982.5368";"    0.0000";" 2230.1736";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1474.2679";"    0.0000";" 1210.3524";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
"5pm";" 3720.3674";"14537.9520";" 3889.3305";" 5711.2278";" 2710.5634";" 2653.2048";" 1619.4857";" 2263.0570";" 1174.0637";"  910.1460";" 1808.1971";" 1085.6823";" 2814.7836";"  991.1286";"  830.4667";" 1797.9330";" 1695.4481";" 1160.3072";"    0.0000";" 2232.9343";" 4728.6646";"    0.0000";" 4416.7086";" 5711.5165";" 2031.2223";"    0.0000";"  956.9643";" 5199.2197";" 3477.3810";" 6298.5688";"    0.0000";" 1237.8650";"    0.0000";" 1383.9064";"  842.8686";"  959.0589";" 1040.9601";" 1490.6671";"    0.0000";"    0.0000";" 1146.5970";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 3683.9659";"    0.0000";"    0.0000";" 1951.3376";"    0.0000";"    0.0000";"    0.0000";"    0.0000";" 1075.2052";"    0.0000";" 1061.7435";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000";"    0.0000"
"6pm";"2470.4811";"9676.9902";"2946.0157";"4601.1874";"1331.4442";"1272.5052";" 945.2367";"2144.3714";" 889.8784";"   0.0000";"1241.2312";"   0.0000";"2089.1538";" 696.9446";" 874.2746";"1319.4807";"1081.0640";"   0.0000";"   0.0000";"1233.6298";"3724.7328";"   0.0000";"1667.4347";"3242.6392";"1170.2065";"   0.0000";"1170.1067";"2128.6208";"1190.3681";"3083.6318";"   0.0000";"1569.3077";"   0.0000";"   0.0000";"   0.0000";" 841.9453";"   0.0000";" 839.5486";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2928.0519";"   0.0000";"   0.0000";"1610.2901";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"7pm";"2620.6391";"7858.3590";"1478.2420";"4389.1483";"1417.5958";" 806.5805";"   0.0000";"1144.9122";" 732.0502";"   0.0000";"1479.6326";"1007.7071";"2172.0840";"   0.0000";"   0.0000";"1822.0695";"   0.0000";"   0.0000";"   0.0000";"1094.9745";"2229.1262";"   0.0000";"   0.0000";"1432.7052";"   0.0000";"   0.0000";" 956.8049";"   0.0000";"   0.0000";"2067.7425";"   0.0000";"1014.3252";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 667.9706";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1240.2305";"   0.0000";"   0.0000";"1111.2167";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8pm";"2926.3822";"6730.9273";"1983.4862";"4284.9868";"1437.0182";"   0.0000";"   0.0000";" 968.7842";"   0.0000";"   0.0000";"1643.2393";"   0.0000";"1602.5315";"   0.0000";"   0.0000";"1794.2249";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1294.8587";"   0.0000";"   0.0000";"1200.5897";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1088.5525";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 883.6628";"   0.0000";"0";" 688.7596";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9pm";"2638.5704";"6456.7755";"1676.8767";"4475.5373";"1535.4248";"   0.0000";"   0.0000";" 836.6749";"   0.0000";"   0.0000";"1386.9873";"   0.0000";"1717.0934";"   0.0000";"   0.0000";"1595.5179";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1224.2959";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 867.5757";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0"
"10pm";"2449.063";"5196.339";"1038.006";"3634.680";"1212.994";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1056.403";"   0.000";"   0.000";"   0.000";"   0.000";"1291.969";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"0"
"11pm";"1506.056";"2600.924";"   0.000";"2219.706";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000"
"12pm";"   0.000";"1590.466";"   0.000";"1943.093";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"0";"0";"0";"   0.000";"0";"0";"0";"0"
"1am";"   0.0000";" 933.2064";"   0.0000";"1625.4706";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"0";"0";"   0.0000";"   0.0000";"   0.0000";"0";"0";"   0.0000";"   0.0000";"   0.0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2am";"  0.000";"823.275";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"0";"0";"  0.000";"  0.000";"  0.000";"0";"0";"  0.000";"  0.000";"  0.000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
