"hour","001","003","004","005","006","007","010","011","012","013","014","015","016","017","018","019","020","021","023","024","025","026","027","028","029","030","031","032","033","034","035","036","037","038","039","040","041","042","043","044","045","046","047","048","049","050","051","052","053","054","055","056","059","060","061","063","064","065","066","067","068","069","070","071","072","073","074","075","076"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258,15170.13258
"4am",283.55388,125.0973,0,175.13622,0,150.11676,250.1946,0,0,116.75748,0,0,0,0,0,0,0,233.51496,100.07784,0,0,0,0,0,316.91316,0,125.0973,133.43712,208.4955,125.0973,225.17514,125.0973,0,0,0,108.41766,0,100.07784,100.07784,141.77694,0,125.0973,0,141.77694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194.92946,133.43712,125.0973,0,150.11676,0,0,0
"5am",567.10776,258.53442,0,266.87424,0,300.23352,500.3892,175.13622,0,216.83532,0,100.07784,100.07784,0,0,108.41766,0,333.5928,250.1946,0,0,0,0,0,425.33082,166.7964,225.17514,300.23352,416.991,200.15568,533.74848,183.47604,0,0,0,133.43712,0,258.53442,141.77694,241.85478,0,200.15568,0,233.51496,0,116.75748,0,258.53442,0,0,0,0,216.83532,0,0,0,0,0,0,0,0,4428.44442,225.17514,200.15568,116.75748,333.5928,100.07784,0,0
"6am",2109.97446,1426.10922,617.14668,717.22452,316.91316,909.04038,1859.77986,692.20506,483.70956,517.06884,108.41766,300.23352,266.87424,0,208.4955,300.23352,333.5928,625.4865,733.90416,158.45658,0,125.0973,0,108.41766,800.62272,416.991,892.36074,808.96254,1142.55534,542.0883,1793.0613,517.06884,258.53442,125.0973,125.0973,233.51496,0,950.73948,508.72902,942.39966,100.07784,450.35028,166.7964,767.26344,241.85478,300.23352,0,725.56434,0,141.77694,0,216.83532,1417.7694,0,125.0973,200.15568,225.17514,0,150.11676,141.77694,0,5554.32012,642.16614,833.982,492.04938,1667.964,366.95208,0,0
"7am",8056.26612,5187.36804,1918.1586,2927.27682,2101.63464,2343.48942,6296.5641,2493.60618,1634.60472,1301.01192,300.23352,859.00146,567.10776,350.27244,792.2829,1401.08976,1009.11822,1651.28436,1759.70202,358.61226,141.77694,233.51496,150.11676,233.51496,1301.01192,892.36074,2501.946,1734.68256,2877.2379,1159.23498,4461.8037,1117.53588,758.92362,266.87424,258.53442,425.33082,200.15568,2126.6541,1376.0703,3402.64656,200.15568,1009.11822,283.55388,1959.8577,550.42812,642.16614,166.7964,1267.65264,0,275.21406,108.41766,341.93262,2276.77086,100.07784,241.85478,408.65118,542.0883,175.13622,366.95208,225.17514,0,7389.08052,2618.70348,3477.70494,2043.2559,6855.33204,1200.93408,200.15568,150.11676
"8am",13068.49794,8931.94722,2943.95646,4503.5028,3077.39358,3360.94746,10900.14474,4161.57018,2877.2379,1834.7604,483.70956,1275.99246,717.22452,725.56434,1234.29336,2260.09122,1684.64364,2777.16006,2476.92654,575.44758,166.7964,350.27244,158.45658,258.53442,1918.1586,1367.73048,3686.20044,2318.46996,3852.99684,1651.28436,7238.96376,1701.32328,1492.82778,333.5928,341.93262,600.46704,241.85478,2785.49988,2043.2559,6655.17636,283.55388,1317.69156,442.01046,2927.27682,733.90416,1209.2739,233.51496,1617.92508,100.07784,366.95208,175.13622,400.31136,2618.70348,166.7964,391.97154,533.74848,909.04038,250.1946,533.74848,250.1946,108.41766,8790.17028,4295.0073,4812.07614,3235.85016,11942.62224,1642.94454,283.55388,216.83532
"9am",14369.50986,9974.42472,3352.60764,5187.36804,3502.7244,3736.23936,12726.56532,4545.2019,3302.56872,2343.48942,583.7874,1359.39066,808.96254,792.2829,1417.7694,2618.70348,2026.57626,3310.90854,2685.42204,683.86524,233.51496,391.97154,158.45658,291.8937,2376.8487,1501.1676,4044.8127,2585.3442,4203.26928,1876.4595,8665.07298,1926.49842,1776.38166,366.95208,375.2919,692.20506,275.21406,2977.31574,2118.31428,7747.69278,358.61226,1359.39066,450.35028,3344.26782,800.62272,1434.44904,241.85478,1809.74094,141.77694,442.01046,200.15568,425.33082,2735.46096,166.7964,433.67064,558.76794,1084.1766,266.87424,558.76794,283.55388,116.75748,9499.05498,4720.33812,5612.69886,3519.40404,13910.81976,1851.44004,300.23352,258.53442
"10am",14853.21942,10483.15374,3436.00584,5704.43688,3661.18098,4028.13306,13877.46048,4728.67794,3310.90854,2526.96546,617.14668,1476.14814,959.0793,875.6811,1526.18706,2827.19898,2176.69302,3494.38458,2793.8397,717.22452,283.55388,391.97154,158.45658,325.25298,2652.06276,1651.28436,4194.92946,2551.98492,4286.66748,1901.47896,9590.793,2068.27536,1859.77986,358.61226,408.65118,750.5838,258.53442,3027.35466,2218.39212,8606.69424,383.63172,1376.0703,467.02992,3360.94746,867.34128,1409.42958,258.53442,1901.47896,150.11676,425.33082,208.4955,442.01046,2752.1406,183.47604,475.36974,617.14668,1117.53588,258.53442,542.0883,291.8937,125.0973,9907.70616,4953.85308,5837.874,3602.80224,14728.12212,1926.49842,283.55388,275.21406
"11am",14886.5787,10658.28996,3377.6271,5762.81562,3477.70494,3944.73486,14119.31526,4578.56118,3277.54926,2451.90708,525.40866,1484.48796,950.73948,875.6811,1442.78886,2785.49988,2101.63464,3335.928,2893.91754,742.24398,316.91316,408.65118,166.7964,341.93262,2668.7424,1567.88616,4203.26928,2451.90708,4228.28874,1876.4595,9282.21966,2043.2559,1751.3622,341.93262,358.61226,725.56434,283.55388,3027.35466,2251.7514,8439.89784,350.27244,1367.73048,450.35028,3227.51034,859.00146,1384.41012,250.1946,1909.81878,166.7964,391.97154,241.85478,450.35028,2752.1406,183.47604,475.36974,592.12722,1042.4775,266.87424,592.12722,316.91316,116.75748,9824.30796,4937.17344,5696.09706,3636.16152,14936.61762,2001.5568,308.57334,300.23352
"12am",14769.82122,10433.11482,3319.24836,5879.5731,3544.4235,4044.8127,14127.65508,4636.93992,3260.86962,2260.09122,567.10776,1459.4685,925.72002,825.64218,1501.1676,2743.80078,2084.955,3552.76332,2710.4415,792.2829,275.21406,408.65118,166.7964,316.91316,2677.08222,1559.54634,4395.08514,2443.56726,4086.5118,1834.7604,9415.65678,1843.10022,1684.64364,350.27244,383.63172,792.2829,266.87424,2977.31574,2210.0523,8139.66432,350.27244,1342.71102,467.02992,3202.49088,808.96254,1401.08976,266.87424,1834.7604,166.7964,416.991,216.83532,416.991,2526.96546,200.15568,492.04938,558.76794,1075.83678,225.17514,617.14668,316.91316,116.75748,9782.60886,4945.51326,5687.75724,3827.97738,14669.74338,1993.21698,300.23352,300.23352
"1pm",15170.13258,10716.6687,3502.7244,6146.44734,3736.23936,4486.82316,14811.52032,4720.33812,3436.00584,2518.62564,625.4865,1542.8667,917.3802,942.39966,1492.82778,2860.55826,2168.3532,3861.33666,3044.0343,800.62272,300.23352,375.2919,158.45658,333.5928,2777.16006,1617.92508,4553.54172,2643.72294,4219.94892,1759.70202,9882.6867,2084.955,1751.3622,391.97154,391.97154,850.66164,300.23352,2977.31574,2343.48942,8439.89784,375.2919,1434.44904,508.72902,3277.54926,850.66164,1467.80832,266.87424,1926.49842,175.13622,391.97154,208.4955,433.67064,2568.66456,225.17514,525.40866,558.76794,1034.13768,250.1946,658.84578,358.61226,141.77694,9857.66724,5003.892,5887.91292,3844.65702,14903.25834,2051.59572,325.25298,300.23352
