"4pm";"   0.00000";" 880.81823";" 951.08000";"1196.57068";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 776.14411";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 249.50473";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  52.32775";"  56.81601";"   0.00000"
"5pm";"  0.0000";"485.0340";"441.8592";"876.0613";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"130.3124";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"177.3963";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"6pm";"  0.00000";" 27.78025";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"141.41931";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000"
"7pm";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";"41.59720";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";"35.97701";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000"
"8pm";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";"41.5972";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000"
"9pm";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";"41.5972";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000"
"10pm";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";"41.5972";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000"
"11pm";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";"41.5972";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000";" 0.0000"
"12pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
