"district","hour","mode1","mode2","mode3"
"001","4am",1547.12484,4548.572,7260.0007
"002","4am",509.52049,4357.844,3417.8425
"003","4am",896.8542,4960.893,5468.0439
"004","4am",1622.56655,6607.913,4208.6214
"005","4am",901.54414,4660.96,2171.0563
"006","4am",972.35455,6294.83,3615.7022
"007","4am",1073.20244,4337.14,1470.7844
"008","4am",564.35475,4336.626,1975.9409
"009","4am",497.07011,6127.464,1789.1468
"010","4am",1010.55137,6207.052,3134.7022
"011","4am",233.37571,3765.589,1054.4986
"012","4am",498.25287,8474.499,943.3973
"013","4am",1005.52387,6522.749,1751.2782
"014","4am",228.44512,5756.235,968.1621
"015","4am",357.16722,4723.346,1416.4784
"016","4am",904.39601,5113.721,1956.9309
"017","4am",735.87816,10515.434,1675.6899
"018","4am",497.31389,5579.017,853.5638
"019","4am",916.38448,6962.185,1439.3871
"020","4am",242.89771,7218.199,613.6942
"021","4am",0,3389.149,501.1261
"022","4am",84.33733,2364.216,478.0337
"023","4am",65.00076,2463.146,448.2105
"024","4am",253.31728,3022.468,489.1346
"025","4am",227.19597,3401.299,702.8527
"026","4am",179.58735,2810.179,289.1581
"027","4am",45.45455,2919.118,295.4773
"028","4am",20.27578,3556.192,662.783
"001","5am",1547.12484,4507.736,7304.4991
"002","5am",509.52049,4406.108,3417.8425
"003","5am",896.8542,4912.798,5468.0439
"004","5am",1622.56655,6629.697,4264.6676
"005","5am",901.54414,4660.96,2115.195
"006","5am",972.35455,6294.83,3524.4043
"007","5am",1073.20244,4227.884,1470.7844
"008","5am",564.35475,4310.611,1975.9409
"009","5am",497.07011,6157.159,1789.1468
"010","5am",1010.55137,6337.099,3134.7022
"011","5am",233.37571,3656.416,1026.0861
"012","5am",498.25287,8344.316,943.3973
"013","5am",1005.52387,6499.557,1751.2782
"014","5am",228.44512,5872.441,968.1621
"015","5am",357.16722,4996.375,1416.4784
"016","5am",824.36798,5255.047,2003.9555
"017","5am",735.87816,10507.97,1675.6899
"018","5am",497.31389,5447.966,853.5638
"019","5am",916.38448,6904.933,1439.3871
"020","5am",242.89771,6927.554,613.6942
"021","5am",0,3361.184,501.1261
"022","5am",84.33733,2343.057,478.0337
"023","5am",65.00076,2412.242,448.2105
"024","5am",253.31728,2963.382,489.1346
"025","5am",227.19597,3368.353,702.8527
"026","5am",179.58735,2810.179,289.1581
"027","5am",45.45455,2892.403,295.4773
"028","5am",20.27578,3553.428,662.783
"001","6am",1345.76995,4364.543,7451.6582
"002","6am",702.76352,4227.554,3364.7311
"003","6am",823.38475,4970.78,5451.6727
"004","6am",1616.02751,6336.419,4345.734
"005","6am",832.61341,4470.217,2005.9837
"006","6am",931.84963,6862.339,3366.0293
"007","6am",948.63326,4426.8,1420.2344
"008","6am",613.34021,3847.707,1938.8933
"009","6am",497.07011,5872.428,1587.0404
"010","6am",1010.55137,6239.845,3286.8766
"011","6am",233.37571,3553.617,1026.0861
"012","6am",498.25287,8577.703,943.3973
"013","6am",1005.52387,6377.316,1686.7047
"014","6am",228.44512,6320.393,968.1621
"015","6am",357.16722,5188.797,1416.4784
"016","6am",743.90502,5297.481,1882.207
"017","6am",674.093,10359.092,1675.6899
"018","6am",497.31389,5183.948,789.1671
"019","6am",916.38448,6730.361,1439.3871
"020","6am",242.89771,6455.659,678.6533
"021","6am",0,3295.174,501.1261
"022","6am",84.33733,2193.686,478.0337
"023","6am",29.91114,2161.293,448.2105
"024","6am",253.31728,2671.582,471.2091
"025","6am",184.64641,3353.04,702.8527
"026","6am",179.58735,2794.113,289.1581
"027","6am",45.45455,2720.849,275.5811
"028","6am",0,3507.863,581.1555
"001","7am",1760.46787,4143.1,7222.5281
"002","7am",1243.61743,4708.908,2892.412
"003","7am",982.52476,5993.756,5986.8837
"004","7am",1504.42933,5445.611,4090.9933
"005","7am",1082.97103,5007.552,2378.7248
"006","7am",1136.25613,7222.757,3552.4854
"007","7am",923.30933,4241.144,1416.4186
"008","7am",508.37826,3187.517,1748.8839
"009","7am",486.1467,5413.991,1388.408
"010","7am",1229.98691,6659.384,2959.1221
"011","7am",157.40801,3210.271,855.6754
"012","7am",930.93247,8776.494,740.4404
