"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019"
"min";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232"
"max";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46";"8369.46"
"4am";"139.690";"424.332";"773.070";"410.129";"104.112";"208.598";"344.316";"393.721";"345.856";"541.542";"220.743";"201.964";"596.911";"276.454";"393.585";" 76.033";"178.563";"363.034";"404.866"
"5am";"139.690";"424.332";"773.070";"410.129";"104.112";"208.598";"344.316";"393.721";"345.856";"541.542";"220.743";"201.964";"596.911";"276.454";"393.585";" 76.033";"178.563";"363.034";"404.866"
"6am";"139.690";"424.332";"773.070";"410.129";"104.112";"208.598";"344.316";"393.721";"345.856";"541.542";"220.743";"201.964";"596.911";"276.454";"393.585";" 76.033";"178.563";"363.034";"404.866"
"7am";"330.705";"218.589";"582.055";"440.584";"104.112";"414.341";"513.657";"393.721";"345.856";"475.674";"220.743";"201.964";"417.151";"243.762";"319.022";" 76.033";"178.563";"363.034";"525.261"
"8am";"330.705";"202.608";"598.036";"359.964";"104.112";"414.341";"538.704";"393.721";"320.809";"550.237";"220.743";"201.964";"384.679";"243.762";"323.075";" 76.033";"178.563";"329.923";"564.429"
"9am";"292.570";"202.608";"598.036";"455.319";"104.112";"428.308";"499.690";"431.503";"345.856";"564.573";"220.743";"208.714";"384.679";"243.762";"323.075";"189.404";" 77.171";"329.923";"436.362"
"10am";"280.591";"202.608";"562.694";"472.990";" 64.379";"496.877";"475.093";"431.503";"345.856";"595.058";"174.690";"218.136";"356.834";"243.762";"290.603";"202.047";" 77.171";"329.923";"445.211"
"11am";"317.935";"140.402";"580.365";"473.695";"104.112";"471.217";"456.781";"393.721";"345.856";"618.122";"174.690";"240.636";"429.130";"261.433";"319.022";" 59.162";"150.883";"329.923";"428.866"
"12am";"299.997";"126.095";"580.365";"477.411";"132.685";"414.341";"513.657";"393.721";"345.856";"618.122";"174.690";"248.017";"384.679";"294.125";"319.022";" 76.033";"190.542";"329.923";"415.285"
"1pm";"265.487";"170.319";"467.352";"505.830";"132.685";"580.979";"613.225";"416.660";"209.502";"572.996";"137.309";"248.017";"384.679";"294.125";"290.603";" 76.033";"190.542";"292.939";"436.362"
"2pm";"265.487";"170.319";"418.215";"545.776";"165.157";"603.479";"537.618";"359.431";"309.070";"580.413";"183.362";"201.517";"352.207";"243.762";"290.603";"192.444";"168.741";"229.032";"414.309"
"3pm";"264.019";" 85.747";"567.720";"555.497";"142.858";"645.849";"504.609";"418.322";"281.224";"645.738";"220.743";"121.782";"384.679";"243.762";"290.603";"117.240";"168.741";"229.032";"362.768"
"4pm";"264.019";"107.734";"612.003";"457.007";"177.706";"671.498";"499.690";"448.939";"344.826";"593.253";"174.690";"176.950";"384.679";"243.762";"290.603";"126.253";"168.741";"183.376";"362.768"
"5pm";" 81.222";"251.061";"787.037";"410.129";"170.542";"524.384";"495.331";"407.219";"351.157";"480.762";"137.576";"201.964";"384.679";"210.443";"302.582";" 97.834";"232.648";"183.376";"445.610"
"6pm";" 93.201";"218.589";"773.070";"410.129";"125.793";"510.610";"573.205";"374.940";"351.157";"543.559";"137.576";"201.964";"417.151";"243.762";"393.585";" 76.033";"178.563";"216.487";"428.866"
"7pm";"173.367";"218.589";"773.070";"410.129";"125.793";"470.106";"374.771";"374.940";"345.856";"469.367";"174.690";"201.964";"618.964";"276.454";"365.166";" 76.033";"178.563";"322.114";"428.866"
"8pm";"173.367";"218.589";"803.525";"410.129";"125.793";"470.106";"344.316";"337.956";"345.856";"511.087";"174.690";"201.964";"596.911";"276.454";"393.585";" 76.033";"178.563";"317.378";"450.919"
"9pm";"173.367";"218.589";"677.728";"410.129";"125.793";"595.903";"344.316";"337.956";"345.856";"511.087";"174.690";"201.964";"596.911";"276.454";"393.585";" 76.033";"178.563";"317.378";"450.919"
"10pm";"173.367";"218.589";"677.728";"410.129";"125.793";"540.138";"344.316";"393.721";"345.856";"511.087";"220.743";"201.964";"596.911";"276.454";"393.585";" 76.033";"178.563";"317.378";"404.866"
"11pm";"173.367";"218.589";"773.070";"410.129";"125.793";"414.341";"344.316";"393.721";"345.856";"541.542";"220.743";"201.964";"596.911";"276.454";"393.585";" 76.033";"178.563";"317.378";"404.866"
"12pm";"173.367";"218.589";"773.070";"410.129";"125.793";"414.341";"344.316";"393.721";"345.856";"541.542";"220.743";"201.964";"596.911";"276.454";"393.585";" 76.033";"178.563";"317.378";"404.866"
"1am";"127.711";"218.589";"773.070";"410.129";"125.793";"414.341";"344.316";"393.721";"345.856";"541.542";"220.743";"201.964";"596.911";"276.454";"393.585";" 76.033";"178.563";"363.034";"404.866"
"2am";"127.711";"218.589";"773.070";"410.129";"125.793";"414.341";"344.316";"393.721";"345.856";"541.542";"220.743";"201.964";"596.911";"276.454";"393.585";" 76.033";"178.563";"363.034";"404.866"
"3am";"127.711";"424.332";"773.070";"410.129";"125.793";"208.598";"344.316";"393.721";"345.856";"541.542";"220.743";"201.964";"596.911";"276.454";"393.585";" 76.033";"178.563";"363.034";"404.866"
