"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095";"31.0569288484095"
"max";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905";"68.9430711515905"
"4am";"39.31407";"44.05979";"38.32433";"43.23135";"42.72074";"48.93681";"43.05331";"52.46088";"43.72638";"42.95022";"48.34838";"40.09124";"49.35706";"31.05693";"46.59277";"47.85793";"48.25337";"51.62582"
"5am";"39.01015";"44.05979";"38.43493";"42.91897";"42.01044";"49.55937";"42.75642";"53.65542";"43.39004";"43.49206";"47.15406";"40.56161";"49.35706";"31.05797";"47.31430";"47.60784";"48.51793";"52.15380"
"6am";"40.50257";"43.74711";"38.97182";"42.58868";"41.06077";"48.89975";"42.92559";"53.09234";"42.91862";"43.18081";"47.83899";"40.63348";"48.39155";"33.05190";"47.10728";"43.83617";"46.27596";"51.33178"
"7am";"41.06154";"41.74343";"34.81488";"44.41115";"43.75572";"50.91567";"45.83382";"48.43246";"45.16837";"49.23632";"48.80935";"42.17371";"45.74851";"43.77427";"41.21081";"37.11922";"51.45899";"48.54315"
"8am";"36.06558";"38.10981";"39.41095";"45.81398";"45.06474";"52.15973";"45.18637";"46.45887";"43.52623";"39.77644";"46.49905";"43.58243";"44.36974";"47.46268";"47.89107";"40.05296";"48.89705";"43.05676"
"9am";"36.15940";"34.87671";"36.87165";"46.86895";"43.63065";"52.11531";"43.93083";"46.12748";"45.58422";"38.59782";"48.61703";"44.47401";"41.07685";"47.62460";"47.17350";"40.70830";"52.83146";"45.24935"
"10am";"35.94557";"35.04962";"40.12495";"48.34855";"44.84785";"54.36281";"42.51807";"47.28282";"42.00934";"36.38745";"48.91498";"43.66622";"44.44515";"43.75689";"47.18459";"42.59986";"53.53458";"45.56174"
"11am";"33.36317";"35.05086";"39.20114";"48.84415";"43.69336";"54.74121";"44.24536";"47.61625";"41.83669";"38.14112";"48.95815";"44.85786";"43.83959";"44.54025";"47.43324";"42.44442";"52.06708";"43.20695"
"12am";"37.01693";"37.04244";"36.89729";"50.15982";"38.86436";"54.38389";"46.67884";"51.97510";"41.88002";"38.72259";"48.11899";"43.89472";"44.34726";"40.26588";"47.66941";"41.73621";"52.17060";"44.53864"
"1pm";"33.12808";"39.74963";"37.14409";"46.47168";"41.17352";"51.32053";"50.70368";"51.39056";"42.91056";"37.24509";"55.51320";"43.83636";"43.01195";"44.24862";"50.70018";"43.08100";"48.78226";"42.93455"
"2pm";"31.51061";"39.57150";"35.59032";"45.28009";"41.29044";"51.37496";"50.37832";"54.83729";"45.09193";"36.42850";"53.45986";"40.26262";"45.75859";"43.82173";"51.81091";"46.05587";"49.47944";"44.49742"
"3pm";"31.79350";"39.91172";"35.73447";"44.08045";"40.29226";"51.67743";"52.64610";"52.11147";"47.91294";"38.30163";"48.34607";"43.29495";"46.59272";"41.92735";"57.28355";"46.71656";"44.24245";"45.83979"
"4pm";"33.85599";"33.62065";"39.75846";"47.82112";"36.67700";"47.86507";"49.47051";"49.55127";"47.11425";"39.44693";"53.22025";"41.25285";"44.61913";"42.77295";"55.92737";"48.34602";"48.30463";"43.94497"
"5pm";"32.38969";"41.06581";"38.53810";"48.06992";"40.53486";"47.64018";"46.60225";"51.45031";"42.32902";"45.21519";"51.51044";"41.60561";"50.62464";"38.02580";"49.46166";"48.15963";"43.65170";"50.24055"
"6pm";"35.61561";"45.57739";"45.55765";"43.06700";"38.50161";"46.48097";"44.82249";"50.61942";"41.49706";"44.59295";"53.37633";"36.84139";"47.19402";"32.94578";"45.29824";"51.32656";"47.20776";"53.17891"
