"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"12am";"1806.0504";"5365.5505";"2790.3751";"2334.2467";"3314.0376";"1349.8220";"2406.2933";"2756.4252";"2642.6480";"3493.1080";"3954.5610";" 822.4616";"3811.2459";"1521.6350";"2733.6569";"1644.7322";" 525.0954";"1031.0453";"1640.7138";"2460.2809";"3489.7788";"2378.4115";"2585.3625";" 975.8711";"1141.4024";" 908.9004";"1256.5828";"1808.1354";"1298.2396";"2894.6582";"3557.4984";"3378.6431";"2415.3923";"1692.8891";"3096.3384";"3950.9515";"1868.6415";"3998.8021";"1466.4529";"2795.8741";"3269.7050";"1012.9147";"2512.3956";"2207.0477";"2316.1116";"1360.3950";"1817.4012";"1390.7146";"2321.2617";"4032.6786";"2816.7836";"2024.4343";"3009.4847";"3809.4917";"2395.2323";"1620.9980";"1930.9105";"1430.9187";"3114.2462";"1442.2175";"2202.0876";"2135.8448";" 901.6883";"2915.1688";"1627.1806";"2137.7587"
"1pm";"2240.0825";"5062.2583";"2495.9938";"2909.7240";"3276.6583";"1551.6674";"2414.8128";"2164.3389";"2283.3058";"3365.2299";"4166.5969";" 874.3664";"3490.6273";"1446.3130";"2366.2381";"1720.4958";" 688.1738";"1034.1853";"1419.4717";"2460.2809";"3218.8192";"2517.1656";"2437.5548";" 816.6260";"1325.3422";" 806.3928";"1206.2179";"1568.2773";"1272.1693";"2710.4181";"3497.4976";"3555.4590";"2640.6039";"1777.6613";"2980.5299";"3701.0130";"1802.6682";"3926.2432";"1324.0030";"2685.9502";"3341.5442";"1012.9147";"2512.3956";"2508.6528";"2435.1361";"1285.3833";"1719.8204";"1390.7146";"2400.1890";"3930.4690";"2658.8381";"2024.4343";"3033.9849";"4187.1907";"2113.6039";"1789.1461";"2011.7729";"1510.2697";"3145.3252";"1458.3320";"2136.9146";"2074.9511";" 840.5659";"2915.1688";"1627.1806";"1720.7167"
"2pm";"2672.3108";"5935.5087";"2736.2074";"3377.7522";"2601.8846";"1760.1884";"2209.3415";"2002.1540";"2283.3058";"3005.0104";"3570.6407";" 858.9118";"3158.8383";"1487.7434";"2305.4387";"1756.9499";"1049.0655";"1105.0757";"1503.7675";"2537.1173";"3812.8907";"2055.5399";"3002.2778";"1379.2103";"1319.7902";" 738.0544";"1529.1137";"1418.5971";"1421.1826";"3063.2834";"2839.9050";"2686.3043";"2997.3521";"1541.9153";"2531.0590";"3249.9648";"1942.8733";"4342.8455";"1193.9248";"2380.7601";"3755.4213";" 987.8717";"2646.2233";"2513.4966";"2435.1361";"1626.3961";"1488.3953";"1406.5630";"3170.0040";"4102.8060";"2115.2965";"1702.8921";"3351.7451";"3838.1786";"1801.2038";"1853.9319";"1749.2625";"1450.3510";"2802.3987";"1346.8052";"2253.0894";"1965.6812";" 703.4142";"2915.1688";"1389.3166";"1303.6747"
"3pm";"2891.5208";"5199.8163";"2721.3522";"3907.3251";"2936.0702";"1588.4376";"2246.1258";"2124.4953";"2182.2691";"2855.7843";"3880.1530";" 719.2633";"3259.1627";"1375.7759";"2398.8914";"1616.1816";"1236.9272";" 991.7401";"1548.5316";"2554.6147";"3550.6611";"2196.5319";"3006.6043";"1227.5201";"1342.8617";" 844.5551";"1035.1187";"1547.3972";"1536.3664";"3236.5736";"2904.6719";"2863.2394";"3425.2999";"1559.6558";"2692.6282";"3637.3066";"1876.4923";"3793.5480";"1740.8023";"2429.4122";"3209.7097";"1019.7208";"2841.8065";"2256.5339";"2124.2686";"1987.3226";"1389.7804";"1150.5781";"3394.8238";"3751.6412";"1841.9960";"1992.5964";"3555.9773";"3679.7433";"1728.3500";"2301.5524";"1991.8497";"1510.2697";"2528.0575";"1284.2164";"2206.0300";"1969.6510";"1017.9697";"2259.5541";"1270.9768";"1349.5762"
"4pm";"2148.8787";"4348.0087";"2607.1425";"3009.5221";"3651.5479";"1429.6513";"2049.8076";"2004.7193";"2909.7172";"3110.9929";"3375.6351";" 714.7257";"3183.7512";"1447.9543";"2332.1782";"1582.3957";" 789.6605";" 998.5525";"1648.9193";"2916.5379";"3872.9675";"2251.4086";"2958.4630";"1262.2150";"1085.6574";"1001.7639";"1003.1705";"1531.5155";"1189.7486";"2688.5189";"2969.0211";"2957.4229";"3065.9054";"1371.0498";"3169.8051";"3580.0633";"2061.1857";"4100.6923";"1822.5688";"2998.5040";"3225.0835";" 878.9066";"2328.7898";"2455.6138";"1871.9868";"1643.3951";"1433.2910";"1384.9587";"3136.5672";"3726.0498";"2117.9327";"1776.8514";"3009.7482";"3905.9291";"2285.3927";"2001.0734";"2078.8565";"1679.2601";"2496.9785";"1468.3061";"2104.0512";"2386.2014";"1031.0650";"2401.3398";"1301.6127";"1349.5762"
"5pm";"2475.2146";"4083.8850";"2537.0713";"3033.5993";"3368.3384";"1693.3236";"2519.8555";"2213.1143";"2980.3727";"3146.5490";"3761.2325";" 709.6176";"3255.4541";"1539.7925";"2961.8250";"1790.3610";" 681.0979";" 998.5525";"1648.9193";"2766.7037";"3626.8585";"2496.7218";"2639.5164";"1133.0498";"1354.3388";" 967.5947";"1146.9881";"1313.5755";"1198.2970";"2921.1381";"3594.2812";"3205.9911";"2559.1373";"1679.5447";"3095.4509";"3599.1769";"2137.2959";"3941.3400";"1581.8079";"2839.9280";"3084.2118";" 807.9621";"2307.2042";"2609.2457";"2159.6424";"1235.7008";"1816.0800";"1430.9977";"2580.7757";"3794.3882";"2839.4225";"1959.3120";"3256.8833";"3758.8857";"2201.6125";"1912.0232";"2024.0677";"1660.3337";"2698.6470";"1583.5096";"2136.1491";"2425.5103";"1051.0593";"2310.1095";"1632.6761";"1807.6772"
"6pm";"2154.7508";"4788.6088";"2732.5253";"2486.5620";"3431.0454";"1755.3543";"2381.0863";"2620.7347";"3005.5484";"3195.8473";"3655.9529";" 813.4272";"3696.7184";"1690.7492";"3484.9906";"1533.7741";" 779.3993";" 997.3059";"1414.6740";"2877.0020";"3485.4629";"2519.4035";"2534.8116";" 992.7902";"1188.4287";" 914.8685";"1256.5828";"1313.5755";"1373.4527";"2735.4462";"3597.8607";"3424.1940";"2599.4965";"1753.6911";"3100.9707";"4105.0843";"2037.3562";"4193.4382";"1581.8079";"2974.4335";"3238.8993";" 941.9702";"2512.3956";"2506.0441";"2351.4854";"1040.9085";"1928.6837";"1544.8728";"2364.3698";"3998.8074";"2926.2464";"1776.8514";"3361.5386";"3595.1950";"2279.3631";"1577.5364";"1905.3608";"1715.1225";"3050.7969";"1583.5096";"2202.0876";"2093.5684";"1306.0152";"2583.8004";"1876.5944";"1941.8232"
"7pm";"2232.8443";"4522.2753";"2803.1780";"2639.6302";"3376.6051";"1785.2451";"2327.6334";"2638.7627";"2871.4897";"3169.1141";"3625.1303";" 942.3209";"3687.6630";"1803.5283";"3540.7823";"1524.0501";" 602.0492";" 905.3844";"1356.7188";"2929.9487";"3677.2191";"2612.4214";"2673.2715";" 992.7902";"1141.6961";" 967.5947";"1256.5828";"1536.7005";"1334.9620";"2735.4462";"3476.7273";"3272.0994";"2551.9017";"1875.4323";"3013.7612";"4140.3717";"2161.4226";"3933.5478";"1581.8079";"2820.4557";"3417.6782";"1139.0419";"2512.3956";"2536.2515";"2219.5218";"1222.0319";"1900.3815";"1537.8986";"1967.9744";"4305.4362";"3249.6809";"1850.8107";"3279.0724";"3919.6488";"2349.7702";"1550.6966";"1986.2232";"1780.1711";"3256.5528";"1646.0984";"2393.0763";"2277.2883";" 939.8347";"2843.8194";"1851.6219";"2168.1831"
"8pm";"2171.0286";"4473.1718";"2704.0096";"2476.9609";"3640.2824";"1950.1775";"2327.6334";"2638.7627";"2888.3407";"3090.4542";"3926.0761";" 865.3320";"3687.6630";"1834.1026";"3496.0087";"1687.1502";" 701.9191";" 870.0127";"1356.7188";"2823.1455";"3784.0223";"2680.6795";"2482.2246";" 905.5936";"1033.5175";"1001.7639";"1256.5828";"1689.7354";"1408.2644";"2780.9583";"3659.4563";"3348.1467";"2551.9017";"1936.3715";"2979.5920";"4140.3717";"2099.3894";"4043.5357";"1581.8079";"2820.4557";"3417.6782";"1139.0419";"2605.5528";"2390.8870";"2329.0994";"1222.0319";"1860.0984";"1578.1817";"1909.4539";"4237.0978";"3249.6809";"1702.8921";"3114.1400";"3919.6488";"2415.2805";"1503.5498";"1986.2232";"1670.5935";"3325.1381";"1583.5096";"2393.0763";"2277.2883";" 939.8347";"2935.0497";"1772.3339";"2063.9226"
"9pm";"2085.0986";"4617.6223";"2618.9005";"2325.4385";"3727.4790";"1950.1775";"2327.6334";"2638.7627";"2973.4498";"3090.4542";"3819.6640";" 865.3320";"3687.6630";"1834.1026";"3496.0087";"1687.1502";" 614.7225";" 870.0127";"1356.7188";"2823.1455";"3740.0802";"2751.1755";"2565.9935";" 905.5936";"1033.5175";"1070.1023";"1256.5828";"1689.7354";"1408.2644";"2697.1894";"3659.4563";"3348.1467";"2551.9017";"1936.3715";"3139.4742";"4216.1329";"2099.3894";"4043.5357";"1581.8079";"2930.3796";"3417.6782";"1139.0419";"2605.5528";"2390.8870";"2438.6770";"1052.5356";"1935.8596";"1611.4906";"1909.4539";"4237.0978";"3249.6809";"1850.8107";"3114.1400";"3759.7666";"2415.2805";"1503.5498";"1986.2232";"1730.5122";"3325.1381";"1583.5096";"2393.0763";"2277.2883";" 939.8347";"2935.0497";"1772.3339";"2063.9226"
"10pm";"2059.7177";"4256.1780";"2618.9005";"2398.7409";"3825.1307";"1693.3236";"2327.6334";"2814.6240";"3058.5589";"3090.4542";"3819.6640";" 865.3320";"3687.6630";"1834.1026";"3413.5425";"1687.1502";" 614.7225";" 905.3844";"1356.7188";"2761.5499";"3740.0802";"2658.1576";"2565.9935";" 905.5936";"1033.5175";"1070.1023";"1256.5828";"1689.7354";"1334.9620";"2697.1894";"3659.4563";"3500.2413";"2475.9284";"1936.3715";"3139.4742";"4217.3226";"2099.3894";"3895.6171";"1581.8079";"3015.7219";"3417.6782";"1139.0419";"2605.5528";"2452.4826";"2438.6770";"1052.5356";"2011.6208";"1611.4906";"1909.4539";"4237.0978";"3336.5048";"1998.7293";"3361.5386";"3759.7666";"2415.2805";"1503.5498";"1986.2232";"1730.5122";"3325.1381";"1583.5096";"2305.0627";"2241.9166";" 939.8347";"2935.0497";"1686.9916";"2063.9226"
"11pm";"2103.7860";"4165.8416";"2618.9005";"2359.5789";"3918.1486";"1785.2451";"2327.6334";"2903.0081";"3058.5589";"3090.4542";"3896.6529";" 865.3320";"3687.6630";"1834.1026";"3365.4538";"1625.1170";" 614.7225";" 940.7561";"1356.7188";"2868.3531";"3633.2770";"2658.1576";"2521.9252";" 905.5936";"1033.5175";"1070.1023";"1256.5828";"1689.7354";"1334.9620";"2617.9014";"3550.7139";"3500.2413";"2524.0171";"1936.3715";"3139.4742";"4048.5435";"2161.4226";"3860.2454";"1581.8079";"3015.7219";"3417.6782";"1139.0419";"2605.5528";"2514.0782";"2438.6770";"1052.5356";"2087.3820";"1611.4906";"1909.4539";"4237.0978";"3336.5048";"1998.7293";"3361.5386";"3759.7666";"2415.2805";"1550.6966";"1986.2232";"1730.5122";"3325.1381";"1583.5096";"2305.0627";"2241.9166";" 939.8347";"2857.4913";"1845.5676";"2063.9226"
"12pm";"2147.8543";"4165.8416";"2618.9005";"2359.5789";"3918.1486";"1785.2451";"2327.6334";"2903.0081";"3014.4906";"3090.4542";"3896.6529";" 865.3320";"3687.6630";"1791.9058";"3365.4538";"1625.1170";" 614.7225";" 940.7561";"1356.7188";"2868.3531";"3633.2770";"2658.1576";"2521.9252";" 905.5936";"1075.7143";"1070.1023";"1256.5828";"1689.7354";"1334.9620";"2617.9014";"3698.6871";"3500.2413";"2524.0171";"1936.3715";"3139.4742";"4048.5435";"2161.4226";"3860.2454";"1581.8079";"3015.7219";"3269.7050";"1139.0419";"2605.5528";"2514.0782";"2438.6770";"1052.5356";"2087.3820";"1611.4906";"1909.4539";"4237.0978";"3336.5048";"1998.7293";"3361.5386";"3759.7666";"2415.2805";"1550.6966";"1986.2232";"1730.5122";"3325.1381";"1708.6872";"2305.0627";"2241.9166";" 977.9811";"2857.4913";"1845.5676";"2168.1831"
"1am";"2147.8543";"4089.8683";"2618.9005";"2435.5522";"3918.1486";"1785.2451";"2327.6334";"2903.0081";"3014.4906";"3090.4542";"3896.6529";" 865.3320";"3687.6630";"1791.9058";"3365.4538";"1625.1170";" 614.7225";" 940.7561";"1356.7188";"2868.3531";"3633.2770";"2658.1576";"2521.9252";" 905.5936";"1075.7143";"1070.1023";"1256.5828";"1689.7354";"1334.9620";"2617.9014";"3698.6871";"3500.2413";"2524.0171";"1936.3715";"3139.4742";"4048.5435";"2161.4226";"3860.2454";"1581.8079";"3015.7219";"3269.7050";"1139.0419";"2605.5528";"2514.0782";"2438.6770";"1052.5356";"2087.3820";"1611.4906";"1909.4539";"4237.0978";"3336.5048";"1998.7293";"3361.5386";"3759.7666";"2415.2805";"1550.6966";"1986.2232";"1730.5122";"3325.1381";"1708.6872";"2305.0627";"2241.9166";" 977.9811";"2857.4913";"1845.5676";"2168.1831"
"2am";"2147.8543";"4089.8683";"2618.9005";"2435.5522";"3918.1486";"1785.2451";"2327.6334";"2903.0081";"3014.4906";"3090.4542";"3896.6529";" 865.3320";"3687.6630";"1791.9058";"3365.4538";"1625.1170";" 614.7225";" 940.7561";"1356.7188";"2868.3531";"3633.2770";"2658.1576";"2521.9252";" 905.5936";"1075.7143";"1070.1023";"1256.5828";"1689.7354";"1334.9620";"2617.9014";"3698.6871";"3500.2413";"2524.0171";"1936.3715";"3139.4742";"4048.5435";"2161.4226";"3860.2454";"1581.8079";"3015.7219";"3269.7050";"1139.0419";"2605.5528";"2514.0782";"2438.6770";"1052.5356";"2087.3820";"1611.4906";"1909.4539";"4237.0978";"3336.5048";"1998.7293";"3361.5386";"3759.7666";"2415.2805";"1550.6966";"1986.2232";"1730.5122";"3325.1381";"1708.6872";"2305.0627";"2241.9166";" 977.9811";"2857.4913";"1845.5676";"2168.1831"
"3am";"2147.8543";"4089.8683";"2618.9005";"2435.5522";"3918.1486";"1785.2451";"2327.6334";"2903.0081";"3014.4906";"3169.1141";"3896.6529";" 865.3320";"3687.6630";"1791.9058";"3365.4538";"1625.1170";" 614.7225";" 940.7561";"1356.7188";"2868.3531";"3633.2770";"2658.1576";"2521.9252";" 905.5936";"1075.7143";"1070.1023";"1256.5828";"1611.0755";"1334.9620";"2617.9014";"3698.6871";"3500.2413";"2524.0171";"1936.3715";"3139.4742";"4048.5435";"2161.4226";"3860.2454";"1581.8079";"3015.7219";"3269.7050";"1139.0419";"2605.5528";"2514.0782";"2438.6770";"1052.5356";"2087.3820";"1611.4906";"1909.4539";"4237.0978";"3336.5048";"1998.7293";"3361.5386";"3759.7666";"2415.2805";"1550.6966";"1986.2232";"1730.5122";"3325.1381";"1708.6872";"2305.0627";"2241.9166";" 977.9811";"2857.4913";"1845.5676";"2168.1831"
