"hour","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257","301","302","303","304","305","306","307","308","401","402","403","404","405","406","501","502","503","504","505","506","507","508","509","510","511","512","513","514","515","516","519","520","521","522","601","602","604","605","607","608","609","610","612","613","614","615","616","617","701","703","704","705","706","707","708","710","711","712"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058,30603.39058
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.81034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1802.76308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435.12091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106.03796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288.89446,0,0,0,0,0,0,0,1259.25951,0,0,1052.90242,0,0,0,0,0,1223.48632,0,1120.39731,0,0,0,0,0,1745.47262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",1816.07782,0,1239.86094,0,0,0,0,0,0,0,0,0,0,0,0,3327.31876,0,0,0,0,1319.8806,1673.19229,0,0,1111.66593,1128.76703,1055.18755,1057.08896,1105.86645,1124.54615,1955.86539,0,0,0,0,0,0,0,0,0,0,0,0,887.13501,0,0,868.61899,0,0,1563.93655,0,1969.11034,1332.59693,0,1239.74366,1113.71798,0,0,0,0,0,0,0,1052.8852,0,0,0,0,0,0,0,0,0,2017.54122,0,1012.98,0,0,1091.66715,0,0,2050.61132,0,1366.14076,0,0,0,3112.69018,1071.44988,1936.05515,897.97712,0,1546.32113,0,0,0,0,0,1960.20572,1525.0069,1834.31381,1050.56077,0,1254.75722,0,0,2680.47316,0,0,0,0,953.97523,0,0,0,0,0,0,0,1184.95265,0,0,0,0,0,0,0,0,0,1404.82689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918.05734,0,0,0,0,0,0,0,0,0,1158.97622,0,0,0,0
"7am",3790.20048,2914.37402,5043.78759,1943.21669,3084.47444,2141.15995,2039.28072,2515.08993,1997.90718,2694.31463,3696.85865,2804.03391,1989.46088,2095.65707,0,9872.24714,1827.58745,3357.78012,4379.77152,3495.74909,5252.05854,4519.24305,2403.66891,0,4006.5163,4437.63248,4184.35043,2642.7895,5967.74748,2892.76731,8151.61203,2008.9524,917.27375,1420.74106,1008.36977,1485.22166,1171.19116,0,1623.15311,1126.84711,2227.05384,1628.22921,2353.37854,1884.24621,7047.00519,2091.11173,6402.22972,0,0,3626.00325,2142.18355,5862.44855,3424.57247,1495.07606,3888.3622,3267.89397,2210.55556,1840.74287,1911.25313,1101.12932,1073.3115,1323.98548,1762.0304,4302.44801,3493.8321,2734.12147,3640.25631,1000.4665,1362.60398,2023.15076,0,1739.02574,2643.26472,4379.80163,0,2241.97816,2183.60254,3027.31585,2877.22409,1403.23689,0,4192.53326,0,3552.82591,0,1558.42203,0,10688.83618,1996.87158,3904.02963,2108.71561,2817.13815,3382.54481,0,1568.66779,1292.02378,962.16235,1002.68613,2951.00202,3083.52368,2789.57463,1835.27016,0,5205.1156,1914.73778,1477.69427,5423.87201,984.54408,0,1601.61942,0,2864.30825,0,2112.9532,3951.17165,0,828.11913,3750.99231,3431.13243,4610.70063,0,2691.10226,0,0,0,2234.03233,0,0,0,2783.0413,2566.98508,1055.51712,0,0,1123.11683,3065.85685,0,0,2077.48289,0,0,1270.44377,2119.02167,0,1292.3786,0,1755.89075,0,0,1446.96595,631.79605,0,2131.49599,0,2049.07924,1290.94096,3651.91468,0,3860.00469,0,2960.73893
"8am",7490.17334,6126.62287,13696.85967,5121.46675,5223.63861,3423.98418,3874.86444,6005.66701,2885.4466,6538.93427,8037.3116,4820.59278,2788.55163,3803.13431,1387.27751,21236.60317,5168.44584,6218.55369,7745.71305,5649.06478,9766.77704,8985.50432,4480.98207,1795.40773,10853.92266,12061.88861,8132.6002,6572.69835,11226.73583,6366.14323,15014.97029,3339.95053,1083.74262,2258.11097,1667.67125,3048.42936,2209.00958,1719.73941,3140.49913,1960.64911,3586.62851,2267.27047,3969.35221,3113.65182,11811.3866,5436.99415,11577.83549,725.08728,0,6421.5537,2097.71576,7951.74665,4633.00157,2346.78538,5657.06596,5235.76375,4024.46573,2055.61557,2398.82014,1872.61895,2069.857,2327.62421,3588.24732,9060.29755,5815.65023,5810.56629,7005.22475,1887.16304,2056.04285,3930.21747,1742.46594,2928.00696,4809.14133,7742.95842,1414.61177,3132.68486,3766.92946,6588.23844,3942.01043,2092.49199,1937.08733,6360.73515,789.40362,5785.16344,0,2871.54582,855.65969,19559.09664,2228.56629,4817.51133,3655.77923,3877.30256,5736.96682,964.19414,2590.14444,1511.48611,1942.00172,2039.82374,4160.36603,4598.06197,4369.97191,3280.28724,1103.03728,8105.82059,3371.57357,2774.28636,8356.33972,2256.67377,0,2041.47528,718.52531,4668.71059,720.64264,4198.54165,5612.24136,999.91829,1207.05748,6058.42002,6448.92729,6894.81211,0,3845.06483,0,0,0,3068.04043,1138.99297,0,1502.78735,3723.77087,4126.49133,1012.81037,0,1714.44357,1558.06262,5081.71225,1168.24383,921.02479,3020.90122,0,966.21512,1788.22769,4204.03393,925.62568,1368.79044,0,2246.63726,852.1109,849.38425,2304.56223,862.9251,0,2889.67823,1147.7167,3581.9722,3758.42745,4705.63177,1893.26485,5606.96221,1536.24648,3948.8334
"9am",8424.95243,7176.20819,17347.77663,7574.55439,6837.24275,4545.94096,4276.5159,6327.45157,2984.98748,7289.81714,8628.07775,5076.18386,2935.45663,4045.63198,1572.72554,26291.98829,6160.23838,6769.62952,8706.85791,7797.72964,11303.41344,9488.03287,5204.16278,2308.88412,12019.06802,15278.18154,9848.69596,8788.89463,15059.77147,7473.94599,16885.76719,3863.79872,1208.45713,2735.77731,2044.63449,3455.18878,2943.76087,2253.98698,4015.42994,2067.17225,4185.54101,2452.11088,4536.20668,3199.70496,14339.08292,6564.83685,14545.24178,783.18965,1068.62463,7741.93544,2643.28665,9062.40372,4835.94851,3303.42601,5954.34702,6148.34354,4392.85892,2559.10676,2939.21719,2277.20507,2544.14524,2754.14359,4411.32364,11301.55634,6427.90104,6653.57815,8003.73248,1749.51794,2534.83199,4346.35614,1690.54863,3592.41603,5417.23939,8064.90273,1712.54966,3533.57438,4283.92438,8051.37758,4230.09249,3118.11101,2513.89294,7595.24919,792.78973,6163.88084,696.34212,3148.4062,944.88272,21108.76056,2815.63638,5204.34788,3910.84482,4243.25104,6699.59576,964.19414,3574.28032,1800.83699,2140.44698,2668.2321,4528.66551,5100.47212,4713.23468,3671.94031,1103.03728,9699.76757,3575.23868,3389.75171,8927.44191,3047.84454,0,2270.44248,642.52186,5703.3684,842.23556,4319.46898,5749.12698,1085.71761,1373.96315,7901.73295,6418.1315,7335.20446,1080.82926,4265.56287,1053.41535,1652.90875,743.17367,3591.24095,0,0,1686.45283,3936.83139,4628.14688,1083.46855,0,2023.46722,1703.04033,5601.91239,1325.86552,1190.48491,3802.67505,1012.68592,1168.38008,2191.33582,4084.07762,1107.71588,1508.90835,0,2525.55665,931.21082,849.38425,2798.56079,872.89644,1257.58504,3160.37081,1161.45295,3834.17262,4449.47881,4813.58457,2031.30957,5718.94405,1566.72113,4062.81848
"10am",9015.32637,7669.76947,18986.10525,8228.70867,6711.93184,5273.15319,4733.34138,6300.21644,3168.58433,7277.83777,9036.34763,5537.66048,3553.29422,4309.00843,1601.82884,27499.77651,6106.65312,6925.66631,9627.13375,7744.24165,12594.52701,10352.81453,6186.12851,2730.23019,12302.70087,16122.86635,9509.31694,8481.07921,15620.22135,8084.95729,17328.18006,3381.4098,1218.97304,2474.33474,2390.29255,3490.9208,2804.99838,2817.77146,4242.07968,2070.00126,4728.80246,2699.05945,4683.54679,3329.20736,14860.34749,6959.26505,15334.56252,0,0,7553.80406,2989.95307,10025.18218,5151.58511,3283.05566,5965.99716,6730.6599,4435.02303,2715.79881,2595.54671,2515.6407,2641.44998,3171.84568,4674.15289,12811.18136,6437.41956,6813.76533,8924.2773,1943.40436,2663.28076,4415.21205,1526.58598,3408.87245,5323.64837,8448.06446,1384.0282,3826.11325,4553.83699,8402.40402,4232.56564,2889.85436,2054.84172,8176.58888,913.54458,6718.14888,0,3361.15503,1303.10375,21726.47382,2310.38537,5019.60882,3875.70403,4607.8431,6489.0023,964.19414,3545.57126,1956.95561,2052.78602,2491.12079,4726.77867,4980.17773,4994.28463,3600.3633,1223.01455,9685.57594,3330.46101,3404.83359,8920.6559,3152.71168,813.79084,2451.3848,859.83515,5653.85057,787.91688,4336.90274,6232.09149,1201.46017,1366.6818,7380.18667,6615.89079,7041.40483,1192.98748,4232.98214,1020.40803,1523.57497,743.17367,3314.48458,0,1155.76598,1893.54075,4681.60586,5006.79412,1156.88042,951.6971,2392.24393,1692.90896,5916.19339,1230.88831,971.53753,4291.92466,1012.68592,1340.80309,2476.89663,4257.91734,964.70158,1536.21803,725.00067,2368.8523,1161.66699,890.95921,2592.39437,850.30124,1383.46064,2994.51121,1338.30789,4230.27565,4154.00508,5100.88407,1584.36754,5914.09485,1665.93964,4292.59203
