"hour","001","002","003","004","005","006","007","008","009","010","011","012","014","015","016","017","018","019","020","021"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432,5442.358432
"4am",192.649856,0,0,0,0,151.367744,0,0,0,0,0,0,213.290912,0,0,0,0,0,96.324928,0
"5am",282.094432,0,144.487392,110.085632,158.248096,275.21408,0,89.444576,178.889152,96.324928,0,0,467.863936,0,0,0,137.60704,96.324928,123.846336,0
"6am",756.83872,302.735488,330.256896,344.0176,440.342528,701.795904,172.0088,399.060416,460.983584,282.094432,199.530208,82.564224,1327.907936,116.965984,110.085632,0,371.539008,178.889152,206.41056,0
"7am",3536.500928,763.719072,1135.25808,749.958368,1912.737856,1520.557792,522.906752,963.24928,1775.130816,1004.531392,811.881536,192.649856,2986.072768,330.256896,399.060416,0,674.274496,440.342528,316.496192,103.20528
"8am",4843.767808,1431.113216,1995.30208,1025.172448,2772.781856,1892.0968,736.197664,1183.420544,2593.892704,1486.156032,1472.395328,261.453376,3577.78304,509.146048,591.710272,96.324928,901.326112,536.667456,412.82112,151.367744
"9am",5352.913856,2201.71264,2476.92672,1114.617024,3109.919104,1954.019968,756.83872,1279.745472,2944.790656,1486.156032,1816.412928,240.81232,3914.920288,564.188864,729.317312,96.324928,1004.531392,591.710272,447.22288,192.649856
"10am",5442.358432,2683.33728,2587.012352,1155.899136,3226.885088,1933.378912,818.761888,1245.343712,2944.790656,1616.88272,1850.814688,282.094432,4080.048736,564.188864,805.001184,96.324928,1011.411744,646.753088,460.983584,158.248096
"11am",4981.374848,2690.217632,2497.567776,1073.334912,2992.95312,1837.053984,729.317312,1231.583008,2669.576576,1437.993568,1795.771872,302.735488,3914.920288,591.710272,688.0352,103.20528,956.368928,591.710272,474.744288,185.769504
"12am",4953.85344,2676.456928,2201.71264,1135.25808,3034.235232,1795.771872,729.317312,1231.583008,2662.696224,1534.318496,1768.250464,247.692672,3564.022336,674.274496,701.795904,110.085632,956.368928,557.308512,474.744288,137.60704
"1pm",5428.597728,3116.799456,2573.251648,1210.941952,3199.36368,2009.062784,770.599424,1389.831104,2999.833472,1685.68624,1954.019968,399.060416,4162.61296,722.43696,791.24048,96.324928,1073.334912,598.590624,495.385344,165.128448
"2pm",5263.46928,2862.226432,2456.285664,1155.899136,2992.95312,1940.259264,729.317312,1348.548992,2882.867488,1665.045184,1816.412928,350.897952,4018.125568,701.795904,722.43696,89.444576,990.770688,591.710272,502.265696,130.726688
"3pm",4472.2288,2098.50736,2022.823488,990.770688,2648.93552,1665.045184,674.274496,1059.574208,2538.849888,1389.831104,1534.318496,309.61584,3302.56896,536.667456,619.23168,0,811.881536,454.103232,426.581824,123.846336
"4pm",2304.91792,1424.232864,1279.745472,598.590624,1424.232864,880.685056,323.376544,516.0264,1403.591808,660.513792,949.488576,158.248096,2002.182432,323.376544,247.692672,0,412.82112,247.692672,275.21408,82.564224
"5pm",1410.47216,921.967168,777.479776,302.735488,791.24048,605.470976,247.692672,233.931968,715.556608,454.103232,729.317312,96.324928,798.120832,158.248096,178.889152,0,309.61584,178.889152,144.487392,0
"6pm",1362.309696,970.129632,791.24048,350.897952,963.24928,577.949568,330.256896,350.897952,860.044,502.265696,791.24048,158.248096,846.283296,185.769504,254.573024,0,316.496192,240.81232,144.487392,82.564224
"7pm",1224.702656,1011.411744,715.556608,378.41936,1004.531392,454.103232,247.692672,275.21408,839.402944,509.146048,832.522592,158.248096,688.0352,185.769504,282.094432,0,302.735488,247.692672,151.367744,82.564224
"8pm",935.727872,564.188864,557.308512,282.094432,736.197664,405.940768,227.051616,275.21408,749.958368,392.180064,688.0352,137.60704,509.146048,165.128448,240.81232,0,220.171264,206.41056,130.726688,82.564224
"9pm",516.0264,227.051616,233.931968,206.41056,405.940768,254.573024,110.085632,130.726688,440.342528,275.21408,454.103232,0,357.778304,116.965984,172.0088,0,158.248096,144.487392,103.20528,0
"10pm",316.496192,130.726688,103.20528,0,192.649856,185.769504,0,0,295.855136,199.530208,295.855136,0,295.855136,89.444576,130.726688,0,110.085632,96.324928,96.324928,0
"11pm",261.453376,0,89.444576,0,130.726688,158.248096,0,0,192.649856,103.20528,172.0088,0,220.171264,89.444576,0,0,96.324928,0,116.965984,0
"12pm",206.41056,0,0,0,89.444576,144.487392,0,0,144.487392,89.444576,137.60704,0,220.171264,0,0,0,89.444576,0,110.085632,0
"1am",192.649856,0,0,0,89.444576,130.726688,0,0,123.846336,82.564224,137.60704,0,213.290912,0,0,0,89.444576,0,110.085632,0
"2am",172.0088,0,0,0,0,130.726688,0,0,123.846336,82.564224,137.60704,0,213.290912,0,0,0,96.324928,0,110.085632,0
"3am",165.128448,0,0,0,0,137.60704,0,0,116.965984,82.564224,116.965984,0,206.41056,0,0,0,96.324928,0,110.085632,0
