"hour","mode1","mode2","mode3"
"4am",0.3291,0.142,0.1459
"5am",0.3238,0.1449,0.1521
"6am",0.3622,0.1436,0.1476
"7am",0.4802,0.1551,0.1497
"8am",0.491,0.1588,0.1527
"9am",0.507,0.1607,0.1712
"10am",0.5129,0.1759,0.1805
"11am",0.5068,0.1757,0.1767
"12am",0.4661,0.1755,0.1823
"1pm",0.4722,0.1705,0.1629
"2pm",0.4488,0.1476,0.1465
"3pm",0.4225,0.1461,0.1495
"4pm",0.4067,0.1431,0.149
"5pm",0.3093,0.147,0.1441
"6pm",0.3246,0.1197,0.1363
"7pm",0.3081,0.139,0.1455
"8pm",0.3127,0.1364,0.146
"9pm",0.3155,0.144,0.1462
"10pm",0.2988,0.1348,0.139
"11pm",0.302,0.1391,0.1428
"12pm",0.301,0.1369,0.141
"1am",0.3015,0.1374,0.1407
"2am",0.3018,0.1383,0.1414
"3am",0.3015,0.1385,0.1415
