"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1284,0.1964,0.2373,0.0835,0.171
"5am",0.1272,0.1974,0.2331,0.0868,0.1701
"6am",0.1278,0.2316,0.2356,0.086,0.1713
"7am",0.1324,0.4088,0.2162,0.1117,0.1586
"8am",0.1209,0.4517,0.2012,0.1313,0.1662
"9am",0.1194,0.4737,0.1906,0.1403,0.1717
"10am",0.119,0.4758,0.1804,0.1373,0.1673
"11am",0.1131,0.426,0.174,0.1365,0.1552
"12am",0.1009,0.3737,0.1889,0.1198,0.1522
"1pm",0.1128,0.408,0.1928,0.13,0.146
"2pm",0.113,0.4168,0.1875,0.1203,0.1709
"3pm",0.1006,0.3991,0.1881,0.114,0.1679
"4pm",0.1007,0.3096,0.2045,0.0995,0.1441
"5pm",0.1177,0.2725,0.2237,0.0872,0.1637
"6pm",0.1171,0.191,0.2313,0.0821,0.1596
"7pm",0.1336,0.1869,0.2102,0.0867,0.1468
"8pm",0.1269,0.1919,0.2082,0.0851,0.1584
"9pm",0.1253,0.1889,0.2083,0.081,0.157
"10pm",0.1251,0.1896,0.225,0.0806,0.1576
"11pm",0.1247,0.1921,0.2263,0.0815,0.1583
"12pm",0.1266,0.1911,0.2355,0.0803,0.1601
"1am",0.1256,0.185,0.2359,0.079,0.1608
"2am",0.1248,0.1854,0.236,0.0775,0.1611
"3am",0.126,0.1852,0.2361,0.0779,0.1612
