"hour","sex1","sex2"
"4am",0.0808,0.0808
"5am",0.0797,0.0797
"6am",0.0816,0.0816
"7am",0.0879,0.0879
"8am",0.0869,0.0869
"9am",0.0963,0.0963
"10am",0.092,0.092
"11am",0.0983,0.0983
"12am",0.0887,0.0887
"1pm",0.0963,0.0963
"2pm",0.0961,0.0961
"3pm",0.1029,0.1029
"4pm",0.0889,0.0889
"5pm",0.088,0.088
"6pm",0.0804,0.0804
"7pm",0.0886,0.0886
"8pm",0.0906,0.0906
"9pm",0.0892,0.0892
"10pm",0.0892,0.0892
"11pm",0.0849,0.0849
"12pm",0.0816,0.0816
"1am",0.0821,0.0821
"2am",0.0816,0.0816
"3am",0.0802,0.0802
