"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.1244,0.1065,0.1338,0.1404
"5am",0.127,0.109,0.1403,0.1408
"6am",0.1305,0.1037,0.134,0.1409
"7am",0.1239,0.099,0.1222,0.1662
"8am",0.1288,0.1022,0.1224,0.1693
"9am",0.1179,0.0897,0.1147,0.1645
"10am",0.1226,0.0897,0.1122,0.1621
"11am",0.1193,0.0975,0.1108,0.1707
"12am",0.1058,0.1007,0.1395,0.1678
"1pm",0.1106,0.1036,0.1286,0.1772
"2pm",0.1083,0.0974,0.1219,0.1728
"3pm",0.1042,0.0982,0.1127,0.1713
"4pm",0.1148,0.1131,0.1257,0.1675
"5pm",0.1159,0.103,0.1317,0.1583
"6pm",0.1197,0.1111,0.1354,0.159
"7pm",0.1287,0.1115,0.1409,0.1507
"8pm",0.1312,0.1104,0.1417,0.1527
"9pm",0.1326,0.1081,0.1372,0.1435
"10pm",0.1304,0.1102,0.1332,0.1391
"11pm",0.1279,0.1154,0.1329,0.134
"12pm",0.126,0.1152,0.1284,0.1376
"1am",0.1258,0.1147,0.1312,0.1339
"2am",0.1259,0.114,0.1311,0.1339
"3am",0.126,0.1143,0.13,0.1332
