"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.0736811739415728,-0.161376233621777,0.215705504160905,0.507437234613313,-0.193276795406669
"5am",0.0389641041975863,-0.180240468916704,0.23184906259924,0.495044074705376,-0.171313837656733
"6am",0.0329180187780142,-0.151577074873834,0.311249758585245,0.444537095519145,-0.193209162387243
"7am",-0.0837969382282628,-0.0984227143792055,0.288853568773639,0.48010284756809,-0.275326715601155
"8am",-0.0752067640360148,-0.101139105341287,0.0580838221356537,0.309203816911135,-0.234522685834128
"9am",-0.108367703716559,-0.0835994533397641,0.0333771922419878,0.289977749163545,-0.257124088210463
"10am",-0.0706266432506666,-0.115907954458786,0.0275199396329293,0.241252105209623,-0.275300602000217
"11am",-0.0881341996831423,-0.121645996146825,0.0789856894056044,0.239051869756395,-0.278196242796386
"12am",-0.0239090504131058,-0.0921202721305272,0.120956391832247,0.319031560497854,-0.291448114361356
"1pm",-0.0571381281800168,-0.045989406078589,0.117097007433376,0.340745106232219,-0.225702760501666
"2pm",-0.0811315225500817,-0.0915125535072362,0.0757079410266607,0.332035429147794,-0.132618728455555
"3pm",-0.155743179705388,-0.0851297424450734,0.13082727573724,0.36517122210325,-0.0823300804306652
"4pm",-0.110752327152967,-0.106654809539423,0.21970984329732,0.409233378230383,-0.202010571939725
"5pm",0.00142726249194582,-0.114390839489499,0.073270253852608,0.461391576331588,-0.311033937386127
"6pm",0.094384292896639,-0.154032818711221,0.198370863205699,0.472859231667838,-0.242674279333245
"7pm",0.101216085853035,-0.151694972416497,0.268046234788324,0.495532143205823,-0.13340110083563
"8pm",0.0606139478329235,-0.150809645907894,0.339301349121,0.512811526563651,-0.123993455541146
"9pm",0.0799009429896952,-0.196362644170617,0.302597594258971,0.50312439678464,-0.143431406903544
"10pm",0.0633679368949043,-0.189247651096154,0.2785086064839,0.505672825248447,-0.241134668411123
"11pm",0.0919822170666918,-0.175378671275007,0.27643316239273,0.51863368929897,-0.256337608847969
"12pm",0.0857722329316624,-0.172407961874165,0.28889318411674,0.540290982170056,-0.243078288134135
"1am",0.0830077898887235,-0.173438210996656,0.268287326132935,0.528297144268679,-0.229799648795809
"2am",0.0832257643111868,-0.174568389044831,0.265864632161163,0.518934963204773,-0.204195809862061
"3am",0.0832550896793458,-0.175283335832586,0.25108977198086,0.516933381850006,-0.204083295264053
