"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.1874,0.1338,0.0781,0.1113,0.1212
"5am",0.1841,0.1449,0.0859,0.1151,0.1207
"6am",0.184,0.148,0.0832,0.1202,0.1255
"7am",0.1822,0.1461,0.0987,0.1293,0.1192
"8am",0.1947,0.1522,0.104,0.1316,0.1159
"9am",0.1997,0.1585,0.0979,0.1236,0.1334
"10am",0.1754,0.1727,0.0912,0.1313,0.1214
"11am",0.1941,0.1622,0.1063,0.1365,0.1443
"12am",0.1907,0.1563,0.1025,0.1444,0.1409
"1pm",0.2024,0.1679,0.1001,0.1415,0.1337
"2pm",0.1654,0.1605,0.099,0.1331,0.1327
"3pm",0.1742,0.1521,0.1053,0.1335,0.0993
"4pm",0.1942,0.1617,0.0979,0.129,0.104
"5pm",0.1675,0.1499,0.0919,0.1163,0.1242
"6pm",0.179,0.1347,0.0886,0.1169,0.1155
"7pm",0.1863,0.1381,0.0804,0.1079,0.1182
"8pm",0.1866,0.1335,0.083,0.1147,0.122
"9pm",0.1845,0.1338,0.0815,0.1083,0.1218
"10pm",0.1909,0.1363,0.077,0.1094,0.1205
"11pm",0.1917,0.1338,0.0771,0.1145,0.1194
"12pm",0.1919,0.1336,0.0765,0.1117,0.1192
"1am",0.1925,0.1342,0.078,0.1115,0.1144
"2am",0.1916,0.1335,0.0778,0.1132,0.1145
"3am",0.1914,0.1338,0.079,0.1135,0.1148
