"hour","act1","act2","act3","act4","act5"
"4am",0.4697,0.5011,0.7757,0,0
"5am",0.3883,0.3908,0.9737,0.7742,0
"6am",0.272,0.314,0.9307,0.9667,0.6126
"7am",0.2442,0.2006,0.7535,0.6931,0.2905
"8am",0.2061,0.163,0.7162,0.3679,0.2446
"9am",0.2106,0.1447,0.71,0.2787,0.1969
"10am",0.2051,0.1394,0.7013,0.3003,0.2032
"11am",0.2156,0.1487,0.6895,0.3929,0.2081
"12am",0.2701,0.1803,0.7198,0.6196,0.2834
"1pm",0.2387,0.1555,0.7413,0.5226,0.2115
"2pm",0.2226,0.1527,0.7536,0.38,0.1672
"3pm",0.2196,0.1461,0.7535,0.4018,0.1542
"4pm",0.2298,0.1651,0.7867,0.4428,0.1599
"5pm",0.2313,0.2137,0.8249,0.4299,0.1535
"6pm",0.2349,0.2423,0.918,0.4579,0.1864
"7pm",0.1952,0.3221,0.9158,0.7782,0.1861
"8pm",0.2346,0.4263,0.955,0.8956,0.2205
"9pm",0.2256,0.476,0.9544,0.2219,0
"10pm",0.2635,0.5551,0.9541,0.2692,0
"11pm",0.3542,0.6226,0.9544,0.4186,0
"12pm",0.3371,0.6547,0.4551,0,0
"1am",0.4773,0.7238,0.6337,0,0
"2am",0.4902,0.7471,0.6956,0,0
"3am",0.4891,0.7472,0.6956,0,0
