"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.1826,0.1407,0.0847,0.1318,0.1397
"5am",0.1794,0.1459,0.0911,0.1326,0.1369
"6am",0.1755,0.1455,0.0903,0.1363,0.1406
"7am",0.182,0.1409,0.1011,0.1355,0.1246
"8am",0.1793,0.1372,0.101,0.14,0.1216
"9am",0.1826,0.1454,0.0968,0.1307,0.1341
"10am",0.1741,0.1551,0.093,0.1309,0.1286
"11am",0.187,0.145,0.1007,0.1369,0.1574
"12am",0.1791,0.151,0.1008,0.1488,0.1451
"1pm",0.2077,0.1604,0.098,0.1432,0.1322
"2pm",0.1679,0.1522,0.0956,0.1334,0.1374
"3pm",0.2062,0.1448,0.1012,0.1378,0.1125
"4pm",0.2049,0.1612,0.0933,0.1405,0.1201
"5pm",0.177,0.1473,0.1036,0.1294,0.1347
"6pm",0.1738,0.1354,0.0901,0.1297,0.1268
"7pm",0.1774,0.1432,0.0905,0.1208,0.1193
"8pm",0.1784,0.135,0.086,0.1306,0.1243
"9pm",0.1785,0.138,0.0853,0.1251,0.1205
"10pm",0.1833,0.1395,0.0826,0.127,0.1255
"11pm",0.1827,0.1359,0.0798,0.1303,0.1258
"12pm",0.1828,0.1359,0.0825,0.1262,0.1293
"1am",0.1833,0.1372,0.0839,0.1257,0.1303
"2am",0.1825,0.1366,0.0844,0.1287,0.1304
"3am",0.1827,0.1368,0.0856,0.1284,0.1311
