"hour","resarea1","resarea2","resarea3"
"4am",0.9871,0.9954,0.9886
"5am",0.9806,0.9892,0.9823
"6am",0.9596,0.971,0.9604
"7am",0.8681,0.9216,0.8929
"8am",0.7899,0.8514,0.8261
"9am",0.7486,0.8455,0.7915
"10am",0.7455,0.8469,0.7886
"11am",0.7696,0.8463,0.806
"12am",0.8237,0.8679,0.8501
"1pm",0.7923,0.8534,0.8248
"2pm",0.753,0.8326,0.7882
"3pm",0.7636,0.8462,0.7991
"4pm",0.8094,0.8774,0.8336
"5pm",0.8718,0.917,0.8922
"6pm",0.9212,0.9445,0.9396
"7pm",0.9465,0.9699,0.9481
"8pm",0.9637,0.9774,0.9647
"9pm",0.9704,0.9786,0.972
"10pm",0.9777,0.9894,0.9785
"11pm",0.9844,0.9918,0.9844
"12pm",0.9869,0.992,0.9874
"1am",0.9912,0.9956,0.9896
"2am",0.9912,0.9956,0.9896
"3am",0.9912,0.9956,0.9896
